,load,alloc,reward,sigma,event_start_time,event_end_time
1650178178.2439635,23.10453224182129,99.0,0.66847825050354,0.5,1650178178.2439635,1650178188.2852838
1650178199.1292884,21.177968978881836,100.0,0.8368200659751892,0.45738935470581055,1650178199.1292884,1650178212.7755451
1650178213.1130254,21.893020629882812,100.0,1.0,0.44543540477752686,1650178213.1130254,1650178226.45061
1650178226.6086524,22.337663650512695,100.0,1.0,0.4914731979370117,1650178226.6086524,1650178237.8452797
1650178237.9898558,22.03409194946289,100.0,1.0,0.46423834562301636,1650178237.9898558,1650178250.561284
1650178250.7270699,20.451950073242188,100.0,1.0,0.45083481073379517,1650178250.7270699,1650178264.6132767
1650178264.7713563,19.579408645629883,100.0,1.0,0.46726930141448975,1650178264.7713563,1650178278.8677988
1650178279.0496256,19.460674285888672,100.0,1.0,0.4536091983318329,1650178279.0496256,1650178293.694544
1650178293.8160334,18.67043113708496,100.0,1.0,0.5,1650178293.8160334,1650178304.849522
1650178316.5016456,19.034055709838867,74.0,1.0,0.5,1650178316.5016456,1650178328.0073388
1650178328.1307147,19.77107810974121,74.0,1.0,0.5,1650178328.1307147,1650178339.915605
1650178340.087434,18.493085861206055,74.0,1.0,0.5,1650178340.087434,1650178351.6593263
1650178351.8397987,19.810029983520508,74.0,1.0,0.5,1650178351.8397987,1650178362.945284
1650178363.0973527,18.64313507080078,74.0,1.0,0.4962916672229767,1650178363.0973527,1650178376.1852798
1650178376.331543,16.916597366333008,74.0,1.0,0.5,1650178376.331543,1650178388.5089326
1650178388.707564,19.47370147705078,74.0,1.0,0.5,1650178388.707564,1650178400.3643105
1650178400.631854,21.026412963867188,74.0,0.9947368502616882,0.5,1650178400.631854,1650178411.4277987
1650178411.7114897,20.585277557373047,74.0,1.0,0.4583492577075958,1650178411.7114897,1650178425.1191301
1650178425.2891827,19.62923240661621,74.0,0.9890710115432739,0.5,1650178425.2891827,1650178436.802623
1650178436.9356036,17.903888702392578,74.0,1.0,0.5,1650178436.9356036,1650178446.9892857
1650178447.179327,18.073652267456055,74.0,1.0,0.5,1650178447.179327,1650178459.019767
1650178470.9806533,18.2093448638916,13.0,0.3432203531265259,0.46028730273246765,1650178470.9806533,1650178485.7532878
1650178486.100047,17.816560745239258,13.0,1.0,0.480015367269516,1650178486.100047,1650178500.356446
1650178500.6923888,18.231334686279297,13.0,1.0,0.48336824774742126,1650178500.6923888,1650178514.3501935
1650178514.4440172,20.431503295898438,13.0,1.0,0.4632410407066345,1650178514.4440172,1650178528.1972883
1650178528.3167658,19.409635543823242,13.0,1.0,0.4938648045063019,1650178528.3167658,1650178540.7332797
1650178540.8979816,20.96599006652832,13.0,1.0,0.4481107294559479,1650178540.8979816,1650178554.6822097
1650178554.8176477,19.180761337280273,13.0,1.0,0.5,1650178554.8176477,1650178564.9840844
1650178565.0945308,18.11290740966797,13.0,1.0,0.5,1650178565.0945308,1650178575.9155438
1650178576.0930712,19.476722717285156,13.0,1.0,0.5,1650178576.0930712,1650178587.7993524
1650178588.0794811,18.30327606201172,13.0,1.0,0.5,1650178588.0794811,1650178599.662107
1650178599.7481868,19.481210708618164,13.0,1.0,0.4856429398059845,1650178599.7481868,1650178612.683728
1650178612.8892872,17.739168167114258,13.0,1.0,0.5,1650178612.8892872,1650178626.4750423
1650178660.528676,19.00144386291504,76.0,1.0,0.5,1650178660.528676,1650178672.738275
1650178672.8767107,18.44196128845215,76.0,1.0,0.5,1650178672.8767107,1650178685.4567175
1650178685.5608318,16.347620010375977,76.0,1.0,0.5,1650178685.5608318,1650178695.776386
1650178695.867997,16.899921417236328,76.0,1.0,0.5,1650178695.867997,1650178706.6372783
1650178706.9678345,20.144025802612305,76.0,1.0,0.5,1650178706.9678345,1650178717.1941915
1650178717.378088,20.148277282714844,76.0,1.0,0.5,1650178717.378088,1650178727.751183
1650178727.8930006,18.748132705688477,76.0,1.0,0.5,1650178727.8930006,1650178738.0806823
1650178738.2580347,18.278030395507812,76.0,1.0,0.5,1650178738.2580347,1650178749.3095539
1650178749.419371,20.25643539428711,76.0,1.0,0.5,1650178749.419371,1650178760.033282
1650178760.2237833,19.344419479370117,76.0,1.0,0.47565150260925293,1650178760.2237833,1650178773.612658
1650178773.7704546,18.418170928955078,76.0,1.0,0.5,1650178773.7704546,1650178785.280827
1650178799.1045623,17.47418975830078,38.0,1.0,0.5,1650178799.1045623,1650178812.381286
1650178812.6488972,18.7890682220459,38.0,0.9885714054107666,0.5,1650178812.6488972,1650178823.9852767
1650178824.1854694,19.075237274169922,38.0,1.0,0.5,1650178824.1854694,1650178836.0332901
1650178836.1340525,17.790721893310547,38.0,1.0,0.5,1650178836.1340525,1650178847.8255398
1650178847.910117,18.066307067871094,38.0,1.0,0.5,1650178847.910117,1650178859.8660743
1650178860.044161,17.790067672729492,38.0,0.9944751262664795,0.5,1650178860.044161,1650178872.3544014
1650178872.5708938,19.751808166503906,38.0,1.0,0.5,1650178872.5708938,1650178884.4685388
1650178884.7474494,19.62994384765625,38.0,1.0,0.5,1650178884.7474494,1650178896.4133003
1650178896.530424,17.920671463012695,38.0,1.0,0.5,1650178896.530424,1650178906.9653008
1650178907.0511887,16.841154098510742,38.0,0.994535505771637,0.5,1650178907.0511887,1650178920.1738052
1650178920.3249402,18.823902130126953,38.0,1.0,0.4914731979370117,1650178920.3249402,1650178933.3403075
1650178947.019256,18.741313934326172,21.0,1.0,0.48795002698898315,1650178947.019256,1650178960.0386202
1650178960.186476,20.197261810302734,21.0,0.9873949289321899,0.4583492577075958,1650178960.186476,1650178973.9012058
1650178974.1099901,17.89691162109375,21.0,1.0,0.5,1650178974.1099901,1650178984.2234664
1650178984.3601933,18.428945541381836,21.0,1.0,0.5,1650178984.3601933,1650178996.026623
1650178996.2433314,18.563289642333984,21.0,1.0,0.5,1650178996.2433314,1650179007.0172837
1650179007.2708576,20.114696502685547,21.0,1.0,0.5,1650179007.2708576,1650179018.3572788
1650179018.5341187,17.14433479309082,21.0,1.0,0.5,1650179018.5341187,1650179030.6664064
1650179030.7957175,18.607481002807617,21.0,1.0,0.5,1650179030.7957175,1650179043.2638211
1650179043.51258,19.480724334716797,21.0,0.994350254535675,0.5,1650179043.51258,1650179054.6004632
1650179054.7581522,18.192617416381836,21.0,1.0,0.5,1650179054.7581522,1650179065.4767854
1650179065.6726866,20.21988868713379,21.0,1.0,0.5,1650179065.6726866,1650179076.800344
1650179076.94931,18.502607345581055,21.0,1.0,0.5,1650179076.94931,1650179088.5152478
1650179088.6582608,19.814823150634766,21.0,1.0,0.4767313003540039,1650179088.6582608,1650179101.7292833
1650179136.5258007,17.843650817871094,59.0,0.9946523904800415,0.5,1650179136.5258007,1650179149.3034549
1650179149.4571207,17.73556137084961,59.0,1.0,0.4962916672229767,1650179149.4571207,1650179163.2147906
1650179163.3724732,18.299274444580078,59.0,1.0,0.5,1650179163.3724732,1650179173.5914576
1650179173.88077,18.120750427246094,59.0,1.0,0.5,1650179173.88077,1650179184.3659866
1650179184.5161092,18.187397003173828,59.0,1.0,0.5,1650179184.5161092,1650179196.99728
1650179197.2254255,18.300214767456055,59.0,0.9946808218955994,0.5,1650179197.2254255,1650179209.575007
1650179209.7216175,17.9085750579834,59.0,1.0,0.5,1650179209.7216175,1650179221.8387177
1650179222.200862,17.465822219848633,59.0,1.0,0.5,1650179222.200862,1650179232.2204309
1650179232.3982713,16.667583465576172,59.0,0.9937888383865356,0.5,1650179232.3982713,1650179244.0376306
1650179244.247276,18.675670623779297,59.0,1.0,0.5,1650179244.247276,1650179254.5815773
1650179254.7306867,18.723522186279297,59.0,1.0,0.5,1650179254.7306867,1650179266.961291
1650179277.47796,18.179882049560547,42.0,1.0,0.5,1650179277.47796,1650179290.1293068
1650179290.3114748,19.29374885559082,42.0,0.9948717951774597,0.5,1650179290.3114748,1650179302.4915857
1650179302.6026402,20.16365623474121,42.0,1.0,0.49875468015670776,1650179302.6026402,1650179315.0507798
1650179315.1847227,20.412797927856445,42.0,1.0,0.5,1650179315.1847227,1650179325.9132862
1650179326.0732465,18.011274337768555,42.0,0.995192289352417,0.4902903437614441,1650179326.0732465,1650179339.5092752
1650179339.6781023,16.857139587402344,42.0,1.0,0.5,1650179339.6781023,1650179352.7289526
1650179352.9124634,18.04172134399414,42.0,1.0,0.5,1650179352.9124634,1650179364.829286
1650179365.0105507,17.37346076965332,42.0,0.9887005686759949,0.5,1650179365.0105507,1650179377.3857472
1650179377.530969,17.27833366394043,42.0,1.0,0.5,1650179377.530969,1650179390.7266853
1650179390.9230046,18.101394653320312,42.0,1.0,0.5,1650179390.9230046,1650179403.0767639
1650179403.2051857,18.363603591918945,42.0,1.0,0.5,1650179403.2051857,1650179413.497283
1650179413.604143,17.59782600402832,42.0,1.0,0.5,1650179413.604143,1650179426.276163
1650179436.9853923,19.943191528320312,5.0,1.0,0.4975185990333557,1650179436.9853923,1650179449.6212833
1650179449.8551972,17.693235397338867,5.0,1.0,0.5,1650179449.8551972,1650179462.402366
1650179462.5644746,18.38172721862793,5.0,0.8620689511299133,0.4962916672229767,1650179462.5644746,1650179475.838526
1650179475.983822,18.933818817138672,5.0,1.0,0.4789131283760071,1650179475.983822,1650179489.5046024
1650179489.6228914,18.495601654052734,5.0,0.9473684430122375,0.48911598324775696,1650179489.6228914,1650179502.8692834
1650179502.9981313,17.41908073425293,5.0,1.0,0.5,1650179502.9981313,1650179514.6520188
