,load,alloc,reward,sigma,event_start_time,event_end_time
1650178209.9980075,1.0,95.0,105.55561828613281,285.60540771484375,1650178209.9980075,1650178257.4327152
1650178259.0191796,1.0,95.0,268.12677001953125,600.4854736328125,1650178259.0191796,1650178294.2674305
1650178367.5253108,1.0,64.0,138.6926727294922,471.3614501953125,1650178367.5253108,1650178423.3754163
1650178426.2967887,1.0,64.0,167.76461791992188,533.0284423828125,1650178426.2967887,1650178474.775425
1650178502.7438765,1.0,38.0,213.41700744628906,332.79071044921875,1650178502.7438765,1650178529.0632403
1650178530.138199,1.0,38.0,149.5722198486328,359.63604736328125,1650178530.138199,1650178570.5200298
1650178571.5815928,1.0,38.0,329.2101135253906,362.3759460449219,1650178571.5815928,1650178589.697683
1650178590.451717,1.0,38.0,477.46832275390625,355.38470458984375,1650178590.451717,1650178602.942598
1650178603.9999776,1.0,38.0,209.2997589111328,335.05792236328125,1650178603.9999776,1650178631.0234194
1650178682.2589667,1.0,93.0,296.13336181640625,465.47796630859375,1650178682.2589667,1650178707.3557687
1650178708.7594228,1.0,93.0,304.3848876953125,510.9989318847656,1650178708.7594228,1650178735.8074136
1650178737.7112625,1.0,93.0,228.31048583984375,536.0877075195312,1650178737.7112625,1650178775.107706
1650178777.5556107,1.0,93.0,397.3585205078125,575.7191772460938,1650178777.5556107,1650178799.7874231
1650178835.9206514,1.0,107.0,164.1885986328125,662.2703247070312,1650178835.9206514,1650178897.9834278
1650178976.9770947,1.0,15.0,31.7390079498291,139.49351501464844,1650178976.9770947,1650179059.619881
1650179060.1090498,1.0,15.0,124.05514526367188,133.6276397705078,1650179060.1090498,1650179080.4064744
1650179081.0546973,1.0,15.0,72.51747131347656,132.10935974121094,1650179081.0546973,1650179115.3636706
1650179159.723009,1.0,32.0,105.44595336914062,299.21417236328125,1650179159.723009,1650179208.8666673
1650179209.7219493,1.0,32.0,106.34854888916016,271.89630126953125,1650179209.7219493,1650179255.0634243
1650179323.2048228,1.0,48.0,433.7010803222656,422.8672790527344,1650179323.2048228,1650179339.3634179
1650179340.4379983,1.0,48.0,127.81643676757812,403.6111755371094,1650179340.4379983,1650179393.0212212
1650179394.569368,1.0,48.0,211.00772094726562,420.2898254394531,1650179394.569368,1650179426.862026
1650179516.4364154,1.0,74.0,194.3209228515625,527.92822265625,1650179516.4364154,1650179559.859428
1650179561.5359528,1.0,74.0,172.15721130371094,516.9916381835938,1650179561.5359528,1650179609.6954205
1650179664.9190772,1.0,60.0,160.06707763671875,471.832763671875,1650179664.9190772,1650179712.5428605
1650179777.6616924,1.0,54.0,361.13421630859375,465.0468444824219,1650179777.6616924,1650179798.7674186
1650179799.937063,1.0,54.0,185.7911376953125,442.5631103515625,1650179799.937063,1650179838.8517282
1650179840.4515283,1.0,54.0,166.17147827148438,454.29180908203125,1650179840.4515283,1650179884.9657855
1650179922.7809036,1.0,55.0,122.36322784423828,434.4934997558594,1650179922.7809036,1650179981.1154222
1650179982.6365669,1.0,55.0,168.5111083984375,455.46502685546875,1650179982.6365669,1650180027.3457851
1650180074.5874288,1.0,50.0,175.11428833007812,442.7909240722656,1650180074.5874288,1650180116.29162
1650180117.7342718,1.0,50.0,92.04551696777344,247.92642211914062,1650180117.7342718,1650180165.3194232
1650180166.2286959,1.0,50.0,165.34634399414062,439.6248474121094,1650180166.2286959,1650180209.743416
1650180211.2196293,1.0,50.0,111.37940216064453,344.1982727050781,1650180211.2196293,1650180264.4251573
1650180265.0650768,1.0,50.0,171.01141357421875,412.91802978515625,1650180265.0650768,1650180305.3489394
1650180306.6384802,1.0,50.0,174.14578247070312,456.76617431640625,1650180306.6384802,1650180348.5458972
1650180349.7135112,1.0,50.0,176.8870086669922,444.26641845703125,1650180349.7135112,1650180390.7114346
1650180391.9804287,1.0,50.0,164.6607666015625,415.28619384765625,1650180391.9804287,1650180434.4981458
1650180435.9368923,1.0,50.0,133.63088989257812,431.8158264160156,1650180435.9368923,1650180489.4499657
1650180559.0212626,1.0,54.0,199.975830078125,440.6108703613281,1650180559.0212626,1650180594.9356017
1650180595.2308228,1.0,54.0,113.79853820800781,266.92718505859375,1650180595.2308228,1650180637.4018393
1650180638.8037012,1.0,54.0,196.43861389160156,433.0581970214844,1650180638.8037012,1650180675.3545601
1650180731.0939257,1.0,50.0,151.89088439941406,434.68743896484375,1650180731.0939257,1650180778.3844545
1650180779.5947528,1.0,50.0,103.95709228515625,415.89971923828125,1650180779.5947528,1650180844.0444195
1650180844.6520898,1.0,50.0,183.5268096923828,430.3083190917969,1650180844.6520898,1650180883.3494332
1650180884.7081091,1.0,50.0,168.19717407226562,409.5943298339844,1650180884.7081091,1650180925.1249595
1650180926.1948204,1.0,50.0,163.33055114746094,425.6959228515625,1650180926.1948204,1650180969.346574
1650180970.7809305,1.0,50.0,111.52566528320312,439.1144714355469,1650180970.7809305,1650181035.3490257
1650181036.6068752,1.0,50.0,168.53355407714844,429.7766418457031,1650181036.6068752,1650181078.7468517
1650181080.746789,1.0,50.0,154.66366577148438,431.8298645019531,1650181080.746789,1650181126.6399214
1650181128.380098,1.0,50.0,112.56452178955078,430.0684814453125,1650181128.380098,1650181191.4728
1650181192.5644395,1.0,50.0,132.35923767089844,447.054931640625,1650181192.5644395,1650181246.9542994
1650181247.9291198,1.0,50.0,159.55340576171875,433.7809753417969,1650181247.9291198,1650181292.7416992
1650181294.0916536,1.0,50.0,107.22462463378906,434.3035583496094,1650181294.0916536,1650181360.7834213
1650181361.8110297,1.0,50.0,167.36004638671875,430.9593505859375,1650181361.8110297,1650181403.929803
1650181405.3392878,1.0,50.0,133.13461303710938,420.2036437988281,1650181405.3392878,1650181457.5571134
1650181458.8074536,1.0,50.0,130.98385620117188,451.2677307128906,1650181458.8074536,1650181514.1425178
1650181515.4920666,1.0,50.0,122.9350814819336,421.92864990234375,1650181515.4920666,1650181571.1881294
1650181572.4050467,1.0,50.0,142.30648803710938,441.41632080078125,1650181572.4050467,1650181623.3514242
1650181624.5254683,1.0,50.0,143.80332946777344,431.4156188964844,1650181624.5254683,1650181674.2322462
1650181675.6563523,1.0,50.0,130.87835693359375,415.8782958984375,1650181675.6563523,1650181728.3617835
1650181778.410491,1.0,52.0,195.973876953125,435.6785888671875,1650181778.410491,1650181815.027616
1650181816.0781639,1.0,52.0,105.08377838134766,451.23126220703125,1650181816.0781639,1650181884.8613791
1650181928.4210925,1.0,50.0,81.76383209228516,256.2862854003906,1650181928.4210925,1650181984.8274484
1650181985.9901464,1.0,50.0,200.915771484375,445.0513610839844,1650181985.9901464,1650182022.3337355
1650182023.591543,1.0,50.0,151.01553344726562,409.21588134765625,1650182023.591543,1650182069.2954502
1650182156.7021036,1.0,52.0,121.84491729736328,433.4571533203125,1650182156.7021036,1650182214.726683
1650182273.9623008,1.0,50.0,158.2566375732422,432.29443359375,1650182273.9623008,1650182319.4643426
1650182320.9357069,1.0,50.0,168.2424774169922,410.99761962890625,1650182320.9357069,1650182361.5556502
1650182483.6721966,1.0,50.0,173.63987731933594,419.9493713378906,1650182483.6721966,1650182523.7206023
1650182525.0361104,1.0,50.0,120.81549072265625,421.39739990234375,1650182525.0361104,1650182582.9591475
1650182584.3330646,1.0,50.0,144.94659423828125,410.6335144042969,1650182584.3330646,1650182631.5780518
1650182632.7519414,1.0,50.0,195.99220275878906,410.1281433105469,1650182632.7519414,1650182667.7074137
1650182668.877989,1.0,50.0,245.6712646484375,428.0316467285156,1650182668.877989,1650182697.5667336
1650182698.834535,1.0,50.0,126.79700469970703,435.73828125,1650182698.834535,1650182755.2554245
1650183040.887723,1.0,50.0,161.798828125,425.05413818359375,1650183040.887723,1650183084.4603486
1650183085.3897436,1.0,50.0,145.22259521484375,431.38494873046875,1650183085.3897436,1650183134.2664375
1650183135.272111,1.0,50.0,181.63821411132812,437.80328369140625,1650183135.272111,1650183174.9003356
1650183176.0353203,1.0,50.0,203.00440979003906,424.580078125,1650183176.0353203,1650183210.7537768
1650183502.3656666,1.0,52.0,154.1160430908203,434.0378112792969,1650183502.3656666,1650183548.2661452
1650183549.48124,1.0,52.0,104.21084594726562,412.4444274902344,1650183549.48124,1650183615.8275018
1650183617.2841625,1.0,52.0,162.62677001953125,441.7914123535156,1650183617.2841625,1650183662.3874383
1650183713.0215473,1.0,50.0,154.5899200439453,413.6157531738281,1650183713.0215473,1650183757.966262
1650183759.3057194,1.0,50.0,233.7205352783203,367.5918884277344,1650183759.3057194,1650183786.0299437
1650183787.2585933,1.0,50.0,160.64645385742188,427.7633972167969,1650183787.2585933,1650183831.4425735
1650183832.9940984,1.0,50.0,248.0090789794922,441.1145324707031,1650183832.9940984,1650183861.6220822
1650183924.3495002,1.0,52.0,126.54114532470703,431.063232421875,1650183924.3495002,1650183980.2206552
1650184043.151476,1.0,50.0,116.6697006225586,426.49908447265625,1650184043.151476,1650184103.604188
1650184105.2628763,1.0,50.0,189.04556274414062,453.7747802734375,1650184105.2628763,1650184144.660786
1650184208.8986225,1.0,52.0,156.55987548828125,437.5659484863281,1650184208.8986225,1650184255.3856306
1650184256.547992,1.0,52.0,139.937744140625,451.9925842285156,1650184256.547992,1650184309.3500435
1650184311.1238308,1.0,52.0,171.45082092285156,435.39544677734375,1650184311.1238308,1650184353.3108554
1650184354.8174956,1.0,52.0,126.12869262695312,395.61285400390625,1650184354.8174956,1650184407.612779
1650184409.1257672,1.0,52.0,150.8174591064453,423.96795654296875,1650184409.1257672,1650184455.3074222
1650184456.6764917,1.0,52.0,206.4167938232422,449.0836181640625,1650184456.6764917,1650184491.4314158
1650184535.4675567,1.0,50.0,182.3761444091797,420.69512939453125,1650184535.4675567,1650184573.838804
1650184575.0296779,1.0,50.0,123.52670288085938,435.6035461425781,1650184575.0296779,1650184632.8957086
1650184700.1400595,1.0,52.0,151.6129150390625,453.0858459472656,1650184700.1400595,1650184749.1794171
1650184750.677637,1.0,52.0,219.3746337890625,430.81134033203125,1650184750.677637,1650184783.379686
1650184846.656117,1.0,51.0,144.807373046875,443.08447265625,1650184846.656117,1650184897.005764
1650184898.3957975,1.0,51.0,142.811279296875,448.6761779785156,1650184898.3957975,1650184950.1634185
1650185022.0544064,1.0,50.0,193.24203491210938,423.0553894042969,1650185022.0544064,1650185057.9730914
1650185059.0942044,1.0,50.0,146.1526336669922,427.9872131347656,1650185059.0942044,1650185107.34513
1650185108.6234825,1.0,50.0,129.18995666503906,427.03387451171875,1650185108.6234825,1650185163.2329886
1650185164.544318,1.0,50.0,123.18395233154297,436.8409118652344,1650185164.544318,1650185221.4023726
1650185222.5928311,1.0,50.0,151.98826599121094,457.7426452636719,1650185222.5928311,1650185270.6294322
1650185271.525939,1.0,50.0,148.76327514648438,423.7081298828125,1650185271.525939,1650185318.5133438
1650185319.978933,1.0,50.0,151.03866577148438,423.482666015625,1650185319.978933,1650185366.3577836
