,load,alloc,reward,sigma,event_start_time,event_end_time
1650179138.633854,48.5552978515625,50.0,0.5569947957992554,0.359907865524292,1650179138.633854,1650179148.68425
1650179149.0439944,49.777130126953125,50.0,0.9979674816131592,0.3187883496284485,1650179149.0439944,1650179160.8767374
1650179161.0900278,45.30592346191406,50.0,0.47710487246513367,0.2717632055282593,1650179161.0900278,1650179178.2842474
1650179178.5132127,43.678619384765625,50.0,1.0,0.36369648575782776,1650179178.5132127,1650179189.1362593
1650179189.4977145,50.072628021240234,50.0,0.9952380657196045,0.28171807527542114,1650179189.4977145,1650179204.2762475
1650179204.5952783,44.353370666503906,50.0,0.9594017267227173,0.3268602192401886,1650179204.5952783,1650179217.0633276
1650179217.2622085,40.0822639465332,50.0,1.0,0.3795948028564453,1650179217.2622085,1650179227.9402475
1650179228.2571318,43.0748176574707,50.0,1.0,0.3535533845424652,1650179228.2571318,1650179239.9112732
1650179240.5299976,42.74518585205078,50.0,1.0,0.37011659145355225,1650179240.5299976,1650179251.127682
1650179251.3775897,39.36600875854492,50.0,1.0,0.35311228036880493,1650179251.3775897,1650179263.5962532
1650179277.6656106,40.42490005493164,25.0,0.43759873509407043,0.2810497283935547,1650179277.6656106,1650179295.3279915
1650179295.7367551,40.66175079345703,25.0,1.0,0.30599501729011536,1650179295.7367551,1650179310.9844995
1650179311.205766,41.0913200378418,25.0,1.0,0.3823595643043518,1650179311.205766,1650179321.9136238
1650179322.0825195,38.628753662109375,25.0,0.5995575189590454,0.3325950503349304,1650179322.0825195,1650179335.8287566
1650179335.939884,36.16334915161133,25.0,1.0,0.3544405996799469,1650179335.939884,1650179348.991773
1650179349.3091898,40.6759033203125,25.0,1.0,0.37319669127464294,1650179349.3091898,1650179360.372251
1650179360.5187256,43.744781494140625,25.0,0.8761261105537415,0.3355780243873596,1650179360.5187256,1650179372.4058578
1650179372.5217345,42.88163757324219,25.0,0.8492871522903442,0.3191128373146057,1650179372.5217345,1650179385.6975372
1650179385.9764457,40.49778366088867,25.0,1.0,0.30949223041534424,1650179385.9764457,1650179400.8167646
1650179401.0612266,37.18513488769531,25.0,1.0,0.29437240958213806,1650179401.0612266,1650179418.5413294
1650179431.1104136,41.00654220581055,16.0,1.0,0.36760732531547546,1650179431.1104136,1650179442.0842726
1650179442.2962966,35.40714645385742,16.0,0.844192624092102,0.37635496258735657,1650179442.2962966,1650179454.3842516
1650179454.5204272,37.276554107666016,16.0,1.0,0.3187883496284485,1650179454.5204272,1650179469.972499
1650179470.2212985,40.099510192871094,16.0,0.7426470518112183,0.3500700294971466,1650179470.2212985,1650179482.3411474
1650179482.518462,43.03519821166992,16.0,0.5789473652839661,0.2823912501335144,1650179482.518462,1650179499.132769
1650179499.3621936,42.04621124267578,16.0,0.22849082946777344,0.26555952429771423,1650179499.3621936,1650179518.055912
1650179518.2781153,39.52290344238281,16.0,0.514096200466156,0.2879561483860016,1650179518.2781153,1650179535.8122528
1650179536.0742083,41.85783767700195,16.0,1.0,0.37904903292655945,1650179536.0742083,1650179546.3709657
1650179546.5432806,37.822242736816406,16.0,1.0,0.37904903292655945,1650179546.5432806,1650179557.9122517
1650179558.098493,41.561798095703125,16.0,0.7524038553237915,0.3466876149177551,1650179558.098493,1650179570.0325296
1650179570.2549953,37.80169677734375,16.0,0.6710774898529053,0.3074377179145813,1650179570.2549953,1650179586.471199
1650179586.6278887,38.36214828491211,16.0,1.0,0.40555354952812195,1650179586.6278887,1650179596.8984294
1650179610.1684437,38.65079879760742,1.0,0.1589404046535492,0.5,1650179610.1684437,1650179620.8538637
1650179621.0767899,40.32901382446289,1.0,0.1568627506494522,0.5,1650179621.0767899,1650179631.3919437
1650179631.56901,38.964420318603516,1.0,0.19745223224163055,0.5,1650179631.56901,1650179642.8613634
1650179643.0441937,35.42466735839844,1.0,0.21153846383094788,0.5,1650179643.0441937,1650179653.4324348
1650179653.5437605,36.64329147338867,1.0,0.16438356041908264,0.5,1650179653.5437605,1650179664.5962605
1650179664.7052355,39.363075256347656,1.0,0.16438356041908264,0.5,1650179664.7052355,1650179676.8231914
1650179676.9139636,41.4306526184082,1.0,0.19745223224163055,0.5,1650179676.9139636,1650179688.8857763
1650179689.041542,39.376609802246094,1.0,0.15789473056793213,0.5,1650179689.041542,1650179700.114105
1650179700.2502654,39.62187957763672,1.0,0.1599999964237213,0.5,1650179700.2502654,1650179713.096703
1650179713.1725464,41.98821258544922,1.0,0.16107381880283356,0.5,1650179713.1725464,1650179726.3190932
1650179738.40116,41.30020523071289,1.0,0.158620685338974,0.5,1650179738.40116,1650179750.7013414
1650179782.189016,39.03010177612305,36.0,0.748603343963623,0.3737175464630127,1650179782.189016,1650179793.7185783
1650179793.9216523,40.21561813354492,36.0,0.991304337978363,0.3806934952735901,1650179793.9216523,1650179804.1664286
1650179804.2853978,38.241363525390625,36.0,1.0,0.36273813247680664,1650179804.2853978,1650179816.1050606
1650179816.3540103,36.96810531616211,36.0,0.7955390214920044,0.3048553764820099,1650179816.3540103,1650179833.1252239
1650179833.4608843,42.9887809753418,36.0,1.0,0.29591497778892517,1650179833.4608843,1650179848.860251
1650179849.1330607,37.87303161621094,36.0,1.0,0.3910309374332428,1650179849.1330607,1650179859.668262
1650179859.9350083,37.57810974121094,36.0,0.692893385887146,0.35623523592948914,1650179859.9350083,1650179872.2826226
1650179872.3904586,36.61854553222656,36.0,0.9102563858032227,0.35805743932724,1650179872.3904586,1650179885.3347187
1650179885.547284,40.00635528564453,36.0,1.0,0.39163023233413696,1650179885.547284,1650179895.595687
1650179895.7664943,34.82496643066406,36.0,1.0,0.3959037959575653,1650179895.7664943,1650179907.137647
1650179924.2571135,41.56107711791992,2.0,0.1666666716337204,0.5,1650179924.2571135,1650179935.1326733
1650179935.323545,37.62126159667969,2.0,0.16355140507221222,0.48336824774742126,1650179935.323545,1650179946.4874446
1650179946.5783355,38.497623443603516,2.0,0.1690140813589096,0.48450157046318054,1650179946.5783355,1650179959.436272
1650179959.529287,40.80448913574219,2.0,0.1587301641702652,0.5,1650179959.529287,1650179973.2042534
