,load,alloc,reward,sigma,event_start_time,event_end_time
1650179143.061303,1.0,50.0,340.62615966796875,321.57855224609375,1650179143.061303,1650179159.5867512
1650179160.5385082,1.0,50.0,325.2569274902344,440.94207763671875,1650179160.5385082,1650179182.8285794
1650179184.4396574,1.0,50.0,380.49005126953125,450.0728759765625,1650179184.4396574,1650179204.0196695
1650179205.5449128,1.0,50.0,274.26171875,446.3563232421875,1650179205.5449128,1650179232.5264401
1650179277.482334,1.0,21.0,187.20733642578125,243.78602600097656,1650179277.482334,1650179300.8147535
1650179301.8140943,1.0,21.0,232.74472045898438,249.90518188476562,1650179301.8140943,1650179321.122803
1650179321.685316,1.0,21.0,167.74708557128906,197.82325744628906,1650179321.685316,1650179343.3667667
1650179344.322313,1.0,21.0,336.7770080566406,253.83506774902344,1650179344.322313,1650179357.6664543
1650179358.566395,1.0,21.0,252.33428955078125,252.76478576660156,1650179358.566395,1650179376.5425487
1650179377.4638689,1.0,21.0,323.2645263671875,253.5335235595703,1650179377.4638689,1650179391.4307587
1650179392.1056652,1.0,21.0,263.4420166015625,251.56515502929688,1650179392.1056652,1650179409.1644473
1650179438.797132,1.0,15.0,185.5655975341797,194.47625732421875,1650179438.797132,1650179458.1164463
1650179458.8049104,1.0,15.0,140.43040466308594,194.775634765625,1650179458.8049104,1650179484.2267551
1650179484.994336,1.0,15.0,173.12619018554688,192.4822540283203,1650179484.994336,1650179505.4418492
1650179506.3317518,1.0,15.0,166.189208984375,188.197021484375,1650179506.3317518,1650179527.0912232
1650179527.743907,1.0,15.0,163.29244995117188,189.4130096435547,1650179527.743907,1650179548.9635046
1650179549.291536,1.0,15.0,188.91436767578125,192.1665496826172,1650179549.291536,1650179567.9507835
1650179568.6221333,1.0,15.0,246.68101501464844,182.75454711914062,1650179568.6221333,1650179582.226747
1650179600.1363983,1.0,2.0,53.111854553222656,36.48419952392578,1650179600.1363983,1650179613.673866
1650179613.8871498,1.0,2.0,56.49028015136719,42.37946701049805,1650179613.8871498,1650179628.650752
1650179628.8110933,1.0,2.0,43.50695037841797,41.19439697265625,1650179628.8110933,1650179647.4288085
1650179647.5757284,1.0,2.0,43.904354095458984,38.973594665527344,1650179647.5757284,1650179665.0227456
1650179665.1559856,1.0,2.0,46.685855865478516,39.623687744140625,1650179665.1559856,1650179681.8205614
1650179681.9429772,1.0,2.0,38.75981521606445,40.10470199584961,1650179681.9429772,1650179702.2733119
1650179702.3948052,1.0,2.0,46.317832946777344,40.144309997558594,1650179702.3948052,1650179719.4508708
1650179780.980338,1.0,71.0,405.5517883300781,305.744384765625,1650179780.980338,1650179794.2215571
1650179795.1226716,1.0,71.0,291.5842590332031,389.55279541015625,1650179795.1226716,1650179817.7027652
1650179819.9763386,1.0,71.0,174.8430633544922,473.98797607421875,1650179819.9763386,1650179863.7984955
1650179866.4478679,1.0,71.0,348.7575988769531,468.5200500488281,1650179866.4478679,1650179888.2223036
1650179889.3855338,1.0,71.0,233.9474639892578,453.9292907714844,1650179889.3855338,1650179920.2215173
1650179955.8437326,1.0,3.0,49.22645950317383,47.49372100830078,1650179955.8437326,1650179974.6547544
1650179974.804939,1.0,3.0,64.58167266845703,49.522422790527344,1650179974.804939,1650179989.7162905
1650179989.8371344,1.0,3.0,71.90690612792969,48.83613586425781,1650179989.8371344,1650180003.0625675
1650180003.2736967,1.0,3.0,72.50392150878906,49.61151123046875,1650180003.2736967,1650180016.5971138
