,load,alloc,reward,sigma,event_start_time,event_end_time
1650179165.3102272,40.710411071777344,50.0,1.0,0.359907865524292,1650179165.3102272,1650179177.0762591
1650179177.4907632,47.80244827270508,50.0,1.0,0.34836649894714355,1650179177.4907632,1650179188.2433503
1650179188.7848804,48.35804748535156,50.0,1.0,0.34340140223503113,1650179188.7848804,1650179199.4759655
1650179200.0108974,43.17816162109375,50.0,1.0,0.36131468415260315,1650179200.0108974,1650179210.9886687
1650179211.3319247,44.427066802978516,50.0,1.0,0.31782087683677673,1650179211.3319247,1650179224.1169236
1650179224.3249326,44.99070739746094,50.0,1.0,0.3109852075576782,1650179224.3249326,1650179237.9055142
1650179238.190968,43.96133804321289,50.0,1.0,0.30599501729011536,1650179238.190968,1650179252.4762478
1650179252.6627774,39.56439208984375,50.0,1.0,0.3355780243873596,1650179252.6627774,1650179265.8817341
1650179266.2895546,40.81970977783203,50.0,1.0,0.3737175464630127,1650179266.2895546,1650179277.2891424
1650179288.4056215,37.616424560546875,17.0,1.0,0.36131468415260315,1650179288.4056215,1650179300.4482334
1650179300.755605,34.629722595214844,17.0,0.7633262276649475,0.32651156187057495,1650179300.755605,1650179316.3202689
1650179316.581561,38.47037124633789,17.0,1.0,0.29961076378822327,1650179316.581561,1650179332.9577997
1650179333.091488,37.97766876220703,17.0,1.0,0.2849014401435852,1650179333.091488,1650179351.233729
1650179351.6233299,39.97176742553711,17.0,1.0,0.36810508370399475,1650179351.6233299,1650179362.8562582
1650179363.1631618,37.0786018371582,17.0,1.0,0.3479444980621338,1650179363.1631618,1650179376.3783307
1650179376.739968,35.59742736816406,17.0,1.0,0.3795948028564453,1650179376.739968,1650179389.07232
1650179389.4534156,39.8973388671875,17.0,1.0,0.34340140223503113,1650179389.4534156,1650179402.236223
1650179402.3445435,40.043460845947266,17.0,1.0,0.37904903292655945,1650179402.3445435,1650179413.1577947
1650179413.5665069,42.03858947753906,17.0,1.0,0.3471050560474396,1650179413.5665069,1650179425.2938266
1650179425.8775806,40.851131439208984,17.0,1.0,0.3834824860095978,1650179425.8775806,1650179436.2322507
1650179449.713703,38.11405563354492,7.0,1.0,0.3386427164077759,1650179449.713703,1650179463.3569639
1650179463.6402924,38.183258056640625,7.0,0.33043476939201355,0.2691909372806549,1650179463.6402924,1650179483.3085985
1650179483.5661027,35.36265563964844,7.0,0.8340708017349243,0.3325950503349304,1650179483.5661027,1650179498.5819435
1650179499.0509188,37.56739044189453,7.0,0.16535432636737823,0.2561577558517456,1650179499.0509188,1650179523.6200988
1650179524.3116693,40.908023834228516,7.0,0.19274093210697174,0.2501564025878906,1650179524.3116693,1650179546.263353
1650179546.6179457,40.964420318603516,7.0,0.45985400676727295,0.3020610511302948,1650179546.6179457,1650179562.192437
1650179562.4971116,38.09162521362305,7.0,0.4253731369972229,0.27317917346954346,1650179562.4971116,1650179582.160227
1650179582.385526,36.03477478027344,7.0,1.0,0.34921514987945557,1650179582.385526,1650179595.9002485
1650179596.2024107,39.920738220214844,7.0,1.0,0.3363364040851593,1650179596.2024107,1650179609.2282214
1650179678.4987278,35.31370544433594,500.0,1.0,0.40555354952812195,1650179678.4987278,1650179688.9762466
1650179689.1098466,33.60694885253906,500.0,1.0,0.41812101006507874,1650179689.1098466,1650179699.8516726
1650179699.9744735,35.21821212768555,500.0,1.0,0.3910309374332428,1650179699.9744735,1650179711.5877833
1650179711.7650855,42.15371322631836,500.0,1.0,0.3548867106437683,1650179711.7650855,1650179723.1282604
1650179723.3396835,38.33626174926758,500.0,1.0,0.38461539149284363,1650179723.3396835,1650179734.2431984
1650179734.8757026,38.714637756347656,500.0,1.0,0.4029114842414856,1650179734.8757026,1650179745.0010715
1650179745.226552,38.8621940612793,500.0,1.0,0.381246417760849,1650179745.226552,1650179756.239826
1650179756.9818704,43.192874908447266,500.0,1.0,0.3795948028564453,1650179756.9818704,1650179767.076128
1650179767.6528018,36.61277770996094,500.0,1.0,0.3874921202659607,1650179767.6528018,1650179778.7691395
1650179778.913451,39.90814971923828,500.0,1.0,0.39968037605285645,1650179778.913451,1650179789.0116389
1650179833.1112072,38.5537109375,3.0,0.11331444978713989,0.37635496258735657,1650179833.1112072,1650179844.3682296
1650179844.6421041,36.28642654418945,3.0,1.0,0.37319669127464294,1650179844.6421041,1650179856.2442381
1650179856.3741183,35.087371826171875,3.0,0.20551379024982452,0.3539961576461792,1650179856.3741183,1650179870.3962572
1650179870.6930876,40.320072174072266,3.0,0.19770115613937378,0.33903175592422485,1650179870.6930876,1650179885.4004018
1650179885.5823016,36.74187469482422,3.0,0.1450381726026535,0.3566882014274597,1650179885.5823016,1650179899.163536
1650179899.3866327,34.693538665771484,3.0,0.12010443955659866,0.36131468415260315,1650179899.3866327,1650179912.097934
1650179912.3690526,35.9488410949707,3.0,1.0,0.3886610269546509,1650179912.3690526,1650179923.7463315
1650179924.072706,35.67464828491211,3.0,0.19178082048892975,0.33786869049072266,1650179924.072706,1650179942.685364
1650179997.4073887,37.818504333496094,284.0,1.0,0.3496417999267578,1650179997.4073887,1650180010.0202625
1650180010.2371743,38.15730667114258,284.0,1.0,0.37113481760025024,1650180010.2371743,1650180021.3490696
1650180021.4909134,35.02555847167969,284.0,1.0,0.4116934835910797,1650180021.4909134,1650180032.1688297
1650180032.424864,37.85128402709961,284.0,1.0,0.3952847123146057,1650180032.424864,1650180042.992537
1650180043.24043,37.831703186035156,284.0,1.0,0.3585173785686493,1650180043.24043,1650180055.3202455
1650180055.5714657,37.56333541870117,284.0,1.0,0.3952847123146057,1650180055.5714657,1650180066.2467694
1650180066.6978843,40.404476165771484,284.0,1.0,0.34627169370651245,1650180066.6978843,1650180079.097501
1650180079.342501,38.18452835083008,284.0,1.0,0.3617872893810272,1650180079.342501,1650180091.5725856
1650180091.9347494,38.381385803222656,284.0,1.0,0.35223498940467834,1650180091.9347494,1650180104.1802685
1650180104.3159373,40.4822883605957,284.0,1.0,0.32581761479377747,1650180104.3159373,1650180118.2479556
1650180118.511615,36.78683090209961,284.0,1.0,0.37904903292655945,1650180118.511615,1650180129.9559278
1650180154.454657,36.78424835205078,3.0,0.12082262337207794,0.3585173785686493,1650180154.454657,1650180168.0202465
1650180168.3276527,35.57844924926758,3.0,0.19599108397960663,0.3337043225765228,1650180168.3276527,1650180187.41224
1650180187.6832352,36.227943420410156,3.0,0.14609572291374207,0.3548867106437683,1650180187.6832352,1650180208.1922662
1650180208.518081,35.37023162841797,3.0,0.20794393122196198,0.3417929708957672,1650180208.518081,1650180229.750626
1650180229.8698745,33.11705017089844,3.0,0.20659340918064117,0.3314967751502991,1650180229.8698745,1650180246.5380263
