,load,alloc,reward,sigma,event_start_time,event_end_time
1650224107.3087068,47.238922119140625,4.0,0.0,0.5,1650224107.3087068,1650224117.999044
1650224118.153484,48.20419692993164,4.0,0.0037878789007663727,0.43519413471221924,1650224118.153484,1650224128.194104
1650224128.417583,47.80815887451172,4.0,0.20000000298023224,0.37011659145355225,1650224128.417583,1650224144.0425305
1650224144.266824,46.674312591552734,4.0,0.13294798135757446,0.3801429569721222,1650224144.266824,1650224159.7785685
1650224160.1900766,46.24036407470703,4.0,0.21024258434772491,0.36711156368255615,1650224160.1900766,1650224178.7236671
1650224178.940185,45.22712707519531,4.0,0.1767955869436264,0.37164705991744995,1650224178.940185,1650224197.0930076
1650224197.3584998,39.651493072509766,4.0,0.14540059864521027,0.3851855993270874,1650224197.3584998,1650224211.2545712
1650224211.5988023,43.40728759765625,4.0,0.11728394776582718,0.3928371071815491,1650224211.5988023,1650224226.4119828
1650224226.7614636,40.295387268066406,4.0,0.19452054798603058,0.37011659145355225,1650224226.7614636,1650224240.6836529
1650224241.0990348,39.08552932739258,4.0,1.0,0.4009634554386139,1650224241.0990348,1650224251.3585865
1650224288.7114396,42.07482147216797,65.0,0.6389610171318054,0.36037498712539673,1650224288.7114396,1650224299.905783
1650224300.0396562,39.5001106262207,65.0,1.0,0.3886610269546509,1650224300.0396562,1650224310.2927923
1650224310.5883746,37.918251037597656,65.0,1.0,0.35805743932724,1650224310.5883746,1650224322.6406186
1650224322.9049897,39.184722900390625,65.0,0.46503496170043945,0.2956562042236328,1650224322.9049897,1650224339.9779696
1650224340.4774005,44.15249252319336,65.0,0.540229856967926,0.30949223041534424,1650224340.4774005,1650224354.2478576
1650224354.508238,43.59873962402344,65.0,0.8461538553237915,0.3314967751502991,1650224354.508238,1650224366.8251078
1650224367.2068715,41.819068908691406,65.0,1.0,0.3834824860095978,1650224367.2068715,1650224377.3457868
1650224377.540025,36.785614013671875,65.0,0.8476190567016602,0.34503278136253357,1650224377.540025,1650224391.1322951
1650224391.4741764,40.671749114990234,65.0,0.9974293112754822,0.3585173785686493,1650224391.4741764,1650224402.980935
1650224415.3187048,36.71531677246094,66.0,0.9979507923126221,0.32009220123291016,1650224415.3187048,1650224430.3260648
1650224430.512997,36.559017181396484,66.0,0.9411764740943909,0.3500700294971466,1650224430.512997,1650224443.8065703
1650224444.3275392,40.59275817871094,66.0,0.9974489808082581,0.3571428656578064,1650224444.3275392,1650224455.782784
1650224455.9785929,43.65220260620117,66.0,1.0,0.33671751618385315,1650224455.9785929,1650224468.4407363
1650224468.6999798,40.86784744262695,66.0,0.9018567800521851,0.36417850852012634,1650224468.6999798,1650224479.7844882
1650224480.0988634,45.46002197265625,66.0,1.0,0.3691067397594452,1650224480.0988634,1650224490.3936229
1650224490.8109322,40.45586395263672,66.0,0.9886363744735718,0.376889169216156,1650224490.8109322,1650224501.8105733
1650224502.2741945,39.51905059814453,66.0,0.9973545074462891,0.36369648575782776,1650224502.2741945,1650224513.73702
1650224513.9815032,43.5223503112793,66.0,1.0,0.37011659145355225,1650224513.9815032,1650224524.3899486
1650224524.8096652,38.42985916137695,66.0,0.5239923000335693,0.30978909134864807,1650224524.8096652,1650224540.4745681
1650224540.6482432,41.783660888671875,66.0,0.9976019263267517,0.34627169370651245,1650224540.6482432,1650224552.6385756
1650224572.7566772,38.708473205566406,67.0,1.0,0.38691163063049316,1650224572.7566772,1650224583.1936686
1650224583.4978538,39.09959030151367,67.0,1.0,0.39405521750450134,1650224583.4978538,1650224593.7025647
1650224593.8849676,39.02261734008789,67.0,1.0,0.37424060702323914,1650224593.8849676,1650224604.7760873
1650224605.0962017,41.009464263916016,67.0,1.0,0.3806934952735901,1650224605.0962017,1650224615.484048
1650224615.8054333,38.57308578491211,67.0,0.9255014061927795,0.3785055875778198,1650224615.8054333,1650224626.7197793
1650224626.9909606,35.125274658203125,67.0,1.0,0.3466876149177551,1650224626.9909606,1650224641.1687853
1650224641.3591654,37.42585372924805,67.0,1.0,0.3840476870536804,1650224641.3591654,1650224652.6347928
1650224652.842971,43.42441177368164,67.0,1.0,0.30316951870918274,1650224652.842971,1650224667.212769
1650224667.3920262,39.22721481323242,67.0,1.0,0.3651483654975891,1650224667.3920262,1650224678.812669
1650224679.040504,40.14158248901367,67.0,0.9977827072143555,0.33296358585357666,1650224679.040504,1650224692.2935934
1650224692.65756,42.07571792602539,67.0,1.0,0.3513641953468323,1650224692.65756,1650224704.3032317
1650224704.443207,40.04116439819336,67.0,1.0,0.36417850852012634,1650224704.443207,1650224715.9813328
1650224730.4217782,39.03605270385742,66.0,1.0,0.363216370344162,1650224730.4217782,1650224742.231374
1650224742.5311399,37.41634750366211,66.0,1.0,0.3971507251262665,1650224742.5311399,1650224753.03457
1650224753.5233223,38.561466217041016,66.0,0.9979338645935059,0.32141217589378357,1650224753.5233223,1650224767.9937267
1650224768.36265,43.86260223388672,66.0,1.0,0.3553345203399658,1650224768.36265,1650224779.465502
1650224779.8724086,39.147850036621094,66.0,1.0,0.3622617721557617,1650224779.8724086,1650224792.108074
1650224792.4896278,35.50419235229492,66.0,0.7472222447395325,0.3726779818534851,1650224792.4896278,1650224804.6290388
1650224804.9408505,37.912620544433594,66.0,0.7050209045410156,0.3234231173992157,1650224804.9408505,1650224819.7116575
1650224819.8576233,45.28865432739258,66.0,1.0,0.3318616449832916,1650224819.8576233,1650224831.6265755
1650224831.7712696,38.00335693359375,66.0,1.0,0.3706246614456177,1650224831.7712696,1650224843.5860157
1650224858.1796134,39.59898376464844,67.0,1.0,0.3965258002281189,1650224858.1796134,1650224868.3818955
1650224868.8082445,37.49690628051758,67.0,1.0,0.33671751618385315,1650224868.8082445,1650224882.5160422
1650224882.9085019,39.22058868408203,67.0,1.0,0.2742042541503906,1650224882.9085019,1650224902.1585953
1650224902.4421775,41.507469177246094,67.0,0.3622526526451111,0.27586862444877625,1650224902.4421775,1650224920.1980188
1650224920.4095507,38.705326080322266,67.0,1.0,0.3752933144569397,1650224920.4095507,1650224931.5191326
