,load,alloc,reward,sigma,event_start_time,event_end_time
1650224112.2536688,1.0,118.0,693.3762817382812,521.2485961914062,1650224112.2536688,1650224124.1635082
1650224126.03905,1.0,118.0,412.9830322265625,613.0291748046875,1650224126.03905,1650224148.41043
1650224150.4331522,1.0,118.0,652.9489135742188,704.84912109375,1650224150.4331522,1650224166.6289058
1650224169.5110574,1.0,118.0,176.4349365234375,276.0138244628906,1650224169.5110574,1650224196.954601
1650224197.6724606,1.0,118.0,523.2064208984375,336.0250549316406,1650224197.6724606,1650224208.8535156
1650224210.7768555,1.0,118.0,596.8925170898438,689.9484252929688,1650224210.7768555,1650224227.3811846
1650224228.4926243,1.0,118.0,412.02618408203125,617.3375854492188,1650224228.4926243,1650224251.2169077
1650224271.5557477,1.0,66.0,197.18832397460938,461.0725402832031,1650224271.5557477,1650224310.5387874
1650224312.6886592,1.0,66.0,338.2303466796875,538.342041015625,1650224312.6886592,1650224338.4196448
1650224340.1274083,1.0,66.0,278.657470703125,584.1915283203125,1650224340.1274083,1650224373.286397
1650224375.4123719,1.0,66.0,225.06192016601562,589.1709594726562,1650224375.4123719,1650224417.0542455
1650224418.1640399,1.0,66.0,281.8767395019531,606.1668090820312,1650224418.1640399,1650224451.8809054
1650224453.605621,1.0,66.0,227.1790771484375,622.7452392578125,1650224453.605621,1650224496.3120193
1650224497.518845,1.0,66.0,228.11981201171875,601.0687866210938,1650224497.518845,1650224539.1811614
1650224540.9618847,1.0,66.0,214.29049682617188,587.9944458007812,1650224540.9618847,1650224584.6969078
1650224586.0201266,1.0,66.0,306.8630676269531,601.2699584960938,1650224586.0201266,1650224616.991597
1650224618.9417913,1.0,66.0,268.19488525390625,616.9967651367188,1650224618.9417913,1650224655.1169765
1650224657.3140116,1.0,66.0,255.6275634765625,606.1571655273438,1650224657.3140116,1650224694.7512898
1650224696.830797,1.0,66.0,280.7898864746094,587.2403564453125,1650224696.830797,1650224729.9730165
1650224732.1218555,1.0,66.0,214.9866180419922,614.99609375,1650224732.1218555,1650224775.7152665
