,load,alloc,reward,sigma,event_start_time,event_end_time
1650228004.9886057,22.535354614257812,1.0,0.0,0.5,1650228004.9886057,1650228015.549789
1650228015.6501172,22.531766891479492,1.0,0.015384615398943424,0.5,1650228015.6501172,1650228025.7247818
1650228025.8167372,23.68538475036621,1.0,0.14666666090488434,0.5,1650228025.8167372,1650228037.2583926
1650228058.3570108,20.849205017089844,50.0,0.5925925970077515,0.5,1650228058.3570108,1650228068.4293377
1650228068.6026478,23.876262664794922,50.0,0.8893805146217346,0.4703604280948639,1650228068.6026478,1650228080.3297763
1650228080.5953686,21.118349075317383,50.0,1.0,0.5,1650228080.5953686,1650228091.9125414
1650228092.0647576,19.368732452392578,50.0,1.0,0.5,1650228092.0647576,1650228104.146085
1650228104.3521118,19.77898597717285,50.0,1.0,0.5,1650228104.3521118,1650228115.9806151
1650228116.207119,19.918983459472656,50.0,1.0,0.5,1650228116.207119,1650228126.549012
1650228126.8189676,18.75779151916504,50.0,1.0,0.5,1650228126.8189676,1650228138.5474274
1650228138.7287772,18.593490600585938,50.0,1.0,0.5,1650228138.7287772,1650228149.1087534
1650228149.2767303,17.592891693115234,50.0,1.0,0.5,1650228149.2767303,1650228160.1333878
1650228160.3624241,19.440385818481445,50.0,1.0,0.5,1650228160.3624241,1650228170.4445283
1650228170.6409078,19.024398803710938,50.0,1.0,0.5,1650228170.6409078,1650228181.1011593
1650228181.203427,19.155933380126953,50.0,1.0,0.5,1650228181.203427,1650228193.6799796
1650228193.856644,19.402698516845703,50.0,1.0,0.492664635181427,1650228193.856644,1650228206.329136
1650228206.4029474,17.524879455566406,50.0,1.0,0.5,1650228206.4029474,1650228218.9565294
1650228219.1346047,18.051836013793945,50.0,1.0,0.5,1650228219.1346047,1650228229.2166815
1650228229.3652377,20.196657180786133,50.0,0.9890710115432739,0.5,1650228229.3652377,1650228240.8027742
1650228240.9739904,20.201936721801758,50.0,1.0,0.5,1650228240.9739904,1650228253.1015408
1650228253.3435743,20.50821304321289,50.0,0.9512194991111755,0.4938648045063019,1650228253.3435743,1650228265.436291
1650228265.6925743,19.02840232849121,50.0,1.0,0.5,1650228265.6925743,1650228276.2557309
1650228276.471765,17.767475128173828,50.0,1.0,0.5,1650228276.471765,1650228288.572528
1650228288.768467,19.02546501159668,50.0,1.0,0.5,1650228288.768467,1650228300.1216717
1650228300.3283362,20.08679962158203,50.0,0.9951691031455994,0.4914731979370117,1650228300.3283362,1650228312.923673
1650228313.0510833,17.77724838256836,50.0,1.0,0.5,1650228313.0510833,1650228325.7639623
1650228325.966043,17.473997116088867,50.0,0.9939024448394775,0.5,1650228325.966043,1650228337.6405327
1650228337.9545488,18.258216857910156,50.0,1.0,0.5,1650228337.9545488,1650228349.6205294
1650228349.8389392,19.099449157714844,50.0,1.0,0.5,1650228349.8389392,1650228360.6769485
1650228360.9204252,21.18108367919922,50.0,0.9954338073730469,0.47781848907470703,1650228360.9204252,1650228373.2899528
1650228373.5932243,20.44925308227539,50.0,1.0,0.4856429398059845,1650228373.5932243,1650228386.4543293
1650228386.7771778,19.44539451599121,50.0,0.9942857027053833,0.5,1650228386.7771778,1650228397.6280766
1650228397.8214476,18.631729125976562,50.0,1.0,0.5,1650228397.8214476,1650228409.9512932
1650228410.0831308,20.242992401123047,50.0,1.0,0.5,1650228410.0831308,1650228421.7908864
1650228421.9736402,17.619409561157227,50.0,1.0,0.5,1650228421.9736402,1650228432.5869362
1650228432.7725015,20.34023666381836,50.0,1.0,0.5,1650228432.7725015,1650228444.4734473
1650228444.6380322,17.390100479125977,50.0,0.9090909361839294,0.4767313003540039,1650228444.6380322,1650228459.416555
