,load,alloc,reward,sigma,event_start_time,event_end_time
1650228059.2670076,43.03889465332031,50.0,1.0,0.3594425916671753,1650228059.2670076,1650228070.350006
1650228070.6624131,46.552032470703125,50.0,0.8226711750030518,0.23688969016075134,1650228070.6624131,1650228091.77857
1650228092.0308664,43.71991729736328,50.0,1.0,0.24663181602954865,1650228092.0308664,1650228112.8451781
1650228112.9875557,43.054290771484375,50.0,1.0,0.3268602192401886,1650228112.9875557,1650228126.3660128
1650228126.690654,44.54963684082031,50.0,1.0,0.2595870792865753,1650228126.690654,1650228145.6358144
1650228146.001326,38.986576080322266,50.0,1.0,0.24753688275814056,1650228146.001326,1650228169.1118448
1650228169.3565116,41.519554138183594,50.0,1.0,0.3892494738101959,1650228169.3565116,1650228179.375887
1650228179.6989868,37.87492752075195,50.0,1.0,0.31158846616744995,1650228179.6989868,1650228195.3293796
1650228195.671034,35.65654373168945,50.0,1.0,0.3134195804595947,1650228195.671034,1650228212.358013
1650228212.756218,39.295555114746094,50.0,1.0,0.30513909459114075,1650228212.756218,1650228228.814014
1650228229.3964438,38.34785079956055,50.0,1.0,0.2790727913379669,1650228229.3964438,1650228248.1980188
1650228248.5156045,37.496917724609375,50.0,1.0,0.3125,1650228248.5156045,1650228264.090218
1650228264.3932798,36.02687072753906,50.0,1.0,0.3686048984527588,1650228264.3932798,1650228276.6619005
1650228277.1722953,36.9172477722168,50.0,1.0,0.3409971594810486,1650228277.1722953,1650228291.0140643
1650228291.3153427,45.01585006713867,50.0,1.0,0.36961063742637634,1650228291.3153427,1650228301.334036
1650228301.6840606,40.12944793701172,50.0,1.0,0.2828427255153656,1650228301.6840606,1650228319.302046
1650228319.726218,39.067867279052734,50.0,1.0,0.32969024777412415,1650228319.726218,1650228333.6251078
1650228334.1301794,36.105262756347656,50.0,1.0,0.3571428656578064,1650228334.1301794,1650228347.092279
1650228347.2689784,38.80084991455078,50.0,1.0,0.32308533787727356,1650228347.2689784,1650228361.6243339
