,load,alloc,reward,sigma,event_start_time,event_end_time
1650223955.5722926,1.0,1.0,63.065093994140625,33.80225372314453,1650223955.5722926,1650223966.2279496
1650223966.3933809,1.0,1.0,26.878379821777344,34.238834381103516,1650223966.3933809,1650223991.6553202
1650223992.0552838,1.0,1.0,29.87567710876465,34.24537658691406,1650223992.0552838,1650224014.7493298
1650224014.829182,1.0,1.0,28.7490234375,34.9040641784668,1650224014.829182,1650224038.9691322
1650224039.1096919,1.0,1.0,27.747983932495117,34.840789794921875,1650224039.1096919,1650224064.012402
1650224064.2135081,1.0,1.0,41.2841911315918,34.673301696777344,1650224064.2135081,1650224080.8542597
1650224081.1627502,1.0,1.0,27.19622802734375,34.65274429321289,1650224081.1627502,1650224106.4603767
1650224106.7685473,1.0,1.0,35.67568588256836,34.944740295410156,1650224106.7685473,1650224126.1935415
1650224126.331947,1.0,1.0,27.355510711669922,34.933258056640625,1650224126.331947,1650224151.7016065
1650224151.8477888,1.0,1.0,42.06943130493164,34.81780242919922,1650224151.8477888,1650224168.2492468
