,load,alloc,reward,sigma,event_start_time,event_end_time
1650251701.737182,22.58257293701172,1.0,0.0,0.5,1650251701.737182,1650251712.3205645
1650251712.4370034,22.83296012878418,1.0,0.023255813866853714,0.5,1650251712.4370034,1650251722.4663644
1650251722.5535827,23.502946853637695,1.0,0.1589404046535492,0.5,1650251722.5535827,1650251733.9138606
1650251734.0928152,20.824905395507812,1.0,0.20000000298023224,0.5,1650251734.0928152,1650251745.8575742
1650251745.9737527,22.32733917236328,1.0,0.16447368264198303,0.5,1650251745.9737527,1650251758.0217626
1650251758.1037793,21.502063751220703,1.0,0.16447368264198303,0.5,1650251758.1037793,1650251769.684063
1650251769.784079,22.5466251373291,1.0,0.15789473056793213,0.5,1650251769.784079,1650251781.315738
1650251781.5059185,21.100656509399414,1.0,0.19620253145694733,0.5,1650251781.5059185,1650251793.5434587
1650251793.6648626,18.144746780395508,1.0,0.16447368264198303,0.5,1650251793.6648626,1650251805.2384598
1650251805.3739712,20.557279586791992,1.0,0.1599999964237213,0.5,1650251805.3739712,1650251816.659511
1650251816.764671,19.68960952758789,1.0,0.2866666615009308,0.5,1650251816.764671,1650251827.633348
1650251827.817937,18.632272720336914,1.0,0.15789473056793213,0.5,1650251827.817937,1650251839.7864182
1650251839.9156017,16.641725540161133,1.0,0.29139071702957153,0.5,1650251839.9156017,1650251851.332687
1650251851.4252112,18.750717163085938,1.0,0.15789473056793213,0.5,1650251851.4252112,1650251863.1047642
1650251863.1780005,19.9852237701416,1.0,0.15789473056793213,0.5,1650251863.1780005,1650251875.1868727
1650251875.368933,18.670978546142578,1.0,0.276729553937912,0.5,1650251875.368933,1650251887.0448072
1650251887.2133596,19.479944229125977,1.0,0.2763157784938812,0.5,1650251887.2133596,1650251898.1990173
1650251898.4563076,18.691736221313477,1.0,0.16447368264198303,0.5,1650251898.4563076,1650251909.8517172
1650251909.954443,16.997615814208984,1.0,0.1589404046535492,0.5,1650251909.954443,1650251921.3678086
1650251921.4848258,18.50389289855957,1.0,0.1589404046535492,0.5,1650251921.4848258,1650251932.9959173
1650251933.1143153,21.43205451965332,1.0,0.15789473056793213,0.5,1650251933.1143153,1650251944.6391087
1650251944.7782998,21.00765609741211,1.0,0.37735849618911743,0.5,1650251944.7782998,1650251956.0122998
1650251956.1506674,18.826480865478516,1.0,0.15789473056793213,0.5,1650251956.1506674,1650251968.101919
1650251968.2406993,18.220821380615234,1.0,0.1599999964237213,0.5,1650251968.2406993,1650251979.8757396
1650251979.9734898,17.56292152404785,1.0,0.15789473056793213,0.5,1650251979.9734898,1650251991.8166223
1650251991.9558022,20.17161750793457,1.0,0.20253165066242218,0.5,1650251991.9558022,1650252003.6058342
1650252003.7274616,19.521438598632812,1.0,0.1589404046535492,0.5,1650252003.7274616,1650252015.611832
1650252015.7636392,16.93870735168457,1.0,0.9738562107086182,0.5,1650252015.7636392,1650252027.2166967
1650252027.3177667,17.131336212158203,1.0,0.15789473056793213,0.5,1650252027.3177667,1650252038.8755336
1650252039.0322013,18.548181533813477,1.0,0.3987341821193695,0.5,1650252039.0322013,1650252050.3540654
1650252050.4321036,20.65304946899414,1.0,0.15789473056793213,0.5,1650252050.4321036,1650252062.585272
1650252062.7059066,19.516433715820312,1.0,0.16447368264198303,0.5,1650252062.7059066,1650252074.4396079
1650252074.6775339,21.40949249267578,1.0,0.15789473056793213,0.5,1650252074.6775339,1650252086.0743473
1650252086.2182205,19.14967918395996,1.0,0.15789473056793213,0.5,1650252086.2182205,1650252098.2810853
1650252098.4235659,18.173667907714844,1.0,0.21383647620677948,0.5,1650252098.4235659,1650252109.9237216
1650252110.0266585,19.528844833374023,1.0,0.21875,0.5,1650252110.0266585,1650252121.5480776
1650252121.765219,18.015907287597656,1.0,0.15789473056793213,0.5,1650252121.765219,1650252133.2550645
1650252133.3153818,19.803932189941406,1.0,0.1589404046535492,0.5,1650252133.3153818,1650252144.979732
1650252145.1274493,17.294658660888672,1.0,0.16447368264198303,0.5,1650252145.1274493,1650252156.9808195
1650252157.1486633,18.054540634155273,1.0,0.21019108593463898,0.5,1650252157.1486633,1650252168.6139235
1650252168.7043922,17.525634765625,1.0,0.15789473056793213,0.5,1650252168.7043922,1650252180.287425
1650252180.3896992,18.162105560302734,1.0,0.1599999964237213,0.5,1650252180.3896992,1650252191.7319963
1650252191.934065,19.333425521850586,1.0,0.27848100662231445,0.5,1650252191.934065,1650252203.1064258
1650252203.2377617,19.109437942504883,1.0,0.1589404046535492,0.5,1650252203.2377617,1650252214.9597178
1650252215.2114854,16.910682678222656,1.0,0.19620253145694733,0.5,1650252215.2114854,1650252227.2157311
1650252227.3106227,17.28249168395996,1.0,0.1589404046535492,0.5,1650252227.3106227,1650252239.1144764
1650252239.2518046,19.099430084228516,1.0,0.1589404046535492,0.5,1650252239.2518046,1650252251.032261
1650252251.2120874,19.610187530517578,1.0,0.3812499940395355,0.5,1650252251.2120874,1650252262.5837278
1650252262.6668146,18.590862274169922,1.0,0.44078946113586426,0.5,1650252262.6668146,1650252273.2634184
1650252273.3537288,19.18265724182129,1.0,0.16447368264198303,0.5,1650252273.3537288,1650252285.343726
1650252285.4216719,19.292089462280273,1.0,0.15789473056793213,0.5,1650252285.4216719,1650252296.8771443
1650252296.9994228,19.07162094116211,1.0,0.1589404046535492,0.5,1650252296.9994228,1650252308.587321
1650252308.797648,18.450138092041016,1.0,0.19620253145694733,0.5,1650252308.797648,1650252321.0468786
1650252321.2257693,19.486722946166992,1.0,0.1589404046535492,0.5,1650252321.2257693,1650252333.1313117
1650252333.2651312,17.118919372558594,1.0,1.0,0.5,1650252333.2651312,1650252343.4877386
1650252343.5871565,18.818994522094727,1.0,0.1589404046535492,0.5,1650252343.5871565,1650252355.0649219
1650252355.3278046,18.479909896850586,1.0,0.1568627506494522,0.5,1650252355.3278046,1650252367.0161738
1650252367.1278188,18.8974552154541,1.0,0.16339869797229767,0.5,1650252367.1278188,1650252378.8225152
1650252378.9559505,18.10087013244629,1.0,0.4313725531101227,0.5,1650252378.9559505,1650252390.1156354
1650252390.2678006,16.786500930786133,1.0,0.37735849618911743,0.5,1650252390.2678006,1650252402.0034204
1650252402.1167607,17.921428680419922,1.0,0.16339869797229767,0.5,1650252402.1167607,1650252413.4997814
1650252413.6093376,21.665956497192383,1.0,0.17105263471603394,0.5,1650252413.6093376,1650252424.778934
1650252424.9378178,17.68547821044922,1.0,0.15789473056793213,0.5,1650252424.9378178,1650252436.5857923
1650252436.691717,17.50028419494629,1.0,0.1568627506494522,0.5,1650252436.691717,1650252447.777251
1650252448.0137713,18.2269229888916,1.0,0.1949685513973236,0.5,1650252448.0137713,1650252459.9192364
