,load,alloc,reward,sigma,event_start_time,event_end_time
1650178590.996771,22.511924743652344,1.0,0.0,0.5,1650178590.996771,1650178601.5689454
1650178601.7080781,22.878555297851562,1.0,0.023255813866853714,0.5,1650178601.7080781,1650178611.8048692
1650178611.9235842,23.65182876586914,1.0,0.20000000298023224,0.5,1650178611.9235842,1650178622.7049913
1650178658.360258,22.84760284423828,56.0,1.0,0.48911598324775696,1650178658.360258,1650178669.3023255
1650178669.4666662,21.29439926147461,56.0,1.0,0.5,1650178669.4666662,1650178679.7040997
1650178679.8762136,18.73544692993164,56.0,0.9868995547294617,0.46726930141448975,1650178679.8762136,1650178694.1272748
1650178694.3126926,20.665481567382812,56.0,1.0,0.5,1650178694.3126926,1650178705.4907532
1650178705.7238915,19.688030242919922,56.0,1.0,0.5,1650178705.7238915,1650178716.9489865
1650178717.1111004,18.313440322875977,56.0,1.0,0.5,1650178717.1111004,1650178727.8682268
1650178741.5888243,18.973899841308594,27.0,1.0,0.5,1650178741.5888243,1650178751.9188035
1650178752.098338,20.190723419189453,27.0,0.9897959232330322,0.5,1650178752.098338,1650178763.9849849
1650178764.202194,18.636920928955078,27.0,1.0,0.47457900643348694,1650178764.202194,1650178778.1529958
1650178778.3177216,19.75894546508789,27.0,1.0,0.4914731979370117,1650178778.3177216,1650178790.8689988
1650178791.0522194,17.618398666381836,27.0,0.9911894202232361,0.4693232476711273,1650178791.0522194,1650178805.8095198
1650178806.176339,18.255708694458008,27.0,1.0,0.5,1650178806.176339,1650178816.8031523
1650178816.9778967,20.781593322753906,27.0,1.0,0.4962916672229767,1650178816.9778967,1650178828.8634148
1650178829.1129413,19.972108840942383,27.0,0.9946236610412598,0.5,1650178829.1129413,1650178840.629001
1650178840.9647744,20.789974212646484,27.0,1.0,0.5,1650178840.9647744,1650178851.5467978
1650178851.6810188,18.97690200805664,27.0,0.9916666746139526,0.4564354717731476,1650178851.6810188,1650178866.383103
1650178866.58773,17.739940643310547,27.0,1.0,0.5,1650178866.58773,1650178877.748985
1650178877.946579,19.571640014648438,27.0,1.0,0.5,1650178877.946579,1650178889.5449944
1650178916.9396782,17.258092880249023,29.0,0.9933775067329407,0.5,1650178916.9396782,1650178927.9490063
1650178928.1146975,18.371625900268555,29.0,1.0,0.5,1650178928.1146975,1650178939.92639
1650178940.1118238,20.384756088256836,29.0,0.9926199316978455,0.4295367896556854,1650178940.1118238,1650178955.2211533
1650178955.4175644,20.106014251708984,29.0,1.0,0.5,1650178955.4175644,1650178965.712991
1650178965.8912067,21.626266479492188,29.0,1.0,0.5,1650178965.8912067,1650178975.925301
1650178976.1733682,19.20756721496582,29.0,1.0,0.5,1650178976.1733682,1650178987.054496
1650178987.3055067,18.485233306884766,29.0,1.0,0.5,1650178987.3055067,1650178999.260995
1650178999.398898,19.83519172668457,29.0,1.0,0.5,1650178999.398898,1650179009.532402
1650179009.6760292,18.031949996948242,29.0,1.0,0.5,1650179009.6760292,1650179022.6529949
1650179022.8190758,19.41202735900879,29.0,0.8488371968269348,0.4402254521846771,1650179022.8190758,1650179038.0158393
1650179038.2139578,17.32320213317871,29.0,1.0,0.5,1650179038.2139578,1650179049.1241806
1650179049.2754772,18.23871612548828,29.0,1.0,0.5,1650179049.2754772,1650179060.0766761
1650179072.480238,17.756572723388672,16.0,1.0,0.5,1650179072.480238,1650179082.5610125
1650179082.7221751,19.64689826965332,16.0,0.9857142567634583,0.48795002698898315,1650179082.7221751,1650179095.6504245
1650179095.8913817,18.615238189697266,16.0,1.0,0.5,1650179095.8913817,1650179106.6889877
1650179106.9208298,16.90723419189453,16.0,1.0,0.4902903437614441,1650179106.9208298,1650179121.4116678
1650179121.6168213,16.968461990356445,16.0,0.9940476417541504,0.5,1650179121.6168213,1650179133.7569902
1650179133.8587244,20.74593734741211,16.0,1.0,0.5,1650179133.8587244,1650179143.932986
1650179144.140427,19.637174606323242,16.0,1.0,0.5,1650179144.140427,1650179155.394592
1650179155.5578427,18.596851348876953,16.0,1.0,0.4662524163722992,1650179155.5578427,1650179169.9688842
1650179170.1014242,19.486492156982422,16.0,1.0,0.4822428226470947,1650179170.1014242,1650179183.3926823
1650179183.628874,19.6414794921875,16.0,1.0,0.4789131283760071,1650179183.628874,1650179196.7134287
1650179196.8796985,18.8158016204834,16.0,1.0,0.4402254521846771,1650179196.8796985,1650179213.1426258
1650179235.435158,17.950733184814453,29.0,0.8122065663337708,0.48450157046318054,1650179235.435158,1650179249.139334
1650179249.325309,19.765172958374023,29.0,0.9909090995788574,0.4767313003540039,1650179249.325309,1650179262.4797602
1650179262.660406,18.449087142944336,29.0,1.0,0.48795002698898315,1650179262.660406,1650179276.536431
1650179276.758589,16.608686447143555,29.0,1.0,0.5,1650179276.758589,1650179286.9941964
1650179287.1359394,17.498952865600586,29.0,1.0,0.49875468015670776,1650179287.1359394,1650179300.5081677
1650179300.6981182,21.547775268554688,29.0,0.9958506226539612,0.45548751950263977,1650179300.6981182,1650179313.6924992
1650179313.9812183,17.794713973999023,29.0,1.0,0.5,1650179313.9812183,1650179325.2767081
1650179325.5181522,17.551559448242188,29.0,1.0,0.5,1650179325.5181522,1650179336.3434017
1650179336.5866265,17.97878646850586,29.0,1.0,0.5,1650179336.5866265,1650179346.7096684
1650179346.908927,18.37871551513672,29.0,0.9951456189155579,0.492664635181427,1650179346.908927,1650179359.8586895
1650179360.0054314,16.893714904785156,29.0,1.0,0.5,1650179360.0054314,1650179372.2585094
1650179383.5702057,20.646371841430664,19.0,1.0,0.5,1650179383.5702057,1650179393.9352233
1650179394.1006477,18.171890258789062,19.0,1.0,0.5,1650179394.1006477,1650179404.6664166
1650179404.8240385,18.452556610107422,19.0,0.9900990128517151,0.4975185990333557,1650179404.8240385,1650179417.830366
1650179418.0396802,18.256567001342773,19.0,1.0,0.5,1650179418.0396802,1650179430.856986
1650179431.0354552,19.696561813354492,19.0,1.0,0.4962916672229767,1650179431.0354552,1650179443.4234042
1650179443.5485709,16.98319435119629,19.0,1.0,0.5,1650179443.5485709,1650179455.7959719
1650179455.9410279,18.982866287231445,19.0,1.0,0.5,1650179455.9410279,1650179467.1089933
1650179467.304506,18.890708923339844,19.0,1.0,0.5,1650179467.304506,1650179479.3209956
1650179479.5307167,18.661340713500977,19.0,1.0,0.5,1650179479.5307167,1650179489.6586068
1650179489.7733107,19.871322631835938,19.0,1.0,0.46726930141448975,1650179489.7733107,1650179503.5117016
1650179503.8270483,19.57047462463379,19.0,1.0,0.5,1650179503.8270483,1650179516.397004
1650179516.790155,19.134258270263672,19.0,1.0,0.5,1650179516.790155,1650179528.4969056
1650179542.5825677,18.585424423217773,8.0,1.0,0.4867923855781555,1650179542.5825677,1650179555.9263573
1650179556.0724714,18.695571899414062,8.0,0.746666669845581,0.4714045226573944,1650179556.0724714,1650179570.0329964
1650179570.2422824,18.182302474975586,8.0,1.0,0.5,1650179570.2422824,1650179581.0769935
1650179581.2236333,17.690937042236328,8.0,1.0,0.49507376551628113,1650179581.2236333,1650179594.563797
1650179594.6921902,18.047000885009766,8.0,1.0,0.4914731979370117,1650179594.6921902,1650179608.4340856
1650179608.5313714,18.260541915893555,8.0,1.0,0.5,1650179608.5313714,1650179619.9220514
1650179620.1132264,18.178956985473633,8.0,1.0,0.5,1650179620.1132264,1650179631.8300703
1650179631.9531245,17.454954147338867,8.0,1.0,0.5,1650179631.9531245,1650179644.5569954
1650179644.624335,17.29099464416504,8.0,1.0,0.5,1650179644.624335,1650179656.4223845
1650179656.6281366,16.82990074157715,8.0,1.0,0.5,1650179656.6281366,1650179668.6305835
1650179668.7908926,18.796846389770508,8.0,1.0,0.4975185990333557,1650179668.7908926,1650179681.8249934
1650179682.0590966,18.399911880493164,8.0,0.764976978302002,0.480015367269516,1650179682.0590966,1650179695.9178593
1650179707.7608702,19.440786361694336,16.0,0.9800994992256165,0.49875468015670776,1650179707.7608702,1650179720.5689945
1650179720.7068696,18.762117385864258,16.0,0.9900497794151306,0.49875468015670776,1650179720.7068696,1650179733.9249933
1650179734.1801784,21.19859504699707,16.0,1.0,0.4962916672229767,1650179734.1801784,1650179745.6903756
1650179745.8222165,19.142780303955078,16.0,0.995192289352417,0.4902903437614441,1650179745.8222165,1650179758.6730146
1650179759.0971513,17.24906349182129,16.0,1.0,0.5,1650179759.0971513,1650179770.6340094
1650179770.7135613,16.80531883239746,16.0,0.9935897588729858,0.5,1650179770.7135613,1650179781.8409903
1650179782.100456,17.906238555908203,16.0,1.0,0.5,1650179782.100456,1650179795.000988
1650179795.2081196,17.807275772094727,16.0,1.0,0.5,1650179795.2081196,1650179805.9340725
1650179806.184823,17.625751495361328,16.0,1.0,0.5,1650179806.184823,1650179818.8367653
1650179819.0576823,18.475116729736328,16.0,1.0,0.4975185990333557,1650179819.0576823,1650179832.3728895
1650179832.631036,17.72523307800293,16.0,1.0,0.5,1650179832.631036,1650179846.283889
1650179846.5074246,18.37213706970215,16.0,1.0,0.48795002698898315,1650179846.5074246,1650179860.169417
1650179874.3599436,17.649850845336914,8.0,1.0,0.5,1650179874.3599436,1650179885.634827
1650179885.7508507,18.330360412597656,8.0,1.0,0.49507376551628113,1650179885.7508507,1650179898.9529922
1650179899.0931242,18.98334312438965,8.0,1.0,0.5,1650179899.0931242,1650179909.8393877
1650179909.965752,18.674644470214844,8.0,1.0,0.46829289197921753,1650179909.965752,1650179923.8348246
1650179923.9919689,17.237380981445312,8.0,1.0,0.5,1650179923.9919689,1650179936.2328079
1650179936.383882,16.485395431518555,8.0,0.9789473414421082,0.5,1650179936.383882,1650179950.0929863
1650179950.2203295,17.624282836914062,8.0,1.0,0.5,1650179950.2203295,1650179961.7385287
1650179961.8222706,17.237993240356445,8.0,1.0,0.5,1650179961.8222706,1650179974.7007992
1650179974.8832426,16.72247314453125,8.0,1.0,0.5,1650179974.8832426,1650179986.304998
1650179986.5112977,17.33698272705078,8.0,1.0,0.5,1650179986.5112977,1650179996.778367
1650179996.9117007,18.686359405517578,8.0,1.0,0.5,1650179996.9117007,1650180009.0595994
1650180009.2586772,17.308862686157227,8.0,1.0,0.5,1650180009.2586772,1650180019.3113306
1650180043.8252995,17.02533531188965,61.0,0.9103448390960693,0.5,1650180043.8252995,1650180054.3977785
1650180054.6487615,17.746532440185547,61.0,1.0,0.5,1650180054.6487615,1650180065.29873
1650180065.3773654,19.48503303527832,61.0,1.0,0.5,1650180065.3773654,1650180075.4363685
1650180075.7302296,18.091115951538086,61.0,1.0,0.4962916672229767,1650180075.7302296,1650180088.8858576
1650180088.9761965,19.376127243041992,61.0,1.0,0.5,1650180088.9761965,1650180099.4530065
1650180099.6510065,17.034305572509766,61.0,1.0,0.5,1650180099.6510065,1650180109.9243922
1650180110.1013768,17.89478302001953,61.0,0.9950248599052429,0.49875468015670776,1650180110.1013768,1650180123.568989
1650180123.874786,18.868144989013672,61.0,1.0,0.5,1650180123.874786,1650180135.269653
1650180135.5712883,18.765853881835938,61.0,0.9947643876075745,0.5,1650180135.5712883,1650180147.7210152
1650180147.9026272,17.865827560424805,61.0,1.0,0.5,1650180147.9026272,1650180159.4889927
1650180159.7152615,17.496265411376953,61.0,0.9950494766235352,0.4975185990333557,1650180159.7152615,1650180173.26101
1650180173.538526,17.398204803466797,61.0,1.0,0.5,1650180173.538526,1650180184.574147
1650180184.7217488,17.540943145751953,61.0,0.9939393997192383,0.5,1650180184.7217488,1650180195.8385966
1650180196.055331,18.256542205810547,61.0,1.0,0.5,1650180196.055331,1650180207.1746323
1650180207.3021023,18.86075210571289,61.0,1.0,0.4767313003540039,1650180207.3021023,1650180221.0343225
1650180221.2164571,18.419862747192383,61.0,1.0,0.5,1650180221.2164571,1650180233.105796
1650180233.2878857,18.75284194946289,61.0,1.0,0.5,1650180233.2878857,1650180244.5395133
1650180244.6794274,18.21640396118164,61.0,0.9896373152732849,0.5,1650180244.6794274,1650180257.4152007
1650180257.57997,18.934728622436523,61.0,1.0,0.5,1650180257.57997,1650180267.9313195
1650180268.0634918,18.699260711669922,61.0,1.0,0.5,1650180268.0634918,1650180279.828663
1650180279.9799182,18.538589477539062,61.0,1.0,0.5,1650180279.9799182,1650180292.5482957
1650180292.8243232,17.811513900756836,61.0,0.994413435459137,0.5,1650180292.8243232,1650180305.2881706
1650180305.5282273,18.26689910888672,61.0,1.0,0.5,1650180305.5282273,1650180315.8748107
1650180316.0722842,17.317108154296875,61.0,1.0,0.5,1650180316.0722842,1650180328.6609917
1650180328.7582045,17.609237670898438,61.0,1.0,0.4962916672229767,1650180328.7582045,1650180342.5009918
1650180342.8403103,18.77515983581543,61.0,0.9960784316062927,0.4428074359893799,1650180342.8403103,1650180358.2329895
1650180358.386519,19.087167739868164,61.0,1.0,0.5,1650180358.386519,1650180370.0697606
1650180370.3625197,17.906240463256836,61.0,0.9846153855323792,0.5,1650180370.3625197,1650180383.1513567
1650180383.3831248,18.800676345825195,61.0,1.0,0.5,1650180383.3831248,1650180394.180609
1650180394.3740478,20.138595581054688,61.0,1.0,0.48336824774742126,1650180394.3740478,1650180406.936989
1650180407.1278524,20.74630355834961,61.0,1.0,0.4938648045063019,1650180407.1278524,1650180418.8889842
1650180419.0447707,19.10740089416504,61.0,1.0,0.5,1650180419.0447707,1650180430.9249842
1650180431.0453207,17.029071807861328,61.0,1.0,0.5,1650180431.0453207,1650180442.6137726
1650180442.8287818,18.616195678710938,61.0,1.0,0.5,1650180442.8287818,1650180453.2498155
1650180453.3433287,19.062583923339844,61.0,1.0,0.5,1650180453.3433287,1650180464.8842616
1650180465.0279124,20.204416275024414,61.0,1.0,0.5,1650180465.0279124,1650180475.619656
1650180475.8132708,19.8800048828125,61.0,1.0,0.5,1650180475.8132708,1650180487.432986
1650180487.5773337,20.400327682495117,61.0,1.0,0.5,1650180487.5773337,1650180499.194794
