,load,alloc,reward,sigma,event_start_time,event_end_time
1650178670.2188847,1.0,61.0,224.54739379882812,390.6380615234375,1650178670.2188847,1650178699.7983859
1650178700.7049816,1.0,61.0,231.1396026611328,533.9091796875,1650178700.7049816,1650178738.3099608
1650178787.1726403,1.0,16.0,114.17042541503906,210.81285095214844,1650178787.1726403,1650178821.0868523
1650178821.6475937,1.0,16.0,214.54400634765625,208.8429412841797,1650178821.6475937,1650178839.4714425
1650178840.0362685,1.0,16.0,93.24431610107422,208.1873779296875,1650178840.0362685,1650178881.046812
1650178881.6676233,1.0,16.0,143.0580596923828,203.75991821289062,1650178881.6676233,1650178907.838816
1650178952.716598,1.0,100.0,408.53265380859375,519.2598266601562,1650178952.716598,1650178973.8483238
1650178975.1152842,1.0,100.0,404.37860107421875,574.3397827148438,1650178975.1152842,1650178997.8588212
1650179030.3080528,1.0,100.0,437.4221496582031,670.8737182617188,1650179030.3080528,1650179053.8482423
1650179083.1698132,1.0,124.0,370.3277893066406,737.0672607421875,1650179083.1698132,1650179113.2890763
1650179114.846811,1.0,124.0,308.45770263671875,750.646728515625,1650179114.846811,1650179151.830814
1650179154.3838804,1.0,124.0,371.1103820800781,781.7493896484375,1650179154.3838804,1650179186.0078952
1650179189.981796,1.0,124.0,509.2823791503906,845.18017578125,1650179189.981796,1650179213.3480084
1650179233.1273603,1.0,111.0,420.4136657714844,712.1907348632812,1650179233.1273603,1650179258.9400322
1650179291.6313272,1.0,111.0,442.7416076660156,725.267333984375,1650179291.6313272,1650179315.189086
1650179315.984831,1.0,111.0,372.6412048339844,708.9881591796875,1650179315.984831,1650179344.5028808
1650179345.476568,1.0,111.0,318.11749267578125,686.47412109375,1650179345.476568,1650179378.253767
1650179404.2848618,1.0,124.0,636.95361328125,832.835693359375,1650179404.2848618,1650179423.1308188
1650179425.6397457,1.0,124.0,211.15257263183594,217.38836669921875,1650179425.6397457,1650179445.5732
1650179447.2294164,1.0,124.0,398.94140625,414.4144287109375,1650179447.2294164,1650179465.4601634
1650179467.0081358,1.0,124.0,600.2896728515625,812.6376953125,1650179467.0081358,1650179486.3188128
1650179733.2296953,1.0,106.0,415.2662658691406,708.7229614257812,1650179733.2296953,1650179759.5116274
1650179761.4422634,1.0,106.0,366.7284240722656,691.7777709960938,1650179761.4422634,1650179790.8973026
1650179793.3772726,1.0,106.0,391.940673828125,683.3553466796875,1650179793.3772726,1650179820.3788078
1650179822.76653,1.0,106.0,442.2877197265625,739.0031127929688,1650179822.76653,1650179848.1708074
1650180162.421981,1.0,16.0,132.56419372558594,199.78001403808594,1650180162.421981,1650180190.3028123
1650180190.9709444,1.0,16.0,206.06190490722656,212.01364135742188,1650180190.9709444,1650180209.8390603
1650180210.4119456,1.0,16.0,136.8099822998047,203.2440948486328,1650180210.4119456,1650180237.7783694
1650180238.1700454,1.0,16.0,165.40147399902344,200.2146453857422,1650180238.1700454,1650180260.515674
1650180260.8992336,1.0,16.0,195.84384155273438,200.67825317382812,1650180260.8992336,1650180279.771413
1650180280.5835042,1.0,16.0,121.39752960205078,202.87562561035156,1650180280.5835042,1650180311.4243288
1650180312.2948875,1.0,16.0,187.02052307128906,203.18199157714844,1650180312.2948875,1650180332.314081
1650180333.3395793,1.0,16.0,155.7881622314453,206.61886596679688,1650180333.3395793,1650180357.7830284
1650180358.4057746,1.0,16.0,153.31973266601562,202.89630126953125,1650180358.4057746,1650180382.8253314
1650180383.4048283,1.0,16.0,164.38839721679688,204.74671936035156,1650180383.4048283,1650180406.374819
1650180406.9027011,1.0,16.0,156.63986206054688,204.19021606445312,1650180406.9027011,1650180430.9068086
1650180431.6469479,1.0,16.0,136.8646697998047,199.0970916748047,1650180431.6469479,1650180458.5348206
1650180736.5816443,1.0,16.0,146.1565704345703,201.6685333251953,1650180736.5816443,1650180762.0885382
1650180762.7843788,1.0,16.0,141.1085968017578,205.07571411132812,1650180762.7843788,1650180789.543912
1650180790.4934745,1.0,16.0,143.9333953857422,204.57778930664062,1650180790.4934745,1650180816.727831
1650180817.259879,1.0,16.0,166.59629821777344,203.7359161376953,1650180817.259879,1650180839.8294091
1650180840.3838246,1.0,16.0,276.92352294921875,207.22479248046875,1650180840.3838246,1650180854.1349132
1650180854.7586899,1.0,16.0,135.41937255859375,214.24913024902344,1650180854.7586899,1650180883.8239565
1650180884.6178393,1.0,16.0,160.8892364501953,197.1307373046875,1650180884.6178393,1650180907.2918224
1650180907.8448281,1.0,16.0,200.05430603027344,207.40699768066406,1650180907.8448281,1650180926.8796601
1650180927.5372434,1.0,16.0,111.63876342773438,202.85939025878906,1650180927.5372434,1650180960.9306612
1650180961.7302258,1.0,16.0,146.54798889160156,208.48231506347656,1650180961.7302258,1650180987.824068
1650180988.4893343,1.0,16.0,126.70452117919922,207.69863891601562,1650180988.4893343,1650181018.669788
1650181019.0850618,1.0,16.0,122.99674987792969,205.8258514404297,1650181019.0850618,1650181049.9151454
1650181050.7962654,1.0,16.0,117.56302642822266,201.19847106933594,1650181050.7962654,1650181082.3708186
1650181083.2170413,1.0,16.0,159.12786865234375,203.9398651123047,1650181083.2170413,1650181106.8458366
1650181107.3071225,1.0,16.0,151.5553741455078,208.83189392089844,1650181107.3071225,1650181132.5388236
1650181133.07008,1.0,16.0,160.99790954589844,206.97886657714844,1650181133.07008,1650181156.6231804
1650181157.1985912,1.0,16.0,171.5316925048828,205.5384521484375,1650181157.1985912,1650181179.212016
1650181179.5902355,1.0,16.0,182.92477416992188,196.17242431640625,1650181179.5902355,1650181199.4453926
1650181200.0561988,1.0,16.0,137.2037811279297,198.0285186767578,1650181200.0561988,1650181226.6443872
1650181227.267898,1.0,16.0,187.42320251464844,205.49969482421875,1650181227.267898,1650181247.4148169
1650181248.1161692,1.0,16.0,211.10952758789062,204.49993896484375,1650181248.1161692,1650181265.9268296
1650181266.6255705,1.0,16.0,164.15077209472656,199.8045654296875,1650181266.6255705,1650181289.0439842
1650181289.3805401,1.0,16.0,152.07025146484375,208.25808715820312,1650181289.3805401,1650181314.5268118
1650181315.0653949,1.0,16.0,121.20635986328125,196.4883270263672,1650181315.0653949,1650181345.0308197
1650181345.8907373,1.0,16.0,170.6063232421875,203.9563751220703,1650181345.8907373,1650181367.835997
1650181368.5534527,1.0,16.0,130.06700134277344,207.3688201904297,1650181368.5534527,1650181397.8306718
1650181398.3389473,1.0,16.0,200.993408203125,202.72792053222656,1650181398.3389473,1650181416.8868196
1650181417.4300082,1.0,16.0,164.42286682128906,212.1206817626953,1650181417.4300082,1650181441.2588112
1650181442.0947332,1.0,16.0,125.16822052001953,201.55018615722656,1650181442.0947332,1650181471.750824
1650181472.261473,1.0,16.0,119.37509155273438,204.6154327392578,1650181472.261473,1650181503.758831
1650181504.6043327,1.0,16.0,134.66842651367188,208.2753448486328,1650181504.6043327,1650181533.1188107
1650181533.7364097,1.0,16.0,162.6871337890625,203.68600463867188,1650181533.7364097,1650181556.8482552
1650181557.4331152,1.0,16.0,175.0321807861328,213.14736938476562,1650181557.4331152,1650181579.8289967
1650181580.416824,1.0,16.0,114.90518951416016,201.7841339111328,1650181580.416824,1650181612.860963
1650181613.4347012,1.0,16.0,157.02944946289062,211.0428466796875,1650181613.4347012,1650181638.0924957
1650181638.731391,1.0,16.0,211.9094696044922,203.7112579345703,1650181638.731391,1650181656.4748173
1650181656.9385123,1.0,16.0,143.4449920654297,210.23818969726562,1650181656.9385123,1650181683.8198981
1650181684.3304598,1.0,16.0,180.04884338378906,204.48776245117188,1650181684.3304598,1650181705.2136815
1650181705.8639085,1.0,16.0,148.93104553222656,199.0569305419922,1650181705.8639085,1650181730.5733297
1650181731.2720473,1.0,16.0,189.0009307861328,211.618408203125,1650181731.2720473,1650181751.8433745
1650181752.6524398,1.0,16.0,136.7750244140625,212.3070068359375,1650181752.6524398,1650181781.0786834
1650181804.6542883,1.0,16.0,255.03529357910156,205.41064453125,1650181804.6542883,1650181819.5228183
1650181820.2168827,1.0,16.0,193.05484008789062,200.3765411376953,1650181820.2168827,1650181839.2788239
1650181839.7202635,1.0,16.0,108.54103088378906,206.99844360351562,1650181839.7202635,1650181874.8037694
1650181875.5181577,1.0,16.0,167.11004638671875,202.3861541748047,1650181875.5181577,1650181897.8268106
1650181898.377967,1.0,16.0,151.12326049804688,201.03843688964844,1650181898.377967,1650181922.8348248
1650181923.3666975,1.0,16.0,139.52073669433594,207.31668090820312,1650181923.3666975,1650181950.7748108
1650181951.384521,1.0,16.0,136.25155639648438,200.1295928955078,1650181951.384521,1650181978.510816
1650181979.2309747,1.0,16.0,157.0091552734375,202.65040588378906,1650181979.2309747,1650182002.9748135
1650182003.598233,1.0,16.0,98.80807495117188,203.36627197265625,1650182003.598233,1650182041.6518016
1650182042.3895807,1.0,16.0,115.01195526123047,207.9482421875,1650182042.3895807,1650182075.6382978
1650182076.234191,1.0,16.0,186.10641479492188,202.77774047851562,1650182076.234191,1650182096.3517134
1650182097.1622245,1.0,16.0,159.06326293945312,208.0661163330078,1650182097.1622245,1650182121.2029746
1650182121.6993887,1.0,16.0,135.1379852294922,204.3595733642578,1650182121.6993887,1650182149.6411984
1650182150.4205985,1.0,16.0,151.14414978027344,208.4946746826172,1650182150.4205985,1650182175.8268092
1650182176.7102094,1.0,16.0,153.45787048339844,203.97921752929688,1650182176.7102094,1650182201.107786
1650182201.7194867,1.0,16.0,119.8106689453125,203.04254150390625,1650182201.7194867,1650182232.968791
1650182233.6447122,1.0,16.0,166.43646240234375,209.86439514160156,1650182233.6447122,1650182256.8127115
1650182257.5370598,1.0,16.0,283.5950622558594,205.30369567871094,1650182257.5370598,1650182270.8518198
1650182271.5095363,1.0,16.0,207.80833435058594,203.84326171875,1650182271.5095363,1650182289.526138
1650182289.9058256,1.0,16.0,172.40814208984375,214.82272338867188,1650182289.9058256,1650182312.8281765
1650182313.224842,1.0,16.0,254.59194946289062,203.39395141601562,1650182313.224842,1650182327.9307275
1650182328.4409907,1.0,16.0,114.6832275390625,194.8972930908203,1650182328.4409907,1650182359.831807
1650182360.424253,1.0,16.0,185.85403442382812,202.37881469726562,1650182360.424253,1650182380.3108268
1650182380.7976844,1.0,16.0,115.24205017089844,207.21847534179688,1650182380.7976844,1650182413.8411787
1650182414.6747634,1.0,16.0,95.21851348876953,201.7216796875,1650182414.6747634,1650182453.8268144
1650182454.4956129,1.0,16.0,98.42979431152344,210.4192657470703,1650182454.4956129,1650182493.8332949
1650182494.6539152,1.0,16.0,107.81916046142578,207.2873077392578,1650182494.6539152,1650182529.8239155
1650182530.3952978,1.0,16.0,125.86720275878906,198.3153076171875,1650182530.3952978,1650182559.5053427
1650182560.1494582,1.0,16.0,159.5227813720703,207.83047485351562,1650182560.1494582,1650182584.1209557
1650182584.8519619,1.0,16.0,126.71636199951172,207.36746215820312,1650182584.8519619,1650182614.7770638
1650182615.4706829,1.0,16.0,312.8598937988281,210.75674438476562,1650182615.4706829,1650182627.84683
1650182648.527199,1.0,16.0,150.2906951904297,209.27015686035156,1650182648.527199,1650182674.184144
1650182674.7524974,1.0,16.0,110.009033203125,198.81552124023438,1650182674.7524974,1650182708.0588536
1650182708.759437,1.0,16.0,162.9785614013672,204.01962280273438,1650182708.759437,1650182731.8299558
1650182732.547712,1.0,16.0,181.11172485351562,201.5053253173828,1650182732.547712,1650182753.131691
1650182753.9956667,1.0,16.0,132.29429626464844,209.02078247070312,1650182753.9956667,1650182783.0218608
1650182783.427738,1.0,16.0,158.5365753173828,201.66969299316406,1650182783.427738,1650182806.9428158
1650182807.6852732,1.0,16.0,165.1533660888672,203.73155212402344,1650182807.6852732,1650182830.3551106
1650182902.3559985,1.0,16.0,182.03173828125,208.16729736328125,1650182902.3559985,1650182923.3633242
1650182923.847342,1.0,16.0,134.67349243164062,206.3037109375,1650182923.847342,1650182952.0043306
1650182952.4585469,1.0,16.0,192.7414093017578,203.7430419921875,1650182952.4585469,1650182971.9665492
1650182972.8540807,1.0,16.0,113.76543426513672,200.55865478515625,1650182972.8540807,1650183005.341981
1650183005.7463849,1.0,16.0,121.01988220214844,204.93966674804688,1650183005.7463849,1650183036.8156602
1650183037.6928422,1.0,16.0,124.33767700195312,203.0048065185547,1650183037.6928422,1650183067.6757097
1650183068.2781627,1.0,16.0,88.76766967773438,198.16969299316406,1650183068.2781627,1650183109.374205
1650183110.0039704,1.0,16.0,225.30154418945312,205.9084930419922,1650183110.0039704,1650183126.8347476
1650183127.4401119,1.0,16.0,164.54232788085938,209.7955322265625,1650183127.4401119,1650183150.8748107
1650183151.3749022,1.0,16.0,121.88108825683594,200.46310424804688,1650183151.3749022,1650183181.8308167
1650183182.5257006,1.0,16.0,162.66571044921875,203.0308837890625,1650183182.5257006,1650183205.5422292
1650183205.8901122,1.0,16.0,126.23928833007812,204.04916381835938,1650183205.8901122,1650183235.674818
1650183236.3719049,1.0,16.0,113.41565704345703,210.59262084960938,1650183236.3719049,1650183270.5118115
1650183271.3585637,1.0,16.0,135.9488983154297,205.9605712890625,1650183271.3585637,1650183299.2513976
1650183299.6197696,1.0,16.0,101.72832489013672,202.15565490722656,1650183299.6197696,1650183336.2663958
1650183336.6969879,1.0,16.0,141.51414489746094,198.40847778320312,1650183336.6969879,1650183362.5742598
1650183363.1550443,1.0,16.0,140.5489501953125,198.95657348632812,1650183363.1550443,1650183389.1104145
1650183389.6502976,1.0,16.0,221.7442626953125,208.52723693847656,1650183389.6502976,1650183406.895389
1650183407.3571715,1.0,16.0,169.48008728027344,204.691650390625,1650183407.3571715,1650183429.5426679
1650183430.113726,1.0,16.0,131.55906677246094,202.6997528076172,1650183430.113726,1650183458.4508088
1650183459.0495422,1.0,16.0,88.81654357910156,207.3197784423828,1650183459.0495422,1650183501.924437
1650183502.5664861,1.0,16.0,237.4329071044922,208.17034912109375,1650183502.5664861,1650183518.7394764
1650183519.5461056,1.0,16.0,115.90104675292969,204.31024169921875,1650183519.5461056,1650183551.9875731
1650183552.4673104,1.0,16.0,120.86495208740234,207.5968780517578,1650183552.4673104,1650183584.1059277
1650183584.7746787,1.0,16.0,165.4110107421875,200.4742889404297,1650183584.7746787,1650183607.1190186
1650183607.8308313,1.0,16.0,144.40879821777344,204.54837036132812,1650183607.8308313,1650183633.9788222
