,load,alloc,reward,sigma,event_start_time,event_end_time
1650224100.8487427,22.51675796508789,1.0,0.0,0.5,1650224100.8487427,1650224111.4186482
1650224111.5189857,22.899993896484375,1.0,0.016393441706895828,0.5,1650224111.5189857,1650224121.5626569
1650224121.6809459,23.49994659423828,1.0,0.16107381880283356,0.5,1650224121.6809459,1650224132.7022479
1650224132.881564,20.73626136779785,1.0,0.19178082048892975,0.5,1650224132.881564,1650224143.6356726
1650224143.7247038,22.769102096557617,1.0,0.16326530277729034,0.5,1650224143.7247038,1650224155.7146363
1650224155.8439052,21.31291961669922,1.0,0.20000000298023224,0.5,1650224155.8439052,1650224167.4331203
1650224167.5527346,22.316497802734375,1.0,0.1621621549129486,0.5,1650224167.5527346,1650224179.8306465
1650224179.9562883,20.966018676757812,1.0,0.15540540218353271,0.5,1650224179.9562883,1650224191.928042
1650224192.0976887,18.468175888061523,1.0,0.1599999964237213,0.5,1650224192.0976887,1650224204.44325
1650224204.6594505,20.700946807861328,1.0,0.15436241030693054,0.5,1650224204.6594505,1650224217.1226482
1650224217.270408,19.71286964416504,1.0,0.16107381880283356,0.5,1650224217.270408,1650224228.7857275
1650224228.890797,17.788124084472656,1.0,0.15540540218353271,0.5,1650224228.890797,1650224241.2585988
1650224254.3243005,19.123117446899414,7.0,0.0,0.5,1650224254.3243005,1650224265.9855788
1650224266.1472406,18.746185302734375,7.0,0.9689440727233887,0.5,1650224266.1472406,1650224276.2826364
1650224276.4504457,19.243080139160156,7.0,1.0,0.5,1650224276.4504457,1650224288.5067282
1650224288.6450853,19.632631301879883,7.0,0.9759615659713745,0.4902903437614441,1650224288.6450853,1650224301.2771163
1650224301.379747,17.614591598510742,7.0,1.0,0.4938648045063019,1650224301.379747,1650224314.948043
1650224315.0922828,17.56952476501465,7.0,1.0,0.5,1650224315.0922828,1650224327.044798
1650224327.1343806,21.077392578125,7.0,1.0,0.5,1650224327.1343806,1650224338.3786552
1650224338.597214,19.77737808227539,7.0,1.0,0.5,1650224338.597214,1650224350.2266622
1650224350.3770766,20.437053680419922,7.0,1.0,0.5,1650224350.3770766,1650224360.995046
1650224361.2530365,19.16485023498535,7.0,1.0,0.5,1650224361.2530365,1650224372.993279
1650224373.1356912,17.74504280090332,7.0,1.0,0.4975185990333557,1650224373.1356912,1650224386.6605947
1650224386.7968714,19.525585174560547,7.0,1.0,0.5,1650224386.7968714,1650224398.4226432
1650224398.580233,19.688358306884766,7.0,0.8680850863456726,0.46126559376716614,1650224398.580233,1650224412.3955038
1650224412.5956786,16.998157501220703,7.0,1.0,0.5,1650224412.5956786,1650224426.5383656
1650224426.6265476,17.493389129638672,7.0,1.0,0.5,1650224426.6265476,1650224440.117358
1650224440.3051796,18.41010093688965,7.0,1.0,0.5,1650224440.3051796,1650224450.9515088
1650224451.0537176,21.139141082763672,7.0,1.0,0.5,1650224451.0537176,1650224461.1771183
1650224461.3668153,19.744956970214844,7.0,0.821739137172699,0.4662524163722992,1650224461.3668153,1650224475.0411932
1650224475.2077124,21.51466178894043,7.0,1.0,0.5,1650224475.2077124,1650224485.7586572
1650224486.010798,19.03456687927246,7.0,0.9111111164093018,0.4714045226573944,1650224486.010798,1650224499.827766
1650224500.0099618,18.313976287841797,7.0,1.0,0.5,1650224500.0099618,1650224511.9680417
1650224512.0969632,18.894134521484375,7.0,1.0,0.5,1650224512.0969632,1650224523.8466418
1650224524.1166055,19.402681350708008,7.0,1.0,0.4703604280948639,1650224524.1166055,1650224538.1352868
1650224538.3804827,18.412675857543945,7.0,0.7425742745399475,0.4975185990333557,1650224538.3804827,1650224551.3606713
1650224551.4398794,17.298866271972656,7.0,1.0,0.5,1650224551.4398794,1650224563.0591376
1650224563.315833,18.29778480529785,7.0,1.0,0.5,1650224563.315833,1650224575.2844954
