,load,alloc,reward,sigma,event_start_time,event_end_time
1650224158.1988883,42.889076232910156,1.0,0.43220338225364685,0.46028730273246765,1650224158.1988883,1650224169.3672338
1650224169.5059977,46.193519592285156,1.0,0.3063829839229584,0.46126559376716614,1650224169.5059977,1650224179.8104737
1650224180.0523117,47.19913864135742,1.0,0.2008032202720642,0.4481107294559479,1650224180.0523117,1650224191.705067
1650224191.940118,41.70729446411133,1.0,0.2933333218097687,0.4714045226573944,1650224191.940118,1650224202.1301818
1650224202.4524117,46.68733215332031,1.0,0.19920319318771362,0.44632184505462646,1650224202.4524117,1650224214.1472325
1650224214.5290592,43.67515563964844,1.0,0.2923728823661804,0.46028730273246765,1650224214.5290592,1650224225.3132224
1650224225.6374593,47.24048614501953,1.0,0.29113924503326416,0.4593152105808258,1650224225.6374593,1650224235.6712253
1650224235.8951442,42.63309860229492,1.0,0.38247013092041016,0.44632184505462646,1650224235.8951442,1650224246.23922
1650224246.5459552,38.7841796875,1.0,0.20325203239917755,0.45083481073379517,1650224246.5459552,1650224257.8392198
1650224258.3190777,40.99077606201172,1.0,0.24888889491558075,0.4714045226573944,1650224258.3190777,1650224268.9312212
1650224269.1691418,40.12141418457031,1.0,0.2033195048570633,0.45548751950263977,1650224269.1691418,1650224280.0112321
1650224280.315734,38.65061950683594,1.0,0.3034188151359558,0.4622501730918884,1650224280.315734,1650224290.9494574
1650224312.673807,38.19975662231445,15.0,1.0,0.3892494738101959,1650224312.673807,1650224323.4592159
1650224323.7824562,38.810791015625,15.0,1.0,0.3646624684333801,1650224323.7824562,1650224335.2741055
1650224335.4859202,37.992733001708984,15.0,1.0,0.37424060702323914,1650224335.4859202,1650224346.7512326
1650224346.9231825,38.96303939819336,15.0,1.0,0.35311228036880493,1650224346.9231825,1650224359.191219
1650224359.600254,36.60031509399414,15.0,1.0,0.39777863025665283,1650224359.600254,1650224370.2832217
1650224370.5256152,35.66465377807617,15.0,1.0,0.36612600088119507,1650224370.5256152,1650224383.199228
1650224383.702299,41.51188659667969,15.0,1.0,0.34627169370651245,1650224383.702299,1650224395.7952209
1650224396.1037276,40.67163848876953,15.0,1.0,0.359907865524292,1650224396.1037276,1650224407.8072143
1650224420.791295,37.839805603027344,14.0,1.0,0.35759925842285156,1650224420.791295,1650224433.1592236
1650224433.714309,36.35389709472656,14.0,1.0,0.3952847123146057,1650224433.714309,1650224444.607226
1650224444.8723388,39.08550262451172,14.0,1.0,0.31189143657684326,1650224444.8723388,1650224460.044205
1650224460.2663891,39.257293701171875,14.0,1.0,0.3466876149177551,1650224460.2663891,1650224472.6207814
1650224472.7689528,34.05362319946289,14.0,1.0,0.3946685194969177,1650224472.7689528,1650224484.60323
1650224485.1900222,36.119083404541016,14.0,1.0,0.3234231173992157,1650224485.1900222,1650224500.6112328
1650224500.9540699,39.09798049926758,14.0,1.0,0.3666177988052368,1650224500.9540699,1650224512.5914996
1650224513.010478,41.223873138427734,14.0,1.0,0.3268602192401886,1650224513.010478,1650224526.2552302
1650224526.5572476,41.315155029296875,14.0,1.0,0.34421420097351074,1650224526.5572476,1650224539.1192238
1650224539.3937402,39.665733337402344,14.0,1.0,0.38984057307243347,1650224539.3937402,1650224549.5032215
1650224549.6466835,37.27153396606445,14.0,1.0,0.32933247089385986,1650224549.6466835,1650224563.9471416
1650224564.4169536,41.786468505859375,14.0,1.0,0.376889169216156,1650224564.4169536,1650224574.7552285
1650224575.125612,35.63051223754883,14.0,1.0,0.3971507251262665,1650224575.125612,1650224586.0432215
1650224586.2921467,40.62607955932617,14.0,1.0,0.3571428656578064,1650224586.2921467,1650224598.107217
1650224598.535601,36.518428802490234,14.0,1.0,0.3971507251262665,1650224598.535601,1650224609.1603732
1650224609.3289294,35.92154312133789,14.0,1.0,0.39777863025665283,1650224609.3289294,1650224619.9632168
1650224620.5247653,37.987056732177734,14.0,1.0,0.3851855993270874,1650224620.5247653,1650224631.4232137
1650224631.722256,36.35094451904297,14.0,1.0,0.3880752623081207,1650224631.722256,1650224643.1112313
1650224643.494885,37.92278289794922,14.0,1.0,0.3910309374332428,1650224643.494885,1650224654.2272198
1650224654.4028296,37.51802062988281,14.0,1.0,0.4022589921951294,1650224654.4028296,1650224664.6912189
1650224664.8627067,37.450927734375,14.0,1.0,0.38691163063049316,1650224664.8627067,1650224675.9171724
1650224676.2400007,33.26556396484375,14.0,1.0,0.40422603487968445,1650224676.2400007,1650224687.6632254
1650224688.238493,34.13426971435547,14.0,1.0,0.3959037959575653,1650224688.238493,1650224699.1952238
1650224699.4246314,40.72201919555664,14.0,1.0,0.37164705991744995,1650224699.4246314,1650224710.131369
1650224710.8227596,41.936683654785156,14.0,1.0,0.36273813247680664,1650224710.8227596,1650224721.8632133
1650224722.2347922,37.477935791015625,14.0,1.0,0.3857583701610565,1650224722.2347922,1650224733.121198
1650224733.542387,39.48845672607422,14.0,1.0,0.35805743932724,1650224733.542387,1650224745.5712183
1650224745.7998905,40.334716796875,14.0,1.0,0.33903175592422485,1650224745.7998905,1650224758.6672177
1650224758.8590379,36.42054748535156,14.0,1.0,0.36760732531547546,1650224758.8590379,1650224771.2696142
1650224771.6074688,40.19899368286133,14.0,1.0,0.3946685194969177,1650224771.6074688,1650224781.7072246
