,load,alloc,reward,sigma,event_start_time,event_end_time
1650224388.657725,46.46638488769531,50.0,0.0,0.5,1650224388.657725,1650224399.5257971
1650224399.700696,48.131591796875,50.0,0.33766233921051025,0.36037498712539673,1650224399.700696,1650224409.7149084
1650224409.968547,49.649452209472656,50.0,0.7055336236953735,0.3143472969532013,1650224409.968547,1650224422.0734134
1650224422.2590888,43.69927978515625,50.0,1.0,0.36612600088119507,1650224422.2590888,1650224433.1288333
1650224433.3675718,45.42066192626953,50.0,1.0,0.29643458127975464,1650224433.3675718,1650224447.5461411
1650224447.6753607,47.87897872924805,50.0,0.9977375268936157,0.3363364040851593,1650224447.6753607,1650224458.9537969
1650224459.106547,46.24658966064453,50.0,1.0,0.35311228036880493,1650224459.106547,1650224469.637053
1650224469.7277546,45.4583625793457,50.0,1.0,0.3646624684333801,1650224469.7277546,1650224480.0448878
1650224480.3248067,39.18069076538086,50.0,0.7191600799560547,0.3622617721557617,1650224480.3248067,1650224492.0908067
1650224492.5219753,43.70481872558594,50.0,0.9979466199874878,0.32042068243026733,1650224492.5219753,1650224505.6097772
1650224505.909412,41.95235061645508,50.0,0.8948786854743958,0.36711156368255615,1650224505.909412,1650224516.8027232
