,load,alloc,reward,sigma,event_start_time,event_end_time
1650228251.7116358,1.0,50.0,132.25587463378906,238.56387329101562,1650228251.7116358,1650228284.2999809
1650228285.9482365,1.0,50.0,340.738037109375,499.39453125,1650228285.9482365,1650228309.9549482
1650228311.8530354,1.0,50.0,377.547607421875,542.5545043945312,1650228311.8530354,1650228334.896487
1650228336.3460345,1.0,50.0,279.01812744140625,517.5543823242188,1650228336.3460345,1650228366.4516056
1650228367.1416292,1.0,50.0,186.4439239501953,519.5720825195312,1650228367.1416292,1650228412.4635663
1650228414.2492945,1.0,50.0,194.0883331298828,509.59210205078125,1650228414.2492945,1650228457.2709417
1650228459.156668,1.0,50.0,288.3226013183594,532.145263671875,1650228459.156668,1650228488.8109512
1650228489.7713802,1.0,50.0,140.1298828125,510.9172058105469,1650228489.7713802,1650228549.3589532
1650228551.104919,1.0,50.0,247.1514892578125,506.20074462890625,1650228551.104919,1650228584.2829506
1650228585.044756,1.0,50.0,187.79031372070312,514.6080932617188,1650228585.044756,1650228629.5092416
1650228631.3131914,1.0,50.0,254.0308380126953,533.5909423828125,1650228631.3131914,1650228665.1673486
1650228667.0105329,1.0,50.0,315.3832092285156,527.3193969726562,1650228667.0105329,1650228694.278948
1650228695.6720037,1.0,50.0,157.35313415527344,536.3245849609375,1650228695.6720037,1650228750.0083866
1650228751.322942,1.0,50.0,173.681396484375,497.812744140625,1650228751.322942,1650228798.8237104
1650228799.8510387,1.0,50.0,229.2181854248047,506.03460693359375,1650228799.8510387,1650228835.8429465
1650228837.6425579,1.0,50.0,314.975341796875,508.1656799316406,1650228837.6425579,1650228864.1525695
1650228866.1691935,1.0,50.0,302.69244384765625,511.91448974609375,1650228866.1691935,1650228893.7549496
1650228894.484794,1.0,50.0,165.54257202148438,504.93927001953125,1650228894.484794,1650228944.6229548
1650228946.325366,1.0,50.0,230.91815185546875,521.90087890625,1650228946.325366,1650228983.1349454
1650228984.0753062,1.0,50.0,195.27841186523438,527.6605834960938,1650228984.0753062,1650229027.8589463
1650229029.5861373,1.0,50.0,231.95486450195312,544.2262573242188,1650229029.5861373,1650229067.5245535
1650229134.5039377,1.0,51.0,182.4271697998047,278.97698974609375,1650229134.5039377,1650229161.9669516
1650229163.6651216,1.0,51.0,334.4481506347656,523.8112182617188,1650229163.6651216,1650229189.1309526
1650229190.5237048,1.0,51.0,187.43692016601562,519.52587890625,1650229190.5237048,1650229235.9629903
1650229237.4957843,1.0,51.0,222.6537322998047,520.7571411132812,1650229237.4957843,1650229275.5189502
1650229277.125386,1.0,51.0,247.37469482421875,525.7644653320312,1650229277.125386,1650229311.554938
1650229313.4627335,1.0,51.0,214.05911254882812,531.4312744140625,1650229313.4627335,1650229353.727313
1650229355.3336847,1.0,51.0,261.02337646484375,524.409912109375,1650229355.3336847,1650229387.9629467
1650229456.9268546,1.0,52.0,282.3458557128906,524.057861328125,1650229456.9268546,1650229487.1309457
1650229489.1428866,1.0,52.0,218.59628295898438,528.0060424804688,1650229489.1428866,1650229528.3933258
1650229529.3340309,1.0,52.0,114.32750701904297,269.84844970703125,1650229529.3340309,1650229571.930954
1650229783.7281137,1.0,54.0,221.4113006591797,511.6324768066406,1650229783.7281137,1650229821.7749517
1650229856.2173994,1.0,53.0,208.28907775878906,546.0850219726562,1650229856.2173994,1650229897.438957
1650229898.9427235,1.0,53.0,311.872314453125,529.3388671875,1650229898.9427235,1650229926.4700158
1650229928.6207266,1.0,53.0,273.21099853515625,549.1567993164062,1650229928.6207266,1650229960.8229456
1650229962.815945,1.0,53.0,290.2193298339844,547.7802734375,1650229962.815945,1650229993.1309485
1650229994.5711668,1.0,53.0,224.7692413330078,517.8594970703125,1650229994.5711668,1650230032.0629523
1650230033.6967678,1.0,53.0,181.58444213867188,542.9682006835938,1650230033.6967678,1650230081.8561811
1650230396.4284172,1.0,53.0,261.58697509765625,538.8697509765625,1650230396.4284172,1650230429.8589826
1650230430.9307592,1.0,53.0,199.26211547851562,533.2344970703125,1650230430.9307592,1650230473.2217872
1650230474.5269794,1.0,53.0,366.24090576171875,519.6151123046875,1650230474.5269794,1650230497.681137
1650230498.6865427,1.0,53.0,223.51416015625,553.4472045898438,1650230498.6865427,1650230538.522945
1650230581.7507071,1.0,54.0,162.93362426757812,552.9175415039062,1650230581.7507071,1650230636.4355502
1650230638.1002839,1.0,54.0,226.93423461914062,539.8279418945312,1650230638.1002839,1650230676.4109426
1650230678.2114472,1.0,54.0,211.78036499023438,555.390625,1650230678.2114472,1650230720.2833347
1650230721.9276948,1.0,54.0,260.173095703125,442.2640075683594,1650230721.9276948,1650230750.4510128
1650230752.4649549,1.0,54.0,267.2939758300781,547.6979370117188,1650230752.4649549,1650230785.3949895
1650230786.9116325,1.0,54.0,202.0297088623047,540.8484497070312,1650230786.9116325,1650230830.2121944
1650230831.0855715,1.0,54.0,225.1051788330078,556.5698852539062,1650230831.0855715,1650230870.9069564
1650230872.8708084,1.0,54.0,208.63890075683594,522.8319091796875,1650230872.8708084,1650230912.7291467
1650230914.501716,1.0,54.0,437.4849853515625,535.187255859375,1650230914.501716,1650230934.2509654
1650230935.8124044,1.0,54.0,196.30430603027344,542.0997924804688,1650230935.8124044,1650230980.6509533
1650231016.242638,1.0,54.0,241.93345642089844,570.8994750976562,1650231016.242638,1650231053.070947
1650231054.154328,1.0,54.0,222.10940551757812,530.2788696289062,1650231054.154328,1650231092.8109522
1650231094.4834626,1.0,54.0,266.4610290527344,525.63427734375,1650231094.4834626,1650231126.5031555
1650231128.218332,1.0,54.0,238.9830780029297,530.5459594726562,1650231128.218332,1650231164.3715186
1650231165.8772926,1.0,54.0,289.21807861328125,535.7025756835938,1650231165.8772926,1650231195.7509446
1650231196.597852,1.0,54.0,244.6921844482422,555.9639892578125,1650231196.597852,1650231233.0109482
1650231275.7963336,1.0,55.0,163.5064697265625,523.3311767578125,1650231275.7963336,1650231327.9349408
1650231329.68141,1.0,55.0,177.61558532714844,561.85546875,1650231329.68141,1650231379.2266114
1650231380.3699617,1.0,55.0,203.2307891845703,500.16400146484375,1650231380.3699617,1650231420.4229472
1650231456.8250933,1.0,55.0,405.91107177734375,509.6505432128906,1650231456.8250933,1650231477.1497414
1650231479.1000915,1.0,55.0,273.1521301269531,540.6210327148438,1650231479.1000915,1650231510.9138649
1650231512.2253888,1.0,55.0,289.59039306640625,544.6322021484375,1650231512.2253888,1650231542.4232135
1650231568.629452,1.0,56.0,239.88507080078125,526.933349609375,1650231568.629452,1650231603.879665
1650231605.8619077,1.0,56.0,172.16192626953125,521.5924072265625,1650231605.8619077,1650231654.3279064
1650231752.550673,1.0,56.0,340.3377685546875,541.54638671875,1650231752.550673,1650231778.21929
1650231779.4996707,1.0,56.0,201.11868286132812,536.6807250976562,1650231779.4996707,1650231822.1013815
1650231823.245474,1.0,56.0,230.16806030273438,555.4002075195312,1650231823.245474,1650231861.6869507
1650231863.2204137,1.0,56.0,376.8255615234375,531.6160278320312,1650231863.2204137,1650231886.2549448
1650231887.546876,1.0,56.0,441.8155517578125,552.8768310546875,1650231887.546876,1650231907.193083
1650231908.8150308,1.0,56.0,281.259033203125,519.804931640625,1650231908.8150308,1650231939.0789485
1650231940.7709403,1.0,56.0,305.1179504394531,548.6802368164062,1650231940.7709403,1650231969.5860264
1650231971.416928,1.0,56.0,323.3056335449219,532.4888916015625,1650231971.416928,1650231998.0913782
1650232000.1254776,1.0,56.0,231.14707946777344,569.2529907226562,1650232000.1254776,1650232039.1309445
1650232040.937664,1.0,56.0,327.5637512207031,418.6990051269531,1650232040.937664,1650232062.6189404
1650232064.4232395,1.0,56.0,177.07374572753906,497.4579162597656,1650232064.4232395,1650232110.2798402
1650232111.9837315,1.0,56.0,162.41099548339844,276.9472961425781,1650232111.9837315,1650232142.5789514
1650232168.1530566,1.0,57.0,407.7550354003906,532.6866455078125,1650232168.1530566,1650232189.1215281
1650232190.4583592,1.0,57.0,286.29583740234375,545.7274169921875,1650232190.4583592,1650232221.1189525
1650232223.1919127,1.0,57.0,453.69598388671875,554.6463623046875,1650232223.1919127,1650232242.7909396
1650232244.7584243,1.0,57.0,360.0587463378906,543.9885864257812,1650232244.7584243,1650232269.137779
1650232271.1082237,1.0,57.0,326.2010498046875,549.2481079101562,1650232271.1082237,1650232297.843269
1650232298.5088553,1.0,57.0,289.12518310546875,555.720947265625,1650232298.5088553,1650232328.8694074
1650232330.7326417,1.0,57.0,312.0065612792969,548.9674682617188,1650232330.7326417,1650232359.2320433
1650232360.1489098,1.0,57.0,485.63494873046875,558.2078247070312,1650232360.1489098,1650232378.4589593
1650232380.1145053,1.0,57.0,245.12057495117188,566.9085083007812,1650232380.1145053,1650232416.1579924
1650232417.8351097,1.0,57.0,275.1792297363281,508.8351745605469,1650232417.8351097,1650232447.6629412
1650232449.1570678,1.0,57.0,204.86599731445312,547.8856201171875,1650232449.1570678,1650232492.28282
1650232494.0513144,1.0,57.0,240.08248901367188,475.8367614746094,1650232494.0513144,1650232527.1149502
1650232529.0337298,1.0,57.0,293.20587158203125,561.530517578125,1650232529.0337298,1650232559.5549457
1650232561.317225,1.0,57.0,352.4559326171875,525.1751708984375,1650232561.317225,1650232585.5755768
1650232624.3990538,1.0,60.0,289.1776123046875,538.1730346679688,1650232624.3990538,1650232654.276887
1650232655.3628893,1.0,60.0,373.869873046875,555.8491821289062,1650232655.3628893,1650232679.2749534
1650232680.7516468,1.0,60.0,508.6606750488281,583.8389282226562,1650232680.7516468,1650232699.0349553
1650232731.1419778,1.0,59.0,285.7413024902344,561.854736328125,1650232731.1419778,1650232762.7334914
1650232764.5868158,1.0,59.0,161.21435546875,516.3078002929688,1650232764.5868158,1650232815.8229468
1650232817.4571013,1.0,59.0,198.24070739746094,534.410400390625,1650232817.4571013,1650232861.2069464
1650232862.8973947,1.0,59.0,306.2398376464844,581.26171875,1650232862.8973947,1650232892.5669496
1650232894.1465275,1.0,59.0,283.53631591796875,527.7299194335938,1650232894.1465275,1650232924.1109426
1650232925.8087409,1.0,59.0,247.4619598388672,570.2574462890625,1650232925.8087409,1650232962.7639167
1650233007.8059947,1.0,59.0,214.24717712402344,506.9432678222656,1650233007.8059947,1650233046.359596
1650233048.5908508,1.0,59.0,246.6238250732422,528.58056640625,1650233048.5908508,1650233083.040077
1650233085.3277314,1.0,59.0,239.59658813476562,603.2992553710938,1650233085.3277314,1650233124.2347953
1650233124.635728,1.0,59.0,256.9485778808594,565.617919921875,1650233124.635728,1650233159.99689
1650233161.7742186,1.0,59.0,202.86460876464844,587.92919921875,1650233161.7742186,1650233207.1443782
1650233209.1343224,1.0,59.0,240.82095336914062,538.2357177734375,1650233209.1343224,1650233244.413644
1650233245.5156288,1.0,59.0,213.03143310546875,573.581298828125,1650233245.5156288,1650233287.335747
1650233288.553262,1.0,59.0,462.80401611328125,489.0177917480469,1650233288.553262,1650233306.018538
1650233308.1386747,1.0,59.0,323.4285583496094,522.659912109375,1650233308.1386747,1650233334.401044
1650233365.7725158,1.0,62.0,302.9498291015625,536.8828735351562,1650233365.7725158,1650233394.4241252
1650233396.5439603,1.0,62.0,312.63677978515625,566.9613037109375,1650233396.5439603,1650233425.2993743
1650233427.2606285,1.0,62.0,283.7126770019531,545.6087036132812,1650233427.2606285,1650233457.8549614
1650233459.8695393,1.0,62.0,367.4701843261719,571.278564453125,1650233459.8695393,1650233484.8402734
1650233486.9778037,1.0,62.0,406.3670959472656,602.8370971679688,1650233486.9778037,1650233509.710943
1650233541.9102566,1.0,63.0,283.7427673339844,595.2796630859375,1650233541.9102566,1650233574.3269424
1650233609.8990748,1.0,63.0,211.2128448486328,539.4342041015625,1650233609.8990748,1650233650.7488618
