,load,alloc,reward,sigma,event_start_time,event_end_time
1650228255.9618745,42.709041595458984,50.0,1.0,0.3585173785686493,1650228255.9618745,1650228267.2007122
1650228267.549771,47.1760139465332,50.0,1.0,0.2911112606525421,1650228267.549771,1650228282.1546502
1650228282.5731745,43.82662582397461,50.0,1.0,0.26899608969688416,1650228282.5731745,1650228300.507478
1650228301.0534694,44.960147857666016,50.0,1.0,0.3054236173629761,1650228301.0534694,1650228314.6432822
1650228314.8381696,45.90816879272461,50.0,1.0,0.36612600088119507,1650228314.8381696,1650228325.163129
1650228325.615148,43.63845443725586,50.0,0.6552538275718689,0.2429647594690323,1650228325.615148,1650228346.85788
1650228347.2742982,37.944454193115234,50.0,1.0,0.36037498712539673,1650228347.2742982,1650228359.3445737
1650228359.5664766,40.10158157348633,50.0,1.0,0.259762167930603,1650228359.5664766,1650228379.8898637
1650228380.2431116,37.544700622558594,50.0,1.0,0.34503278136253357,1650228380.2431116,1650228393.2675865
1650228393.5595803,35.720149993896484,50.0,1.0,0.4016096591949463,1650228393.5595803,1650228404.001866
1650228404.335082,38.278953552246094,50.0,1.0,0.29135826230049133,1650228404.335082,1650228421.8381724
1650228422.2683282,38.25307846069336,50.0,1.0,0.26555952429771423,1650228422.2683282,1650228443.0509696
1650228443.3191438,39.0919303894043,50.0,1.0,0.33709993958473206,1650228443.3191438,1650228456.6978638
1650228457.1559577,36.691097259521484,50.0,1.0,0.4048881530761719,1650228457.1559577,1650228467.4581842
1650228468.0103967,35.49272155761719,50.0,1.0,0.31008684635162354,1650228468.0103967,1650228484.6898732
1650228484.862474,43.23835754394531,50.0,1.0,0.32969024777412415,1650228484.862474,1650228497.5132778
1650228497.8665745,40.78828430175781,50.0,1.0,0.3062819540500641,1650228497.8665745,1650228512.7237825
1650228512.978967,38.301631927490234,50.0,1.0,0.3062819540500641,1650228512.978967,1650228528.774638
1650228529.095901,35.79781723022461,50.0,1.0,0.31403714418411255,1650228529.095901,1650228545.3538754
1650228545.693209,39.48335266113281,50.0,1.0,0.2911112606525421,1650228545.693209,1650228562.7383676
1650228563.2840064,36.477928161621094,50.0,1.0,0.3089010417461395,1650228563.2840064,1650228579.2662737
1650228579.4340854,35.14402389526367,50.0,1.0,0.3065696656703949,1650228579.4340854,1650228596.70587
1650228596.8782852,39.67043685913086,50.0,1.0,0.27136266231536865,1650228596.8782852,1650228616.4898663
1650228616.7738035,39.66490173339844,50.0,1.0,0.33671751618385315,1650228616.7738035,1650228629.833208
1650228630.2183347,41.87984085083008,50.0,1.0,0.3237619400024414,1650228630.2183347,1650228643.4466562
1650228643.6824408,39.23320770263672,50.0,1.0,0.3458572328090668,1650228643.6824408,1650228656.3502803
1650228656.9415598,38.874656677246094,50.0,1.0,0.3171807527542114,1650228656.9415598,1650228671.8098586
1650228672.2362747,36.910423278808594,50.0,1.0,0.29617443680763245,1650228672.2362747,1650228689.927754
1650228690.469324,40.76942443847656,50.0,1.0,0.36273813247680664,1650228690.469324,1650228701.8258739
1650228702.3753102,35.91583251953125,50.0,1.0,0.26261287927627563,1650228702.3753102,1650228724.900195
1650228725.1428201,35.641685485839844,50.0,1.0,0.28060677647590637,1650228725.1428201,1650228744.979144
1650228745.2476032,38.179473876953125,50.0,1.0,0.3774256706237793,1650228745.2476032,1650228756.5363915
1650228756.6325371,36.543296813964844,50.0,1.0,0.2851329743862152,1650228756.6325371,1650228775.185871
1650228775.4131854,34.29237365722656,50.0,1.0,0.3062819540500641,1650228775.4131854,1650228793.2597198
1650228793.6371794,38.76262283325195,50.0,1.0,0.29643458127975464,1650228793.6371794,1650228810.9218707
1650228811.1544845,38.680110931396484,50.0,1.0,0.34380707144737244,1650228811.1544845,1650228824.1585839
1650228824.516761,36.948787689208984,50.0,1.0,0.33903175592422485,1650228824.516761,1650228838.1031337
1650228838.5135677,40.899314880371094,50.0,1.0,0.36273813247680664,1650228838.5135677,1650228849.8340504
1650228850.1724737,40.26498031616211,50.0,1.0,0.3539961576461792,1650228850.1724737,1650228862.1431742
1650228862.492928,36.65183639526367,50.0,1.0,0.3475240170955658,1650228862.492928,1650228875.8346875
1650228876.1105986,37.70549011230469,50.0,1.0,0.32826608419418335,1650228876.1105986,1650228890.1138644
1650228890.403121,35.746585845947266,50.0,1.0,0.3774256706237793,1650228890.403121,1650228902.1245205
1650228902.2992587,36.96669006347656,50.0,1.0,0.3691067397594452,1650228902.2992587,1650228914.201866
1650228914.49451,39.37074279785156,50.0,1.0,0.3539961576461792,1650228914.49451,1650228926.7625034
1650228926.9521935,35.55445861816406,50.0,1.0,0.26082026958465576,1650228926.9521935,1650228949.9591527
1650228950.3353646,37.578147888183594,50.0,1.0,0.2570023238658905,1650228950.3353646,1650228973.5403397
1650228973.9713047,38.02138900756836,50.0,1.0,0.2844400703907013,1650228973.9713047,1650228992.0926843
1650228992.2480595,34.49205780029297,50.0,1.0,0.4016096591949463,1650228992.2480595,1650229003.091135
1650229003.4160156,36.43122863769531,50.0,1.0,0.41309618949890137,1650229003.4160156,1650229013.7642803
1650229014.0838456,37.25924301147461,50.0,1.0,0.3666177988052368,1650229014.0838456,1650229025.8661566
1650229026.4094505,34.76769256591797,50.0,1.0,0.3965258002281189,1650229026.4094505,1650229037.7418098
1650229038.003623,40.12137222290039,50.0,1.0,0.2703690230846405,1650229038.003623,1650229057.3698592
1650229072.046281,37.33015060424805,51.0,1.0,0.33903175592422485,1650229072.046281,1650229085.4938567
1650229085.7934563,37.82291793823242,51.0,1.0,0.3314967751502991,1650229085.7934563,1650229099.8061252
1650229099.9321384,37.4530143737793,51.0,1.0,0.36037498712539673,1650229099.9321384,1650229111.8136926
1650229112.0194607,35.52663040161133,51.0,1.0,0.34380707144737244,1650229112.0194607,1650229126.0371146
1650229126.4030018,38.03062438964844,51.0,1.0,0.36612600088119507,1650229126.4030018,1650229138.2618651
1650229138.48463,37.910987854003906,51.0,1.0,0.3322277367115021,1650229138.48463,1650229152.6757667
1650229153.0140572,39.62911605834961,51.0,1.0,0.28771767020225525,1650229153.0140572,1650229170.551668
1650229171.2435088,39.41294479370117,51.0,1.0,0.31008684635162354,1650229171.2435088,1650229186.3908165
1650229186.763601,38.86298370361328,51.0,1.0,0.251259446144104,1650229186.763601,1650229209.3043296
1650229209.671032,37.131282806396484,51.0,1.0,0.3500700294971466,1650229209.671032,1650229222.705863
1650229222.972627,36.92939376831055,51.0,1.0,0.3054236173629761,1650229222.972627,1650229239.4906352
1650229239.720374,35.20442581176758,51.0,1.0,0.40961596369743347,1650229239.720374,1650229249.9179554
1650229250.1924555,37.18856430053711,51.0,1.0,0.3651483654975891,1650229250.1924555,1650229262.212279
1650229262.542762,36.51963424682617,51.0,1.0,0.37904903292655945,1650229262.542762,1650229274.2898674
1650229274.4234955,36.81574249267578,51.0,1.0,0.4035671651363373,1650229274.4234955,1650229284.6636803
1650229285.043034,36.43059158325195,51.0,1.0,0.3823595643043518,1650229285.043034,1650229296.2698624
1650229296.847187,36.0439453125,51.0,1.0,0.381246417760849,1650229296.847187,1650229308.3609104
1650229308.7210512,35.156246185302734,51.0,1.0,0.3234231173992157,1650229308.7210512,1650229324.1948311
1650229324.5005207,34.61301803588867,51.0,1.0,0.33445003628730774,1650229324.5005207,1650229339.6682239
1650229339.9714608,39.54753112792969,51.0,1.0,0.3886610269546509,1650229339.9714608,1650229350.0858724
1650229350.2838519,37.4944953918457,51.0,1.0,0.37904903292655945,1650229350.2838519,1650229361.725531
1650229362.141694,37.922264099121094,51.0,1.0,0.29854071140289307,1650229362.141694,1650229379.466609
1650229396.166557,43.619659423828125,50.0,1.0,0.292103111743927,1650229396.166557,1650229411.4578269
1650229411.6250882,36.10462188720703,50.0,1.0,0.263523131608963,1650229411.6250882,1650229433.2289696
1650229433.7284622,35.059425354003906,50.0,1.0,0.40422603487968445,1650229433.7284622,1650229444.709817
1650229445.0083387,36.258480072021484,50.0,1.0,0.3840476870536804,1650229445.0083387,1650229456.3160384
1650229456.515688,34.57674789428711,50.0,1.0,0.36711156368255615,1650229456.515688,1650229469.2699237
1650229469.4495585,36.05759048461914,50.0,1.0,0.39777863025665283,1650229469.4495585,1650229480.1546552
1650229480.361798,36.13038635253906,50.0,1.0,0.30344855785369873,1650229480.361798,1650229497.5218694
1650229497.8217075,35.83023452758789,50.0,1.0,0.29591497778892517,1650229497.8217075,1650229515.8232646
1650229516.0576062,38.38519287109375,50.0,1.0,0.33786869049072266,1650229516.0576062,1650229529.7608066
1650229530.0689285,39.04667663574219,50.0,1.0,0.3706246614456177,1650229530.0689285,1650229541.3118832
1650229552.0953236,37.013694763183594,51.0,1.0,0.3363364040851593,1650229552.0953236,1650229566.0090923
1650229566.2627404,38.292972564697266,51.0,1.0,0.29310518503189087,1650229566.2627404,1650229583.3415918
1650229583.5042167,36.210994720458984,51.0,1.0,0.4048881530761719,1650229583.5042167,1650229593.832571
1650229594.0448775,34.74422836303711,51.0,1.0,0.41309618949890137,1650229594.0448775,1650229604.6077826
1650229604.8201282,34.4346923828125,51.0,1.0,0.2977456748485565,1650229604.8201282,1650229623.2898736
1650229623.5555618,34.99360656738281,51.0,1.0,0.39840954542160034,1650229623.5555618,1650229634.357535
1650229634.4773347,32.85400390625,51.0,1.0,0.3466876149177551,1650229634.4773347,1650229649.117864
1650229649.5573711,35.19240188598633,51.0,1.0,0.376889169216156,1650229649.5573711,1650229661.5485957
1650229680.2988403,33.38546371459961,48.0,1.0,0.3726779818534851,1650229680.2988403,1650229692.9690254
1650229693.1918492,36.41606521606445,48.0,1.0,0.31038543581962585,1650229693.1918492,1650229709.5582528
1650229709.7659752,34.43145751953125,48.0,1.0,0.41309618949890137,1650229709.7659752,1650229720.3667467
1650229720.9183044,37.13860321044922,48.0,1.0,0.31559720635414124,1650229720.9183044,1650229736.4546988
1650229736.6480553,37.32378005981445,48.0,1.0,0.30978909134864807,1650229736.6480553,1650229752.5360498
1650229752.8318615,36.04804992675781,48.0,1.0,0.253510057926178,1650229752.8318615,1650229776.4392421
1650229776.7592642,35.72124481201172,48.0,1.0,0.32826608419418335,1650229776.7592642,1650229791.7643402
1650229792.1528125,37.62031555175781,48.0,1.0,0.2544932961463928,1650229792.1528125,1650229814.7204058
1650229834.1759565,34.96253204345703,50.0,1.0,0.2640738785266876,1650229834.1759565,1650229856.5427582
1650229856.722002,35.42951583862305,50.0,1.0,0.3706246614456177,1650229856.722002,1650229868.7176504
1650229868.9314713,36.93601608276367,50.0,1.0,0.35223498940467834,1650229868.9314713,1650229882.1705823
1650229882.5089798,40.44699478149414,50.0,1.0,0.3886610269546509,1650229882.5089798,1650229892.5962558
1650229892.8421,35.99945831298828,50.0,1.0,0.41739192605018616,1650229892.8421,1650229903.120032
1650229903.4204419,36.87477493286133,50.0,1.0,0.38461539149284363,1650229903.4204419,1650229914.7018669
1650229914.8478925,37.61814498901367,50.0,1.0,0.3045724630355835,1650229914.8478925,1650229931.196386
1650229931.5690892,36.65776824951172,50.0,1.0,0.4022589921951294,1650229931.5690892,1650229942.2898724
1650229942.4528382,38.381778717041016,50.0,1.0,0.32042068243026733,1650229942.4528382,1650229957.2515268
1650229957.4373515,35.31710433959961,50.0,1.0,0.32009220123291016,1650229957.4373515,1650229973.4918962
1650229974.0019846,36.15713119506836,50.0,1.0,0.41309618949890137,1650229974.0019846,1650229984.0414984
1650229984.3001878,35.17656707763672,50.0,1.0,0.3333333432674408,1650229984.3001878,1650229999.2533247
1650229999.6504707,35.79095458984375,50.0,1.0,0.3990434408187866,1650229999.6504707,1650230010.491198
1650230010.6643846,38.744407653808594,50.0,1.0,0.3774256706237793,1650230010.6643846,1650230021.6078997
1650230021.849966,38.91911697387695,50.0,1.0,0.37796446681022644,1650230021.849966,1650230033.0526872
1650230033.4651792,36.403221130371094,50.0,1.0,0.3594425916671753,1650230033.4651792,1650230046.019014
1650230046.1686995,36.07919692993164,50.0,1.0,0.3062819540500641,1650230046.1686995,1650230063.186816
1650230063.364709,41.57627487182617,50.0,1.0,0.2670705318450928,1650230063.364709,1650230082.3418782
1650230082.879952,36.30982208251953,50.0,1.0,0.27076518535614014,1650230082.879952,1650230103.673223
1650230103.838102,37.51308059692383,50.0,1.0,0.292103111743927,1650230103.838102,1650230121.6985383
1650230122.2727885,40.716697692871094,50.0,1.0,0.34340140223503113,1650230122.2727885,1650230134.7983618
1650230154.0013716,39.194122314453125,52.0,1.0,0.2633403241634369,1650230154.0013716,1650230174.514651
1650230174.6857977,39.60755920410156,52.0,1.0,0.2855977416038513,1650230174.6857977,1650230191.82899
1650230192.0728455,42.04370880126953,52.0,1.0,0.26261287927627563,1650230192.0728455,1650230211.409865
1650230211.7211902,39.54390335083008,52.0,1.0,0.29907429218292236,1650230211.7211902,1650230227.8298688
1650230228.1821396,37.71296310424805,52.0,1.0,0.3851855993270874,1650230228.1821396,1650230239.265862
1650230239.7645328,39.355072021484375,52.0,1.0,0.2911112606525421,1650230239.7645328,1650230256.738203
1650230276.6476142,37.01543426513672,53.0,1.0,0.3162277638912201,1650230276.6476142,1650230292.5058646
1650230292.895305,38.973854064941406,53.0,1.0,0.2538365423679352,1650230292.895305,1650230314.9100645
1650230315.046949,37.02411651611328,53.0,1.0,0.3325950503349304,1650230315.046949,1650230329.2809148
1650230329.451071,38.46540069580078,53.0,1.0,0.3608439266681671,1650230329.451071,1650230341.4098697
1650230341.6958792,34.9417839050293,53.0,1.0,0.3566882014274597,1650230341.6958792,1650230354.9178715
1650230355.2137747,37.55903625488281,53.0,1.0,0.30178582668304443,1650230355.2137747,1650230372.0938675
1650230372.327009,37.846168518066406,53.0,1.0,0.31559720635414124,1650230372.327009,1650230387.4408243
1650230387.9753513,38.2871208190918,53.0,1.0,0.3622617721557617,1650230387.9753513,1650230400.2771378
1650230400.6860032,37.89667892456055,53.0,1.0,0.2777777910232544,1650230400.6860032,1650230419.605867
1650230435.2008717,39.74972915649414,49.0,1.0,0.33825504779815674,1650230435.2008717,1650230448.182092
1650230448.4961894,39.4959716796875,49.0,1.0,0.27607882022857666,1650230448.4961894,1650230467.0803638
1650230467.4610894,38.62223434448242,49.0,1.0,0.2889159917831421,1650230467.4610894,1650230484.9639614
1650230485.1668155,38.83664321899414,49.0,1.0,0.33786869049072266,1650230485.1668155,1650230498.633479
1650230498.932936,35.57344436645508,49.0,1.0,0.39777863025665283,1650230498.932936,1650230510.1772788
1650230510.5552135,37.98546600341797,49.0,1.0,0.32141217589378357,1650230510.5552135,1650230525.271368
1650230525.5941427,37.986328125,49.0,1.0,0.25367313623428345,1650230525.5941427,1650230548.2338662
1650230548.5906224,37.379417419433594,49.0,1.0,0.2792903780937195,1650230548.5906224,1650230567.8525598
1650230568.5923774,35.6063346862793,49.0,1.0,0.3134195804595947,1650230568.5923774,1650230584.965868
1650230585.3609068,34.61396026611328,49.0,1.0,0.4116934835910797,1650230585.3609068,1650230595.674665
1650230595.9436927,34.50372314453125,49.0,1.0,0.2946278154850006,1650230595.9436927,1650230614.5793636
1650230614.9895577,38.94921875,49.0,1.0,0.32108065485954285,1650230614.9895577,1650230629.75237
1650230630.1303184,35.79085922241211,49.0,1.0,0.327210009098053,1650230630.1303184,1650230644.9106278
1650230645.0997355,34.27775192260742,49.0,1.0,0.4303314685821533,1650230645.0997355,1650230655.1645732
1650230655.4347517,36.52579116821289,49.0,1.0,0.34421420097351074,1650230655.4347517,1650230669.3427322
1650230682.7773926,38.74665069580078,47.0,1.0,0.37164705991744995,1650230682.7773926,1650230694.313874
1650230694.5621119,39.36452865600586,47.0,1.0,0.3048553764820099,1650230694.5621119,1650230709.9058745
