,load,alloc,reward,sigma,event_start_time,event_end_time
1650224100.561456,22.474376678466797,1.0,0.0,0.5,1650224100.561456,1650224111.1512938
1650224111.289904,22.845224380493164,1.0,0.01550387591123581,0.5,1650224111.289904,1650224121.313881
1650224121.4454827,23.719026565551758,1.0,0.251655638217926,0.5,1650224121.4454827,1650224131.9855444
1650224132.1272879,21.184003829956055,1.0,0.15333333611488342,0.5,1650224132.1272879,1650224144.8255482
1650224145.0788293,22.706172943115234,1.0,0.2789115607738495,0.5,1650224145.0788293,1650224155.4724789
1650224155.6857085,21.396408081054688,1.0,0.2266666740179062,0.5,1650224155.6857085,1650224166.6221232
1650224166.7677364,22.6546688079834,1.0,0.1589404046535492,0.5,1650224166.7677364,1650224179.8334754
1650224179.9510148,20.93644905090332,1.0,0.1599999964237213,0.5,1650224179.9510148,1650224192.3695488
1650224192.5845652,18.32431983947754,1.0,0.19745223224163055,0.5,1650224192.5845652,1650224205.845631
1650224206.066079,20.65733528137207,1.0,0.19745223224163055,0.5,1650224206.066079,1650224218.3135448
1650224218.5186007,20.21143913269043,1.0,0.20529800653457642,0.5,1650224218.5186007,1650224229.4035258
1650224229.5428007,17.790237426757812,1.0,1.0,0.5,1650224229.5428007,1650224239.885552
1650224253.346947,19.009897232055664,7.0,0.15322580933570862,0.5,1650224253.346947,1650224265.7615333
1650224265.8945608,18.88041114807129,7.0,1.0,0.5,1650224265.8945608,1650224277.9705691
1650224278.1294122,19.265748977661133,7.0,1.0,0.5,1650224278.1294122,1650224290.3272245
1650224290.5162807,19.03693389892578,7.0,1.0,0.480015367269516,1650224290.5162807,1650224303.648648
1650224303.8386626,18.166854858398438,7.0,1.0,0.5,1650224303.8386626,1650224314.7376318
1650224314.8230329,17.52358627319336,7.0,1.0,0.5,1650224314.8230329,1650224327.3775413
1650224327.6848278,21.493528366088867,7.0,1.0,0.46726930141448975,1650224327.6848278,1650224340.3863258
1650224340.478863,20.227066040039062,7.0,1.0,0.46126559376716614,1650224340.478863,1650224354.5688941
1650224354.748654,19.41779899597168,7.0,1.0,0.4652421176433563,1650224354.748654,1650224368.8594184
1650224369.3396893,18.082244873046875,7.0,1.0,0.4856429398059845,1650224369.3396893,1650224383.1654062
1650224383.3719444,18.706748962402344,7.0,1.0,0.4962916672229767,1650224383.3719444,1650224396.2015388
1650224396.3045812,19.67025375366211,7.0,1.0,0.5,1650224396.3045812,1650224407.3364668
1650224407.4744375,17.878366470336914,7.0,1.0,0.5,1650224407.4744375,1650224418.3255405
1650224418.5064561,17.893400192260742,7.0,1.0,0.5,1650224418.5064561,1650224429.9073071
1650224430.0585554,17.743202209472656,7.0,0.84112149477005,0.48336824774742126,1650224430.0585554,1650224444.3175373
1650224444.516665,19.254470825195312,7.0,1.0,0.4962916672229767,1650224444.516665,1650224457.13711
1650224457.2435145,20.941547393798828,7.0,1.0,0.47351372241973877,1650224457.2435145,1650224469.9455364
1650224470.0611134,20.51442527770996,7.0,1.0,0.43768811225891113,1650224470.0611134,1650224484.9287
1650224485.064394,19.234146118164062,7.0,1.0,0.5,1650224485.064394,1650224497.3342392
1650224497.4746644,18.374340057373047,7.0,0.9579439163208008,0.48336824774742126,1650224497.4746644,1650224511.461562
1650224511.6466923,19.40762710571289,7.0,1.0,0.5,1650224511.6466923,1650224522.3126023
1650224522.503302,18.457199096679688,7.0,1.0,0.480015367269516,1650224522.503302,1650224536.535767
1650224536.7186377,18.972911834716797,7.0,1.0,0.48450157046318054,1650224536.7186377,1650224549.842612
1650224550.044168,17.836074829101562,7.0,1.0,0.5,1650224550.044168,1650224561.2013316
1650224561.2933407,17.680431365966797,7.0,0.9949748516082764,0.5,1650224561.2933407,1650224574.4717526
1650224574.5897324,17.917652130126953,7.0,1.0,0.4632410407066345,1650224574.5897324,1650224589.5470498
1650224589.614436,18.75206756591797,7.0,0.9523809552192688,0.4652421176433563,1650224589.614436,1650224603.9595213
1650224604.05106,18.816869735717773,7.0,1.0,0.5,1650224604.05106,1650224614.945539
1650224615.0995917,16.801822662353516,7.0,0.7397260069847107,0.47781848907470703,1650224615.0995917,1650224630.3360333
1650224630.461641,17.55133819580078,7.0,1.0,0.4789131283760071,1650224630.461641,1650224645.2753258
1650224645.456542,20.90428352355957,7.0,0.818965494632721,0.46423834562301636,1650224645.456542,1650224658.5639033
1650224658.78509,18.20166015625,7.0,0.6893616914749146,0.46126559376716614,1650224658.78509,1650224673.5639613
1650224673.6833262,19.676258087158203,7.0,1.0,0.5,1650224673.6833262,1650224684.0003283
1650224684.191428,19.26679801940918,7.0,1.0,0.5,1650224684.191428,1650224695.8695495
1650224695.9977336,19.36922264099121,7.0,1.0,0.5,1650224695.9977336,1650224706.5815346
1650224706.7037866,18.443832397460938,7.0,1.0,0.5,1650224706.7037866,1650224719.3367355
1650224719.4991984,19.1630916595459,7.0,1.0,0.5,1650224719.4991984,1650224730.2490296
1650224730.3937614,17.25765037536621,7.0,1.0,0.5,1650224730.3937614,1650224741.2295349
1650224741.3819115,18.903356552124023,7.0,1.0,0.5,1650224741.3819115,1650224751.6975398
1650224751.8867338,17.821575164794922,7.0,1.0,0.5,1650224751.8867338,1650224763.333534
1650224763.5492723,20.046056747436523,7.0,1.0,0.49507376551628113,1650224763.5492723,1650224775.621472
1650224775.7642078,18.30662727355957,7.0,1.0,0.5,1650224775.7642078,1650224785.9244626
1650224786.0933113,16.46622657775879,7.0,1.0,0.5,1650224786.0933113,1650224797.753542
1650224797.8865395,17.66440773010254,7.0,1.0,0.48795002698898315,1650224797.8865395,1650224811.9260705
1650224812.0348465,21.30621910095215,7.0,1.0,0.4472135901451111,1650224812.0348465,1650224825.645896
1650224825.819382,18.173898696899414,7.0,0.8755365014076233,0.4632410407066345,1650224825.819382,1650224840.9509723
1650224841.0879307,16.9205322265625,7.0,0.75,0.46423834562301636,1650224841.0879307,1650224857.2812738
1650224857.783041,18.303903579711914,7.0,1.0,0.44992128014564514,1650224857.783041,1650224873.0803246
1650224873.2841954,17.576147079467773,7.0,1.0,0.48795002698898315,1650224873.2841954,1650224887.3373318
1650224887.5327399,20.601781845092773,7.0,0.891566276550293,0.4481107294559479,1650224887.5327399,1650224901.6577318
1650224901.7818925,17.742021560668945,7.0,0.7758620977401733,0.46423834562301636,1650224901.7818925,1650224917.0000007
1650224917.1661208,18.298786163330078,7.0,1.0,0.492664635181427,1650224917.1661208,1650224930.2270958
1650224930.3510711,19.421188354492188,7.0,1.0,0.5,1650224930.3510711,1650224942.039336
1650224942.4238431,19.689210891723633,7.0,1.0,0.5,1650224942.4238431,1650224953.2927399
1650224953.5112712,16.785490036010742,7.0,1.0,0.5,1650224953.5112712,1650224964.6518452
1650224964.98628,18.812484741210938,7.0,1.0,0.4693232476711273,1650224964.98628,1650224978.966358
1650224979.1776772,18.926240921020508,7.0,1.0,0.5,1650224979.1776772,1650224991.3301167
1650224991.5315847,18.638399124145508,7.0,1.0,0.5,1650224991.5315847,1650225003.9790058
1650225004.224925,20.68520736694336,7.0,1.0,0.45738935470581055,1650225004.224925,1650225017.616137
1650225017.7621999,19.38176727294922,7.0,1.0,0.5,1650225017.7621999,1650225028.5455306
