,load,alloc,reward,sigma,event_start_time,event_end_time
1650224127.6266384,1.0,114.0,449.2334899902344,599.181396484375,1650224127.6266384,1650224147.7431266
1650224149.9566495,1.0,114.0,354.3407897949219,623.3106689453125,1650224149.9566495,1650224176.5553372
1650224179.0236623,1.0,114.0,419.4932861328125,615.5364379882812,1650224179.0236623,1650224201.8559709
1650224203.71303,1.0,114.0,391.1554260253906,667.022705078125,1650224203.71303,1650224229.827969
1650224294.357805,1.0,66.0,449.8337707519531,413.3293151855469,1650224294.357805,1650224309.6834664
1650224310.388242,1.0,66.0,372.4213562011719,464.5281677246094,1650224310.388242,1650224330.9348626
1650224332.3693335,1.0,66.0,293.8727722167969,391.2491455078125,1650224332.3693335,1650224354.7599742
1650224355.8331134,1.0,66.0,291.49798583984375,338.46307373046875,1650224355.8331134,1650224375.7234743
1650224430.929169,1.0,66.0,475.2599792480469,489.5705261230469,1650224430.929169,1650224447.58742
1650224515.6255133,1.0,66.0,373.0809631347656,485.13470458984375,1650224515.6255133,1650224536.8300254
1650224538.9316034,1.0,66.0,362.14312744140625,481.7037048339844,1650224538.9316034,1650224560.4148214
1650224562.4689534,1.0,66.0,373.07647705078125,495.66290283203125,1650224562.4689534,1650224583.6978445
1650224584.4534786,1.0,66.0,313.6969909667969,378.3140869140625,1650224584.4534786,1650224605.0784774
1650224606.104393,1.0,66.0,634.3489379882812,536.8829345703125,1650224606.104393,1650224619.2138972
1650224620.5263355,1.0,66.0,424.4792785644531,494.3565368652344,1650224620.5263355,1650224639.3399742
1650224640.9737418,1.0,66.0,369.5326843261719,482.6827697753906,1650224640.9737418,1650224662.227613
1650224663.1893005,1.0,66.0,354.78265380859375,487.1158447265625,1650224663.1893005,1650224685.1097627
1650224686.7797003,1.0,66.0,558.336669921875,508.1075134277344,1650224686.7797003,1650224701.0828984
1650224702.7558463,1.0,66.0,398.044677734375,519.320068359375,1650224702.7558463,1650224723.6479738
1650224724.4306622,1.0,66.0,384.2794189453125,492.0592041015625,1650224724.4306622,1650224745.032858
1650224745.899858,1.0,66.0,513.8670043945312,489.9156799316406,1650224745.899858,1650224761.1820228
