,load,alloc,reward,sigma,event_start_time,event_end_time
1650228204.8047235,38.39675521850586,50.0,0.0,0.5,1650228204.8047235,1650228217.9568765
1650228218.120405,48.269813537597656,50.0,0.5038961172103882,0.36037498712539673,1650228218.120405,1650228228.1473758
1650228228.3929849,49.84318161010742,50.0,0.8018433451652527,0.3394221067428589,1650228228.3929849,1650228239.2670903
1650228239.468679,43.64812088012695,50.0,1.0,0.3666177988052368,1650228239.468679,1650228250.2137003
1650228250.4686782,47.03600311279297,50.0,0.5567765831947327,0.302613765001297,1650228250.4686782,1650228263.9264543
1650228264.053676,45.70450210571289,50.0,0.7716981172561646,0.3071475625038147,1650228264.053676,1650228277.7503567
1650228277.9252129,46.20079040527344,50.0,0.9939024448394775,0.3187883496284485,1650228277.9252129,1650228290.5223997
1650228290.6175935,44.052146911621094,50.0,0.8630136847496033,0.33786869049072266,1650228290.6175935,1650228302.1947815
1650228302.3309586,37.88368225097656,50.0,1.0,0.3904344141483307,1650228302.3309586,1650228313.2063537
1650228313.3591955,43.63125228881836,50.0,0.9957627058029175,0.32547226548194885,1650228313.3591955,1650228326.1023552
1650228326.3092616,41.50251007080078,50.0,1.0,0.36417850852012634,1650228326.3092616,1650228337.4652128
1650228337.6730828,36.55884552001953,50.0,1.0,0.3857583701610565,1650228337.6730828,1650228348.6143472
1650228348.7931454,37.330718994140625,50.0,1.0,0.4116934835910797,1650228348.7931454,1650228358.97243
1650228359.1398792,40.71621322631836,50.0,1.0,0.3458572328090668,1650228359.1398792,1650228371.6410422
1650228371.8930624,40.70147705078125,50.0,1.0,0.37424060702323914,1650228371.8930624,1650228382.482359
1650228382.6090522,39.5400390625,50.0,0.7032257914543152,0.32791292667388916,1650228382.6090522,1650228396.3925488
1650228396.5192215,39.7976188659668,50.0,0.9956427216529846,0.33004918694496155,1650228396.5192215,1650228409.7863472
1650228409.9643133,37.11900329589844,50.0,1.0,0.36369648575782776,1650228409.9643133,1650228422.0066628
1650228422.1216724,38.05753707885742,50.0,1.0,0.3910309374332428,1650228422.1216724,1650228432.65835
1650228432.9153292,43.263858795166016,50.0,1.0,0.3818017840385437,1650228432.9153292,1650228443.0623672
1650228443.2197633,42.519588470458984,50.0,1.0,0.3289758563041687,1650228443.2197633,1650228456.3666456
1650228456.5194666,42.49320602416992,50.0,1.0,0.37319669127464294,1650228456.5194666,1650228466.968196
1650228467.1256933,40.462059020996094,50.0,1.0,0.3454442620277405,1650228467.1256933,1650228479.3840904
1650228479.546629,37.10448455810547,50.0,1.0,0.3406013548374176,1650228479.546629,1650228493.4263532
1650228493.6269174,41.16514205932617,50.0,0.9959100484848022,0.31976473331451416,1650228493.6269174,1650228507.5464616
1650228507.7131674,40.967124938964844,50.0,0.8768267035484314,0.32308533787727356,1650228507.7131674,1650228521.2850256
1650228521.4815338,35.536827087402344,50.0,0.8575581312179565,0.381246417760849,1650228521.4815338,1650228533.4128187
1650228533.6650314,36.386810302734375,50.0,1.0,0.3737175464630127,1650228533.6650314,1650228545.7023604
1650228545.878077,40.20074462890625,50.0,0.9932885766029358,0.33445003628730774,1650228545.878077,1650228559.2857895
1650228559.4831777,42.41642379760742,50.0,0.8442437648773193,0.3359565734863281,1650228559.4831777,1650228571.789732
1650228572.2219684,41.96024703979492,50.0,1.0,0.3500700294971466,1650228572.2219684,1650228583.8281918
1650228583.982768,45.282100677490234,50.0,0.8990147709846497,0.35093119740486145,1650228583.982768,1650228594.6934023
1650228594.8450372,39.398223876953125,50.0,1.0,0.32826608419418335,1650228594.8450372,1650228608.4243293
1650228608.6360195,40.94686508178711,50.0,0.8620689511299133,0.33903175592422485,1650228608.6360195,1650228621.5063577
1650228621.7098856,37.61955642700195,50.0,0.9942857027053833,0.37796446681022644,1650228621.7098856,1650228633.007201
1650228633.2565403,41.30670166015625,50.0,0.7452380657196045,0.34503278136253357,1650228633.2565403,1650228645.5789957
