,load,alloc,reward,sigma,event_start_time,event_end_time
1650228253.5718334,31.874263763427734,50.0,1.0,0.3608439266681671,1650228253.5718334,1650228268.5682585
1650228269.2725527,48.4427604675293,50.0,1.0,0.2865341305732727,1650228269.2725527,1650228283.784525
1650228284.2938569,45.60603713989258,50.0,1.0,0.35093119740486145,1650228284.2938569,1650228294.972268
1650228295.2016108,44.43830871582031,50.0,1.0,0.2844400703907013,1650228295.2016108,1650228311.156313
1650228311.580723,44.278419494628906,50.0,1.0,0.2670705318450928,1650228311.580723,1650228329.5127096
1650228330.0039296,44.602264404296875,50.0,1.0,0.30178582668304443,1650228330.0039296,1650228344.3305564
1650228344.5923007,39.87683868408203,50.0,1.0,0.3758230209350586,1650228344.5923007,1650228355.3002713
1650228355.545822,39.621856689453125,50.0,1.0,0.34219294786453247,1650228355.545822,1650228368.6446524
1650228369.0295787,39.82513427734375,50.0,1.0,0.3037283718585968,1650228369.0295787,1650228384.7482946
1650228385.159631,36.52168655395508,50.0,1.0,0.29411765933036804,1650228385.159631,1650228403.0941799
1650228403.490597,36.720314025878906,50.0,1.0,0.3083132207393646,1650228403.490597,1650228419.9392574
1650228420.5081367,39.660701751708984,50.0,1.0,0.32108065485954285,1650228420.5081367,1650228434.552265
1650228435.0278454,38.33173751831055,50.0,1.0,0.3234231173992157,1650228435.0278454,1650228449.3762693
1650228449.7625375,38.37049865722656,50.0,1.0,0.3487900495529175,1650228449.7625375,1650228462.324272
1650228462.5373704,35.339847564697266,50.0,1.0,0.3394221067428589,1650228462.5373704,1650228476.9403758
1650228477.37261,39.93208312988281,50.0,1.0,0.3012376129627228,1650228477.37261,1650228493.6252062
1650228493.8950918,40.83098602294922,50.0,1.0,0.3048553764820099,1650228493.8950918,1650228509.3245502
1650228509.7224526,39.29277801513672,50.0,1.0,0.2640738785266876,1650228509.7224526,1650228529.904279
1650228530.2704773,36.221614837646484,50.0,1.0,0.2767122685909271,1650228530.2704773,1650228550.700268
1650228551.1503873,40.533050537109375,50.0,1.0,0.30289125442504883,1650228551.1503873,1650228566.7672722
1650228567.080985,35.32125473022461,50.0,1.0,0.4116934835910797,1650228567.080985,1650228577.5562642
1650228577.7697659,35.685855865478516,50.0,1.0,0.3737175464630127,1650228577.7697659,1650228589.9034245
1650228590.2033014,36.140647888183594,50.0,1.0,0.41522741317749023,1650228590.2033014,1650228600.607099
1650228601.1189847,39.2528190612793,50.0,1.0,0.33903175592422485,1650228601.1189847,1650228614.3154888
1650228614.9117546,42.52898025512695,50.0,1.0,0.30978909134864807,1650228614.9117546,1650228628.9962687
1650228629.2514834,40.77254867553711,50.0,1.0,0.30151134729385376,1650228629.2514834,1650228644.6294773
1650228644.79123,37.52131271362305,50.0,1.0,0.32141217589378357,1650228644.79123,1650228659.3962624
1650228659.573853,38.029666900634766,50.0,1.0,0.2646280527114868,1650228659.573853,1650228680.2156317
1650228680.5595257,38.301780700683594,50.0,1.0,0.31846487522125244,1650228680.5595257,1650228695.7024243
1650228696.0846722,36.59357833862305,50.0,1.0,0.2604661285877228,1650228696.0846722,1650228718.3563404
1650228718.772152,35.948184967041016,50.0,1.0,0.2746175229549408,1650228718.772152,1650228739.4964247
1650228739.7491944,37.426063537597656,50.0,1.0,0.3686048984527588,1650228739.7491944,1650228752.0400946
1650228752.3937464,38.06635665893555,50.0,1.0,0.35578402876853943,1650228752.3937464,1650228764.793147
1650228765.2655396,35.48613739013672,50.0,1.0,0.3137279152870178,1650228765.2655396,1650228781.3563302
1650228781.456803,34.496337890625,50.0,1.0,0.3513641953468323,1650228781.456803,1650228795.5162659
1650228795.8216763,39.08930587768555,50.0,1.0,0.2746175229549408,1650228795.8216763,1650228814.880598
1650228815.2621534,37.36487579345703,50.0,1.0,0.2969569265842438,1650228815.2621534,1650228832.3637762
1650228832.6354585,38.93742370605469,50.0,1.0,0.30233702063560486,1650228832.6354585,1650228848.7382183
1650228849.05536,40.42927551269531,50.0,1.0,0.3496417999267578,1650228849.05536,1650228861.051618
1650228861.364613,37.072227478027344,50.0,1.0,0.3608439266681671,1650228861.364613,1650228873.8537462
