,load,alloc,reward,sigma,event_start_time,event_end_time
1633684194.137835,1.0,83.0,287.2605285644531,190.7559356689453,1633684194.137835,1633684206.3984828
1633684207.7711463,1.0,83.0,179.0243682861328,264.28204345703125,1633684207.7711463,1633684234.6948555
1633684287.520251,1.0,118.0,82.38700103759766,214.7884521484375,1633684287.520251,1633684337.4553137
1633684338.5838027,1.0,118.0,371.7591247558594,381.3758544921875,1633684338.5838027,1633684355.6513057
1633684357.1851034,1.0,118.0,305.5195007324219,697.2642822265625,1633684357.1851034,1633684390.6101382
1633684422.7489624,1.0,24.0,94.54762268066406,219.9144287109375,1633684422.7489624,1633684464.5268514
1633684466.2367034,1.0,24.0,112.43882751464844,223.8131561279297,1633684466.2367034,1633684502.0606284
1633684503.7282772,1.0,24.0,235.39112854003906,213.01205444335938,1633684503.7282772,1633684519.9905725
1633684520.9837708,1.0,24.0,95.5050277709961,207.46450805664062,1633684520.9837708,1633684560.0393076
1633684752.6475594,1.0,52.0,284.3827819824219,356.4769592285156,1633684752.6475594,1633684773.454022
1633684775.1419048,1.0,52.0,121.85723114013672,397.13232421875,1633684775.1419048,1633684828.8851252
1633684920.9013522,1.0,70.0,110.34093475341797,452.6027526855469,1633684920.9013522,1633684985.845519
1633685058.0965767,1.0,9.0,39.972896575927734,85.53460693359375,1633685058.0965767,1633685098.9992933
1633685099.3713813,1.0,9.0,44.29566192626953,84.37037658691406,1633685099.3713813,1633685135.8986616
1633685136.3219075,1.0,9.0,90.27838897705078,86.48648071289062,1633685136.3219075,1633685154.6430142
1633685155.2730064,1.0,9.0,44.115421295166016,87.38575744628906,1633685155.2730064,1633685193.150917
1633685220.295403,1.0,33.0,370.271728515625,263.9260559082031,1633685220.295403,1633685232.659296
1633685233.6467922,1.0,33.0,242.5003204345703,288.4412841796875,1633685233.6467922,1633685254.1704764
1633685255.8967595,1.0,33.0,209.54620361328125,297.6912536621094,1633685255.8967595,1633685280.6073
1633685282.5504766,1.0,33.0,146.11624145507812,300.2672119140625,1633685282.5504766,1633685317.7690127
1633685319.228718,1.0,33.0,163.6190185546875,296.1920471191406,1633685319.228718,1633685350.673718
1633685385.8865957,1.0,17.0,168.1754150390625,168.2868194580078,1633685385.8865957,1633685404.3672986
1633685405.7855606,1.0,17.0,141.5876922607422,154.4380340576172,1633685405.7855606,1633685426.0486221
1633685427.1862102,1.0,17.0,46.726375579833984,163.56068420410156,1633685427.1862102,1633685491.7749999
1633685570.7581682,1.0,84.0,159.56678771972656,403.0987854003906,1633685570.7581682,1633685613.3672857
1633685703.1104717,1.0,54.0,146.49244689941406,451.5834045410156,1633685703.1104717,1633685753.5977166
1633685755.7836564,1.0,54.0,113.1239242553711,467.2427062988281,1633685755.7836564,1633685821.1632857
1633685918.785697,1.0,50.0,53.861785888671875,407.1058044433594,1633685918.785697,1633686042.2127197
1633686044.4957216,1.0,50.0,99.69270324707031,397.3851623535156,1633686044.4957216,1633686109.1744752
1633686109.616417,1.0,50.0,74.96380615234375,419.16693115234375,1633686109.616417,1633686201.220623
1633686203.2455904,1.0,50.0,118.28643798828125,341.1600036621094,1633686203.2455904,1633686252.820165
1633686254.6450927,1.0,50.0,94.93046569824219,402.96875,1633686254.6450927,1633686324.6752985
1633686327.413415,1.0,50.0,103.80892181396484,443.69830322265625,1633686327.413415,1633686397.2340026
1633686399.5813558,1.0,50.0,89.96309661865234,449.4521179199219,1633686399.5813558,1633686481.2592928
1633686483.7068088,1.0,50.0,90.61060333251953,425.1144714355469,1633686483.7068088,1633686560.3865795
1633686562.4397826,1.0,50.0,88.90597534179688,411.3341369628906,1633686562.4397826,1633686639.4537313
1633686641.698051,1.0,50.0,101.42715454101562,431.984375,1633686641.698051,1633686711.679308
1633686714.1109905,1.0,50.0,129.5123291015625,452.0415954589844,1633686714.1109905,1633686770.8469033
1633686772.8496432,1.0,50.0,73.3891372680664,441.28729248046875,1633686772.8496432,1633686870.8750474
1633686873.0139341,1.0,50.0,102.44273376464844,410.7717590332031,1633686873.0139341,1633686938.8751192
1633686940.5948882,1.0,50.0,60.79830551147461,433.0902099609375,1633686940.5948882,1633687057.3415596
1633687059.5353515,1.0,50.0,104.72865295410156,427.3255310058594,1633687059.5353515,1633687124.4459524
