,load,alloc,reward,sigma,event_start_time,event_end_time
1633684151.5587182,47.272212982177734,77.0,1.0,0.3322277367115021,1633684151.5587182,1633684163.2780764
1633684205.9850981,47.26422882080078,79.0,1.0,0.31311213970184326,1633684205.9850981,1633684218.489269
1633684218.8920438,40.6727180480957,79.0,1.0,0.25734251737594604,1633684218.8920438,1633684239.2988436
1633684239.7910292,40.27573776245117,79.0,1.0,0.2865341305732727,1633684239.7910292,1633684256.8981032
1633684270.3639133,35.955421447753906,88.0,1.0,0.34020692110061646,1633684270.3639133,1633684284.8540792
1633684285.2796285,36.35914611816406,88.0,1.0,0.3168621361255646,1633684285.2796285,1633684301.1765912
1633684301.5081303,39.021671295166016,88.0,1.0,0.3042903244495392,1633684301.5081303,1633684317.089216
1633684317.5878239,38.93616485595703,88.0,1.0,0.2507849335670471,1633684317.5878239,1633684340.265968
1633684340.701382,36.286041259765625,88.0,1.0,0.37011659145355225,1633684340.701382,1633684352.7721398
1633684353.140901,35.559730529785156,88.0,1.0,0.4225771129131317,1633684353.140901,1633684363.5459292
1633684363.8113084,40.02228927612305,88.0,1.0,0.34340140223503113,1633684363.8113084,1633684376.6541517
1633684376.818425,40.17568588256836,88.0,1.0,0.32581761479377747,1633684376.818425,1633684390.5580788
1633684390.8152566,40.1294059753418,88.0,1.0,0.2823912501335144,1633684390.8152566,1633684408.532937
1633684408.7180424,36.39400100708008,88.0,1.0,0.4003203809261322,1633684408.7180424,1633684419.4340942
1633684436.2933712,40.22135925292969,31.0,0.9867330193519592,0.2879561483860016,1633684436.2933712,1633684453.1500864
1633684453.4743454,34.5080680847168,31.0,1.0,0.36131468415260315,1633684453.4743454,1633684466.862519
1633684467.1685233,36.65200424194336,31.0,1.0,0.28747978806495667,1633684467.1685233,1633684486.1852183
1633684486.5312924,39.69683837890625,31.0,1.0,0.2622513771057129,1633684486.5312924,1633684507.3389952
1633684507.5166793,39.38909149169922,31.0,1.0,0.3795948028564453,1633684507.5166793,1633684518.7126722
1633684519.1784277,40.26601791381836,31.0,1.0,0.331133097410202,1633684519.1784277,1633684532.1422122
1633684532.3001328,38.51537322998047,31.0,1.0,0.2657470107078552,1633684532.3001328,1633684552.9672048
1633684553.1893604,37.00893783569336,31.0,1.0,0.27136266231536865,1633684553.1893604,1633684573.697919
1633684624.6351073,37.357357025146484,98.0,1.0,0.3747658431529999,1633684624.6351073,1633684636.3864734
1633684636.7408793,38.02745819091797,98.0,1.0,0.3475240170955658,1633684636.7408793,1633684649.6526022
1633684649.807415,34.64009094238281,98.0,1.0,0.34299716353416443,1633684649.807415,1633684664.1260839
1633684664.607052,33.792659759521484,98.0,1.0,0.32207831740379333,1633684664.607052,1633684680.4980774
1633684680.67661,41.06986618041992,98.0,1.0,0.29907429218292236,1633684680.67661,1633684696.4546018
1633684696.8179808,37.993289947509766,98.0,1.0,0.3726779818534851,1633684696.8179808,1633684708.1620889
1633684708.3042786,37.40419387817383,98.0,1.0,0.32547226548194885,1633684708.3042786,1633684723.1689227
1633684723.5507817,40.174720764160156,98.0,1.0,0.30599501729011536,1633684723.5507817,1633684739.008263
1633684753.1012206,38.44822692871094,57.0,1.0,0.2819419503211975,1633684753.1012206,1633684771.645639
1633684771.8923678,35.79611587524414,57.0,1.0,0.2779923677444458,1633684771.8923678,1633684792.0900896
1633684792.4397185,37.75798034667969,57.0,1.0,0.31591200828552246,1633684792.4397185,1633684807.9861004
1633684808.5679975,37.57205581665039,57.0,1.0,0.36273813247680664,1633684808.5679975,1633684820.411906
1633684820.7085154,36.2309684753418,57.0,1.0,0.3307706117630005,1633684820.7085154,1633684835.2540824
1633684835.6471696,35.74759292602539,57.0,1.0,0.295398086309433,1633684835.6471696,1633684853.9700818
1633684854.252728,42.87556838989258,57.0,1.0,0.31943827867507935,1633684854.252728,1633684867.477043
1633684868.1117158,35.28274154663086,57.0,1.0,0.2881952226161957,1633684868.1117158,1633684886.8460872
1633684887.1163855,36.104347229003906,57.0,1.0,0.3566882014274597,1633684887.1163855,1633684900.106511
1633684935.6851237,41.45703125,107.0,1.0,0.3548867106437683,1633684935.6851237,1633684947.0945277
1633684947.230979,36.054386138916016,107.0,1.0,0.4048881530761719,1633684947.230979,1633684957.8260834
1633684958.2520337,37.35572814941406,107.0,1.0,0.3553345203399658,1633684958.2520337,1633684970.566075
1633684970.9858787,38.921791076660156,107.0,1.0,0.2592379152774811,1633684970.9858787,1633684992.2336164
1633684992.6023219,35.47353744506836,107.0,1.0,0.41739192605018616,1633684992.6023219,1633685002.6661623
1633685002.7907696,36.33932113647461,107.0,1.0,0.34421420097351074,1633685002.7907696,1633685016.4949336
1633685016.732481,37.385318756103516,107.0,1.0,0.30919620394706726,1633685016.732481,1633685032.7013166
1633685032.8282108,36.270294189453125,107.0,1.0,0.4016096591949463,1633685032.8282108,1633685043.4153876
1633685078.278839,39.300724029541016,40.0,1.0,0.292103111743927,1633685078.278839,1633685094.9706433
1633685095.2661986,37.40134048461914,40.0,1.0,0.4048881530761719,1633685095.2661986,1633685105.3193142
1633685105.4607787,38.30438995361328,40.0,1.0,0.37011659145355225,1633685105.4607787,1633685116.7649655
1633685116.9046152,34.749595642089844,40.0,1.0,0.29617443680763245,1633685116.9046152,1633685135.3220954
1633685135.8343117,36.96563720703125,40.0,1.0,0.23149636387825012,1633685135.8343117,1633685163.2381406
1633685163.4358726,35.91790771484375,40.0,1.0,0.3990434408187866,1633685163.4358726,1633685174.1269183
1633685174.5644715,36.04175567626953,40.0,1.0,0.4048881530761719,1633685174.5644715,1633685184.8580875
1633685185.1427855,35.90110778808594,40.0,1.0,0.363216370344162,1633685185.1427855,1633685197.5100923
1633685197.698754,34.016883850097656,40.0,1.0,0.3012376129627228,1633685197.698754,1633685215.7780123
1633685227.9913473,37.86606979370117,20.0,1.0,0.3466876149177551,1633685227.9913473,1633685240.9581008
1633685241.1649017,37.061466217041016,20.0,1.0,0.3268602192401886,1633685241.1649017,1633685255.4384868
1633685255.6742444,38.15187072753906,20.0,1.0,0.2765006422996521,1633685255.6742444,1633685274.7820888
1633685275.1080036,40.703914642333984,20.0,1.0,0.26099786162376404,1633685275.1080036,1633685295.1060805
1633685295.424413,36.1807861328125,20.0,0.7726190686225891,0.24397501349449158,1633685295.424413,1633685320.6864402
1633685320.8815227,33.96186065673828,20.0,1.0,0.41959068179130554,1633685320.8815227,1633685331.2460902
1633685331.4121358,35.789031982421875,20.0,1.0,0.36369648575782776,1633685331.4121358,1633685343.8181708
1633685344.0070407,35.583778381347656,20.0,1.0,0.29310518503189087,1633685344.0070407,1633685362.3581
1633685398.7418168,37.94243621826172,56.0,1.0,0.3089010417461395,1633685398.7418168,1633685414.7397358
1633685415.0801249,39.466026306152344,56.0,1.0,0.36037498712539673,1633685415.0801249,1633685426.7610571
1633685427.0235565,35.20476531982422,56.0,1.0,0.3571428656578064,1633685427.0235565,1633685440.2035904
1633685440.6356359,38.81951141357422,56.0,1.0,0.2982749938964844,1633685440.6356359,1633685457.4570742
1633685457.9377658,36.6883659362793,56.0,1.0,0.25802692770957947,1633685457.9377658,1633685480.4517145
1633685480.710731,33.28105926513672,56.0,1.0,0.30178582668304443,1633685480.710731,1633685499.4601338
1633685499.7694786,36.454986572265625,56.0,1.0,0.40622222423553467,1633685499.7694786,1633685509.809257
1633685510.1503503,34.58708953857422,56.0,1.0,0.30919620394706726,1633685510.1503503,1633685527.4400394
1633685527.749541,33.20417785644531,56.0,1.0,0.37424060702323914,1633685527.749541,1633685540.2780848
1633685564.3452942,32.92628479003906,105.0,1.0,0.3774256706237793,1633685564.3452942,1633685576.8580937
1633685577.0175004,36.293212890625,105.0,1.0,0.3355780243873596,1633685577.0175004,1633685591.0972683
1633685591.490105,34.88859558105469,105.0,1.0,0.3548867106437683,1633685591.490105,1633685604.9042306
1633685605.0780914,35.85403060913086,105.0,1.0,0.38984057307243347,1633685605.0780914,1633685616.2623286
1633685616.5597448,40.03279495239258,105.0,1.0,0.381246417760849,1633685616.5597448,1633685627.1260815
1633685627.3335881,35.37605285644531,105.0,1.0,0.31782087683677673,1633685627.3335881,1633685643.5592535
1633685643.8497295,38.86324691772461,105.0,1.0,0.3823595643043518,1633685643.8497295,1633685654.425274
1633685654.583953,34.73259353637695,105.0,1.0,0.3487900495529175,1633685654.583953,1633685669.0948184
1633685669.499737,37.93390655517578,105.0,1.0,0.36131468415260315,1633685669.499737,1633685681.836985
1633685682.2281408,37.631141662597656,105.0,1.0,0.35049980878829956,1633685682.2281408,1633685695.1429768
1633685707.186334,34.837562561035156,13.0,0.7639939188957214,0.2750326693058014,1633685707.186334,1633685728.2555459
1633685728.6776192,36.2438850402832,13.0,1.0,0.3874921202659607,1633685728.6776192,1633685739.7415545
1633685739.9569678,35.088436126708984,13.0,1.0,0.33040928840637207,1633685739.9569678,1633685755.0901594
1633685755.356079,38.52839279174805,13.0,1.0,0.3496417999267578,1633685755.356079,1633685768.3075664
1633685768.765464,37.272003173828125,13.0,1.0,0.30344855785369873,1633685768.765464,1633685785.5340824
1633685785.8018095,36.638641357421875,13.0,0.6394557952880859,0.26082026958465576,1633685785.8018095,1633685807.8004417
1633685807.956673,37.54480743408203,13.0,0.4665970802307129,0.2284558266401291,1633685807.956673,1633685835.710179
1633685856.2639115,34.72074890136719,50.0,1.0,0.31311213970184326,1633685856.2639115,1633685872.7094092
1633685873.055478,35.42860412597656,50.0,1.0,0.3737175464630127,1633685873.055478,1633685884.8820796
1633685885.0920336,37.516605377197266,50.0,1.0,0.26650089025497437,1633685885.0920336,1633685905.7228987
1633685906.068595,38.310035705566406,50.0,1.0,0.31008684635162354,1633685906.068595,1633685921.6780815
1633685922.020143,36.03450393676758,50.0,1.0,0.31465837359428406,1633685922.020143,1633685938.3100858
1633685938.4854734,39.583740234375,50.0,1.0,0.252216637134552,1633685938.4854734,1633685960.742086
1633685961.116682,36.96986389160156,50.0,1.0,0.23702272772789001,1633685961.116682,1633685986.8673866
