,load,alloc,reward,sigma,event_start_time,event_end_time
1633691232.7767527,23.101865768432617,50.0,0.7989130616188049,0.5,1633691232.7767527,1633691242.819232
1633691243.019647,23.760343551635742,50.0,1.0,0.5,1633691243.019647,1633691253.5413806
1633691253.7229536,21.048248291015625,50.0,1.0,0.5,1633691253.7229536,1633691264.1751297
1633691264.3946364,22.72248649597168,50.0,1.0,0.47565150260925293,1633691264.3946364,1633691276.1011014
1633691276.2958267,21.25250816345215,50.0,1.0,0.5,1633691276.2958267,1633691288.1532505
1633691288.3696048,23.295120239257812,50.0,1.0,0.47457900643348694,1633691288.3696048,1633691299.7453775
1633691299.8814874,20.706453323364258,50.0,1.0,0.5,1633691299.8814874,1633691311.0857239
1633691311.303632,19.142595291137695,50.0,1.0,0.5,1633691311.303632,1633691323.1620035
1633691323.5575902,20.843849182128906,50.0,1.0,0.5,1633691323.5575902,1633691333.8723838
1633691334.111081,19.4689884185791,50.0,1.0,0.5,1633691334.111081,1633691345.8733764
1633691346.0364072,18.74204444885254,50.0,1.0,0.5,1633691346.0364072,1633691357.8280773
1633691357.9675753,17.234643936157227,50.0,1.0,0.5,1633691357.9675753,1633691368.5857236
1633691368.7402117,18.405107498168945,50.0,1.0,0.5,1633691368.7402117,1633691379.8784244
1633691380.0954964,19.86777114868164,50.0,1.0,0.5,1633691380.0954964,1633691391.269372
1633691391.3965492,18.4040584564209,50.0,1.0,0.5,1633691391.3965492,1633691402.2093818
1633691402.321849,19.5590877532959,50.0,1.0,0.5,1633691402.321849,1633691413.9788349
1633691414.2131054,18.96712875366211,50.0,1.0,0.4938648045063019,1633691414.2131054,1633691426.972021
1633691427.1923242,17.695281982421875,50.0,0.9950000047683716,0.5,1633691427.1923242,1633691440.5857248
1633691440.9513888,18.340251922607422,50.0,1.0,0.5,1633691440.9513888,1633691451.5292149
1633691451.653308,22.087528228759766,50.0,1.0,0.5,1633691451.653308,1633691462.0664244
1633691462.2207713,19.89534568786621,50.0,1.0,0.5,1633691462.2207713,1633691473.0273192
1633691473.2569175,19.63606834411621,50.0,1.0,0.4652421176433563,1633691473.2569175,1633691487.108977
1633691508.8880754,19.566593170166016,76.0,0.9944751262664795,0.5,1633691508.8880754,1633691520.4383743
1633691520.8240664,20.475696563720703,76.0,1.0,0.5,1633691520.8240664,1633691531.421996
1633691531.660977,17.413984298706055,76.0,1.0,0.5,1633691531.660977,1633691542.399473
1633691542.622169,17.460649490356445,76.0,1.0,0.5,1633691542.622169,1633691553.1028788
1633691553.3487635,17.78508758544922,76.0,1.0,0.5,1633691553.3487635,1633691563.413375
1633691563.7107282,18.939048767089844,76.0,0.9907833933830261,0.480015367269516,1633691563.7107282,1633691577.069372
1633691577.2221425,21.368389129638672,76.0,0.9891892075538635,0.5,1633691577.2221425,1633691588.0325038
