,load,alloc,reward,sigma,event_start_time,event_end_time
1633691265.321147,1.0,50.0,325.593017578125,317.9681091308594,1633691265.321147,1633691282.2993982
1633691283.8427372,1.0,50.0,130.29222106933594,423.7832336425781,1633691283.8427372,1633691338.7193818
1633691340.5213096,1.0,50.0,100.87406921386719,450.90374755859375,1633691340.5213096,1633691414.8714395
1633691417.7209797,1.0,50.0,111.51498413085938,446.7998046875,1633691417.7209797,1633691484.5281448
1633691556.0056553,1.0,57.0,304.7461242675781,479.676513671875,1633691556.0056553,1633691582.1913872
1633691583.0704882,1.0,57.0,110.28935241699219,483.8651123046875,1633691583.0704882,1633691654.908793
1633691736.5444937,1.0,45.0,138.8709716796875,442.3817138671875,1633691736.5444937,1633691790.0113924
1633691840.8364973,1.0,17.0,75.81571960449219,208.9989471435547,1633691840.8364973,1633691891.0635464
1633691891.9202442,1.0,17.0,70.38285827636719,211.05746459960938,1633691891.9202442,1633691946.5074003
1633692000.5610375,1.0,53.0,423.01898193359375,279.59130859375,1633692000.5610375,1633692012.38793
1633692013.9737945,1.0,53.0,294.0373840332031,447.7327880859375,1633692013.9737945,1633692039.2766995
1633692040.8437629,1.0,53.0,150.14234924316406,470.43475341796875,1633692040.8437629,1633692091.6755257
1633692156.6815944,1.0,78.0,192.22337341308594,517.5076293945312,1633692156.6815944,1633692200.656476
1633692205.3069046,1.0,78.0,133.68804931640625,557.2638549804688,1633692205.3069046,1633692272.3211203
1633692345.654844,1.0,52.0,116.49324798583984,456.9349060058594,1633692345.654844,1633692410.8260038
1633692413.16034,1.0,52.0,160.5863037109375,457.73748779296875,1633692413.16034,1633692460.4371
1633692494.6003795,1.0,69.0,295.84307861328125,440.1490478515625,1633692494.6003795,1633692519.6271613
1633692522.367149,1.0,69.0,169.63433837890625,543.67333984375,1633692522.367149,1633692574.0253215
1633692575.180296,1.0,69.0,274.64520263671875,550.3717651367188,1633692575.180296,1633692606.5735245
1633692664.0904558,1.0,47.0,219.26962280273438,449.8824157714844,1633692664.0904558,1633692698.3861332
1633692700.5785007,1.0,47.0,158.37213134765625,436.5198974609375,1633692700.5785007,1633692746.5777547
1633692814.8177183,1.0,32.0,91.2161636352539,350.5484924316406,1633692814.8177183,1633692881.8233857
1633692883.5960755,1.0,32.0,181.454345703125,342.9325866699219,1633692883.5960755,1633692916.5740674
1633692955.479449,1.0,28.0,75.8829345703125,308.3173522949219,1633692955.479449,1633693027.0633929
1633693028.5419748,1.0,28.0,81.94156646728516,305.67230224609375,1633693028.5419748,1633693094.4914074
1633693136.245381,1.0,44.0,179.80007934570312,412.2787170410156,1633693136.245381,1633693175.1552646
1633693176.9965124,1.0,44.0,102.20791625976562,398.3450622558594,1633693176.9965124,1633693243.2927458
1633693304.7235289,1.0,34.0,90.3315200805664,369.98870849609375,1633693304.7235289,1633693374.7323155
1633693395.7239287,1.0,30.0,75.32805633544922,326.95489501953125,1633693395.7239287,1633693471.3929474
1633693473.0640728,1.0,30.0,135.95860290527344,329.9744873046875,1633693473.0640728,1633693515.429908
