,load,alloc,reward,sigma,event_start_time,event_end_time
1633691279.8119693,42.92585372924805,50.0,1.0,0.3585173785686493,1633691279.8119693,1633691290.8309696
1633691291.0538776,47.08318328857422,50.0,1.0,0.32308533787727356,1633691291.0538776,1633691303.4149787
1633691303.5944993,46.775081634521484,50.0,1.0,0.35623523592948914,1633691303.5944993,1633691314.0915413
1633691314.556842,43.37013244628906,50.0,1.0,0.34380707144737244,1633691314.556842,1633691326.5466607
1633691326.859047,44.817718505859375,50.0,1.0,0.359907865524292,1633691326.859047,1633691337.279033
1633691337.614328,45.090030670166016,50.0,1.0,0.27236735820770264,1633691337.614328,1633691354.7134516
1633691354.9851594,43.96964645385742,50.0,1.0,0.3840476870536804,1633691354.9851594,1633691365.0602913
1633691365.4268942,40.88953399658203,50.0,1.0,0.36810508370399475,1633691365.4268942,1633691376.2365062
1633691376.3841352,38.99790573120117,50.0,1.0,0.29669541120529175,1633691376.3841352,1633691393.1029818
1633691393.313462,39.61629867553711,50.0,1.0,0.3806934952735901,1633691393.313462,1633691404.04137
1633691404.448291,37.46306228637695,50.0,1.0,0.363216370344162,1633691404.448291,1633691416.5402012
1633691416.8743818,35.68323516845703,50.0,1.0,0.34020692110061646,1633691416.8743818,1633691431.3629782
1633691431.6582813,38.73984146118164,50.0,1.0,0.37319669127464294,1633691431.6582813,1633691443.170977
1633691443.576524,40.259429931640625,50.0,1.0,0.37424060702323914,1633691443.576524,1633691454.6049957
1633691454.8511226,37.54655075073242,50.0,1.0,0.3747658431529999,1633691454.8511226,1633691466.782977
1633691467.2034662,39.65986251831055,50.0,1.0,0.35759925842285156,1633691467.2034662,1633691479.104667
1633691479.4377608,36.10483932495117,50.0,1.0,0.36760732531547546,1633691479.4377608,1633691491.7629786
1633691518.6345701,40.29188919067383,69.0,1.0,0.37113481760025024,1633691518.6345701,1633691529.6789763
1633691529.8549054,40.0628547668457,69.0,1.0,0.26726123690605164,1633691529.8549054,1633691549.424154
1633691549.9618673,35.8809700012207,69.0,1.0,0.3737175464630127,1633691549.9618673,1633691561.722977
1633691561.996468,38.07818603515625,69.0,1.0,0.3608439266681671,1633691561.996468,1633691574.286969
1633691574.623856,40.582275390625,69.0,1.0,0.32791292667388916,1633691574.623856,1633691588.4229836
1633691589.0055761,35.9296875,69.0,1.0,0.3479444980621338,1633691589.0055761,1633691602.365002
1633691602.86015,36.182132720947266,69.0,1.0,0.2680281400680542,1633691602.86015,1633691624.3348384
1633691624.7601588,40.5643196105957,69.0,1.0,0.3065696656703949,1633691624.7601588,1633691640.365006
1633691640.7695951,39.28801345825195,69.0,1.0,0.29669541120529175,1633691640.7695951,1633691657.2377222
1633691657.782539,43.47068405151367,69.0,1.0,0.35578402876853943,1633691657.782539,1633691668.5714188
1633691679.062544,37.41201400756836,70.0,1.0,0.36810508370399475,1633691679.062544,1633691691.064036
1633691691.5005615,39.50007629394531,70.0,1.0,0.37635496258735657,1633691691.5005615,1633691702.184085
1633691702.3068326,37.77373123168945,70.0,1.0,0.2570023238658905,1633691702.3068326,1633691724.5180354
1633691724.9104981,35.64793395996094,70.0,1.0,0.37319669127464294,1633691724.9104981,1633691737.2253778
1633691737.3980935,35.63556671142578,70.0,1.0,0.2865341305732727,1633691737.3980935,1633691756.508215
1633691756.7853394,36.97426223754883,70.0,1.0,0.24875929951667786,1633691756.7853394,1633691780.7209094
1633691781.0220504,36.740447998046875,70.0,1.0,0.2835239768028259,1633691781.0220504,1633691799.5574808
1633691799.713051,34.17819595336914,70.0,1.0,0.3128056228160858,1633691799.713051,1633691816.9755194
1633691848.5947723,37.82530212402344,60.0,1.0,0.28771767020225525,1633691848.5947723,1633691866.8100927
1633691867.163665,40.18083190917969,60.0,1.0,0.29669541120529175,1633691867.163665,1633691883.2409823
1633691883.6595023,36.71113586425781,60.0,1.0,0.40555354952812195,1633691883.6595023,1633691894.0923038
1633691894.3525875,38.95264434814453,60.0,1.0,0.34421420097351074,1633691894.3525875,1633691907.1630142
1633691907.608192,35.835113525390625,60.0,1.0,0.29591497778892517,1633691907.608192,1633691925.4956756
1633691925.6697361,37.107303619384766,60.0,1.0,0.386333703994751,1633691925.6697361,1633691936.6109781
1633691936.9022439,38.910400390625,60.0,1.0,0.3406013548374176,1633691936.9022439,1633691950.0349796
1633691950.2442992,35.84541702270508,60.0,1.0,0.3904344141483307,1633691950.2442992,1633691961.4312239
1633691961.730492,36.25904083251953,60.0,1.0,0.3617872893810272,1633691961.730492,1633691974.3618252
1633691993.3494244,38.8802490234375,49.0,1.0,0.23544080555438995,1633691993.3494244,1633692018.374984
1633692018.5046077,33.9239387512207,49.0,1.0,0.36810508370399475,1633692018.5046077,1633692031.2389774
1633692031.4904845,36.95683670043945,49.0,1.0,0.2844400703907013,1633692031.4904845,1633692050.0256197
1633692050.3827612,34.25501251220703,49.0,1.0,0.43519413471221924,1633692050.3827612,1633692060.3958943
1633692060.9135385,39.27537536621094,49.0,1.0,0.3162277638912201,1633692060.9135385,1633692076.0629792
1633692076.5393453,40.22732162475586,49.0,1.0,0.3458572328090668,1633692076.5393453,1633692088.9189909
1633692089.1105766,36.01266860961914,49.0,1.0,0.40961596369743347,1633692089.1105766,1633692099.4958112
1633692099.7971778,37.15960693359375,49.0,1.0,0.3874921202659607,1633692099.7971778,1633692110.7230196
1633692111.216669,39.90753173828125,49.0,1.0,0.4009634554386139,1633692111.216669,1633692121.3150136
1633692121.691784,37.40423583984375,49.0,1.0,0.32308533787727356,1633692121.691784,1633692135.9949765
1633692165.4629772,36.62892150878906,79.0,1.0,0.35311228036880493,1633692165.4629772,1633692178.3489692
1633692178.615429,41.64754104614258,79.0,1.0,0.386333703994751,1633692178.615429,1633692188.8921459
1633692189.1610668,38.03422546386719,79.0,1.0,0.2972191572189331,1633692189.1610668,1633692206.434982
1633692206.8379724,39.16274642944336,79.0,1.0,0.29961076378822327,1633692206.8379724,1633692223.1289644
1633692223.2523901,38.56692123413086,79.0,1.0,0.3054236173629761,1633692223.2523901,1633692239.0949824
1633692239.409007,37.10345458984375,79.0,1.0,0.3009646236896515,1633692239.409007,1633692256.1998968
1633692256.65027,36.32912063598633,79.0,1.0,0.33786869049072266,1633692256.65027,1633692270.963856
1633692271.3348768,36.522850036621094,79.0,1.0,0.3886610269546509,1633692271.3348768,1633692282.3143044
1633692282.7532887,36.12944412231445,79.0,1.0,0.36273813247680664,1633692282.7532887,1633692295.2085032
1633692295.3322845,36.41978073120117,79.0,1.0,0.29135826230049133,1633692295.3322845,1633692313.4543045
1633692324.250381,36.788509368896484,57.0,1.0,0.4159451723098755,1633692324.250381,1633692334.443781
1633692334.826457,33.5426139831543,57.0,1.0,0.36131468415260315,1633692334.826457,1633692348.1229756
1633692348.3451343,35.14984893798828,57.0,1.0,0.30513909459114075,1633692348.3451343,1633692365.9270012
1633692366.2465532,39.4944953918457,57.0,1.0,0.3566882014274597,1633692366.2465532,1633692378.0709853
1633692378.2762756,37.72223663330078,57.0,1.0,0.3475240170955658,1633692378.2762756,1633692391.3189807
1633692391.96472,37.760009765625,57.0,1.0,0.32042068243026733,1633692391.96472,1633692406.583361
1633692406.7484267,37.46916580200195,57.0,1.0,0.37319669127464294,1633692406.7484267,1633692418.0110202
1633692418.278142,42.55363082885742,57.0,1.0,0.2881952226161957,1633692418.278142,1633692434.3989751
1633692434.8542156,39.07403564453125,57.0,1.0,0.3325950503349304,1633692434.8542156,1633692448.4949875
1633692448.9363773,33.44826889038086,57.0,1.0,0.30289125442504883,1633692448.9363773,1633692467.3229797
1633692484.6296144,36.943416595458984,51.0,1.0,0.3513641953468323,1633692484.6296144,1633692497.8390043
1633692498.3901548,35.266902923583984,51.0,1.0,0.29907429218292236,1633692498.3901548,1633692516.2255747
1633692516.3530889,36.582557678222656,51.0,1.0,0.33445003628730774,1633692516.3530889,1633692530.7315257
1633692531.37988,35.66183853149414,51.0,1.0,0.3544405996799469,1633692531.37988,1633692544.3909867
1633692544.7319613,39.9521598815918,51.0,1.0,0.34462276101112366,1633692544.7319613,1633692557.271959
1633692557.4809432,36.95077133178711,51.0,1.0,0.2701716125011444,1633692557.4809432,1633692578.1029766
1633692578.4642344,37.437801361083984,51.0,1.0,0.24056261777877808,1633692578.4642344,1633692603.438991
1633692603.765882,37.59539031982422,51.0,1.0,0.35049980878829956,1633692603.765882,1633692616.4004102
1633692616.6091547,34.902042388916016,51.0,1.0,0.4159451723098755,1633692616.6091547,1633692627.1242983
1633692639.7867184,35.861392974853516,41.0,1.0,0.3617872893810272,1633692639.7867184,1633692652.5859983
1633692652.952501,33.656524658203125,41.0,1.0,0.28467047214508057,1633692652.952501,1633692673.2457423
1633692673.4822028,35.10711669921875,41.0,1.0,0.2799462676048279,1633692673.4822028,1633692693.8199587
1633692694.0547893,35.34239196777344,41.0,1.0,0.2849014401435852,1633692694.0547893,1633692713.6629708
1633692714.1491876,38.53467559814453,41.0,1.0,0.3880752623081207,1633692714.1491876,1633692724.918709
1633692725.0969496,34.28347396850586,41.0,1.0,0.4109974801540375,1633692725.0969496,1633692735.8309846
1633692735.9668686,34.5312385559082,41.0,1.0,0.2828427255153656,1633692735.9668686,1633692756.3252456
1633692756.7350037,40.19136047363281,41.0,1.0,0.3513641953468323,1633692756.7350037,1633692768.852036
1633692769.1528554,34.1529655456543,41.0,1.0,0.3363364040851593,1633692769.1528554,1633692783.8514333
1633692812.2275918,37.09351348876953,17.0,1.0,0.30178582668304443,1633692812.2275918,1633692828.9151459
