,load,alloc,reward,sigma,event_start_time,event_end_time
1633691224.042016,22.456026077270508,1.0,0.0,0.5,1633691224.042016,1633691234.6405072
1633691235.0591311,23.41228675842285,1.0,0.05147058889269829,0.5,1633691235.0591311,1633691245.0965955
1633691271.421761,21.926166534423828,50.0,0.6961326003074646,0.5,1633691271.421761,1633691281.4554343
1633691281.5787132,22.46002960205078,50.0,0.5807453393936157,0.39405521750450134,1633691281.5787132,1633691298.1414692
1633691298.522044,21.305130004882812,50.0,0.742382287979126,0.37216147780418396,1633691298.522044,1633691317.5315495
1633691317.8245456,18.39164924621582,50.0,1.0,0.492664635181427,1633691317.8245456,1633691331.363299
1633691331.5212123,20.602373123168945,50.0,1.0,0.49507376551628113,1633691331.5212123,1633691343.6071987
1633691343.7577477,19.48862075805664,50.0,1.0,0.5,1633691343.7577477,1633691355.5595064
1633691355.8242896,17.938539505004883,50.0,1.0,0.5,1633691355.8242896,1633691368.032641
1633691368.2631075,17.671140670776367,50.0,1.0,0.47781848907470703,1633691368.2631075,1633691382.8631835
1633691383.0472004,19.8538761138916,50.0,0.9960317611694336,0.44543540477752686,1633691383.0472004,1633691398.0568643
1633691398.313739,18.878446578979492,50.0,1.0,0.5,1633691398.313739,1633691410.6028855
1633691411.0052094,19.748863220214844,50.0,0.9956709742546082,0.4652421176433563,1633691411.0052094,1633691424.676883
1633691425.0426579,17.76473617553711,50.0,1.0,0.4822428226470947,1633691425.0426579,1633691439.059191
1633691439.20743,18.028051376342773,50.0,0.9959999918937683,0.4472135901451111,1633691439.20743,1633691455.4044108
1633691455.5551999,21.079084396362305,50.0,1.0,0.4472135901451111,1633691455.5551999,1633691469.3603532
1633691469.7335398,20.302440643310547,50.0,0.8820058703422546,0.3840476870536804,1633691469.7335398,1633691488.5982661
1633691503.661286,18.52094078063965,49.0,1.0,0.47351372241973877,1633691503.661286,1633691518.0234072
1633691518.3345082,19.95472526550293,49.0,1.0,0.4166666567325592,1633691518.3345082,1633691534.7216043
1633691534.9954453,17.325368881225586,49.0,0.9930070042610168,0.41812101006507874,1633691534.9954453,1633691553.5809076
1633691553.8273592,18.156267166137695,49.0,0.9960784316062927,0.4428074359893799,1633691553.8273592,1633691570.075192
1633691570.286289,20.12517547607422,49.0,0.9927797913551331,0.42485928535461426,1633691570.286289,1633691586.1370826
1633691586.5126293,20.155494689941406,49.0,1.0,0.4016096591949463,1633691586.5126293,1633691604.1753066
1633691604.3934858,19.969757080078125,49.0,1.0,0.5,1633691604.3934858,1633691615.0596147
1633691615.3088953,18.924020767211914,49.0,0.989051103591919,0.42717882990837097,1633691615.3088953,1633691632.1657786
1633691632.3390374,19.404541015625,49.0,1.0,0.4703604280948639,1633691632.3390374,1633691645.8925662
1633691663.5950713,17.51595687866211,58.0,0.9285714030265808,0.48795002698898315,1633691663.5950713,1633691677.6964993
1633691677.9648917,18.305824279785156,58.0,0.9960159659385681,0.44632184505462646,1633691677.9648917,1633691693.7522168
1633691694.1705875,18.268285751342773,58.0,1.0,0.5,1633691694.1705875,1633691706.1038358
1633691706.3783662,18.77311897277832,58.0,0.996363639831543,0.42640143632888794,1633691706.3783662,1633691723.3707473
1633691723.591799,18.623706817626953,58.0,1.0,0.4428074359893799,1633691723.591799,1633691739.1633499
1633691739.3876674,17.033933639526367,58.0,1.0,0.49507376551628113,1633691739.3876674,1633691753.7120152
1633691754.0076091,17.13832664489746,58.0,1.0,0.5,1633691754.0076091,1633691766.319196
1633691766.7928615,21.594058990478516,58.0,1.0,0.5,1633691766.7928615,1633691778.231193
1633691778.5354204,19.127235412597656,58.0,1.0,0.48911598324775696,1633691778.5354204,1633691791.5535064
1633691791.9384012,18.964805603027344,58.0,0.9966216087341309,0.4109974801540375,1633691791.9384012,1633691809.549971
1633691826.8162756,18.532760620117188,56.0,1.0,0.4767313003540039,1633691826.8162756,1633691841.2231953
1633691841.5285199,19.31363868713379,56.0,1.0,0.5,1633691841.5285199,1633691851.7803426
1633691851.96556,17.915307998657227,56.0,1.0,0.5,1633691851.96556,1633691862.5151973
1633691862.8467405,18.596921920776367,56.0,0.9959514141082764,0.44992128014564514,1633691862.8467405,1633691878.2794013
1633691878.5860627,18.84735107421875,56.0,1.0,0.44108107686042786,1633691878.5860627,1633691894.2911873
1633691894.4893744,18.31468391418457,56.0,0.9967532753944397,0.4029114842414856,1633691894.4893744,1633691913.1629155
1633691913.4468453,17.19392204284668,56.0,1.0,0.48336824774742126,1633691913.4468453,1633691928.1031868
1633691928.167008,19.466299057006836,56.0,1.0,0.5,1633691928.167008,1633691941.2151995
1633691941.5284247,19.452098846435547,56.0,0.9956521987915039,0.4662524163722992,1633691941.5284247,1633691955.1002245
1633691955.358151,17.533973693847656,56.0,1.0,0.47565150260925293,1633691955.358151,1633691969.673217
1633691994.790499,17.13326072692871,83.0,0.9886363744735718,0.5,1633691994.790499,1633692007.3391907
1633692007.6499922,19.188236236572266,83.0,1.0,0.5,1633692007.6499922,1633692018.3857365
1633692018.7638745,20.43782615661621,83.0,1.0,0.4703604280948639,1633692018.7638745,1633692031.7300286
1633692031.9568677,18.62725067138672,83.0,0.9900000095367432,0.5,1633692031.9568677,1633692045.1633248
1633692045.4172,17.959863662719727,83.0,1.0,0.5,1633692045.4172,1633692058.279213
1633692058.4416249,19.470739364624023,83.0,1.0,0.4914731979370117,1633692058.4416249,1633692071.1273267
1633692071.4893334,18.3967227935791,83.0,1.0,0.4767313003540039,1633692071.4893334,1633692085.4592133
1633692085.6687043,17.951539993286133,83.0,1.0,0.5,1633692085.6687043,1633692095.9742267
1633692096.3732672,19.727895736694336,83.0,0.9953051805496216,0.48450157046318054,1633692096.3732672,1633692109.4511948
1633692109.6958988,18.012737274169922,83.0,1.0,0.4593152105808258,1633692109.6958988,1633692124.796324
1633692138.243971,19.883798599243164,64.0,1.0,0.4545454680919647,1633692138.243971,1633692152.4263716
1633692152.5847607,19.492027282714844,64.0,1.0,0.4693232476711273,1633692152.5847607,1633692166.5391846
1633692166.6706765,18.65212631225586,64.0,1.0,0.5,1633692166.6706765,1633692178.5191913
1633692178.720768,19.513736724853516,64.0,0.9965517520904541,0.41522741317749023,1633692178.720768,1633692195.683178
1633692195.8675182,17.540695190429688,64.0,1.0,0.5,1633692195.8675182,1633692206.9275126
1633692207.3744597,17.90206527709961,64.0,1.0,0.5,1633692207.3744597,1633692219.4401062
1633692219.676047,18.355743408203125,64.0,1.0,0.48450157046318054,1633692219.676047,1633692233.4591987
1633692233.6920788,18.784631729125977,64.0,1.0,0.4856429398059845,1633692233.6920788,1633692247.6396503
1633692248.0814788,17.864198684692383,64.0,0.9959839582443237,0.4481107294559479,1633692248.0814788,1633692263.9791968
1633692264.2416906,17.321033477783203,64.0,1.0,0.5,1633692264.2416906,1633692274.9223466
1633692275.0585282,17.646282196044922,64.0,1.0,0.4652421176433563,1633692275.0585282,1633692290.0191872
1633692290.190827,16.902950286865234,64.0,1.0,0.49875468015670776,1633692290.190827,1633692304.2712085
1633692304.6097527,19.412918090820312,64.0,1.0,0.44632184505462646,1633692304.6097527,1633692319.7027957
1633692319.964703,18.48554039001465,64.0,1.0,0.5,1633692319.964703,1633692330.3511996
1633692330.5325918,18.00726318359375,64.0,1.0,0.4703604280948639,1633692330.5325918,1633692344.9712107
1633692345.100795,18.882883071899414,64.0,0.9965517520904541,0.41522741317749023,1633692345.100795,1633692362.259192
1633692362.6288579,22.022899627685547,64.0,1.0,0.4902903437614441,1633692362.6288579,1633692374.071493
1633692374.2624238,19.668283462524414,64.0,1.0,0.44367825984954834,1633692374.2624238,1633692389.464564
1633692389.6779785,16.768081665039062,64.0,1.0,0.5,1633692389.6779785,1633692400.8897562
1633692401.033517,17.218910217285156,64.0,1.0,0.4975185990333557,1633692401.033517,1633692414.6232276
1633692414.9590924,18.346981048583984,64.0,1.0,0.5,1633692414.9590924,1633692425.4785342
1633692425.6901944,17.81524085998535,64.0,1.0,0.4583492577075958,1633692425.6901944,1633692441.463205
1633692441.7237422,16.914247512817383,64.0,1.0,0.5,1633692441.7237422,1633692453.9028242
1633692469.4728076,17.869470596313477,50.0,1.0,0.48450157046318054,1633692469.4728076,1633692483.463149
1633692483.6764734,19.037391662597656,50.0,1.0,0.5,1633692483.6764734,1633692496.0206015
1633692496.258609,19.430221557617188,50.0,1.0,0.4632410407066345,1633692496.258609,1633692510.2059536
1633692510.4789004,17.741710662841797,50.0,1.0,0.5,1633692510.4789004,1633692521.5826776
1633692522.0756233,18.70626449584961,50.0,1.0,0.44992128014564514,1633692522.0756233,1633692537.4180768
1633692537.6051595,19.390052795410156,50.0,0.9933993220329285,0.40622222423553467,1633692537.6051595,1633692555.1914966
1633692555.444212,17.052921295166016,50.0,1.0,0.5,1633692555.444212,1633692565.647742
1633692566.0312626,16.494552612304688,50.0,1.0,0.5,1633692566.0312626,1633692578.8839903
1633692579.0750859,18.601043701171875,50.0,1.0,0.5,1633692579.0750859,1633692590.2034938
1633692590.4961019,17.296695709228516,50.0,1.0,0.49875468015670776,1633692590.4961019,1633692604.1403258
1633692617.6531518,17.400819778442383,37.0,1.0,0.46028730273246765,1633692617.6531518,1633692633.5719414
1633692633.8118818,18.324602127075195,37.0,1.0,0.4445542097091675,1633692633.8118818,1633692649.4738867
1633692649.689922,18.19966697692871,37.0,0.9965870380401611,0.41309618949890137,1633692649.689922,1633692668.206744
1633692668.596849,16.80179786682129,37.0,1.0,0.4089304208755493,1633692668.596849,1633692688.5351918
1633692688.9491487,18.790834426879883,37.0,0.9937888383865356,0.39405521750450134,1633692688.9491487,1633692708.213859
1633692708.517046,18.217042922973633,37.0,1.0,0.5,1633692708.517046,1633692720.3191812
1633692720.4454954,18.745746612548828,37.0,1.0,0.46423834562301636,1633692720.4454954,1633692734.7954173
1633692734.953143,17.0733699798584,37.0,1.0,0.4536091983318329,1633692734.953143,1633692751.7629464
1633692751.9194531,18.632171630859375,37.0,1.0,0.5,1633692751.9194531,1633692762.0631986
1633692762.2365937,18.679513931274414,37.0,1.0,0.48911598324775696,1633692762.2365937,1633692775.62024
1633692800.1162128,18.08749008178711,73.0,0.9917012453079224,0.45548751950263977,1633692800.1162128,1633692815.320092
1633692815.635475,17.736671447753906,73.0,1.0,0.5,1633692815.635475,1633692826.1222227
1633692826.4595044,17.601762771606445,73.0,1.0,0.5,1633692826.4595044,1633692839.5831904
1633692839.7490914,19.253692626953125,73.0,1.0,0.5,1633692839.7490914,1633692850.6560898
1633692851.0114477,18.881332397460938,73.0,0.9948717951774597,0.5,1633692851.0114477,1633692863.0868669
1633692863.3389776,18.492563247680664,73.0,1.0,0.5,1633692863.3389776,1633692874.911197
1633692875.25347,18.556514739990234,73.0,0.9953703880310059,0.48112523555755615,1633692875.25347,1633692889.1030538
1633692889.3333259,19.188966751098633,73.0,1.0,0.5,1633692889.3333259,1633692901.371493
1633692901.684298,18.348529815673828,73.0,0.9954954981803894,0.47457900643348694,1633692901.684298,1633692915.7998698
1633692916.0283659,18.58795738220215,73.0,1.0,0.45267874002456665,1633692916.0283659,1633692931.2532768
1633692946.4644217,16.751131057739258,93.0,0.9936708807945251,0.5,1633692946.4644217,1633692957.9263346
1633692958.117237,18.15142822265625,93.0,0.991304337978363,0.4662524163722992,1633692958.117237,1633692973.0471916
1633692973.2820458,18.543561935424805,93.0,0.9965397715568542,0.4159451723098755,1633692973.2820458,1633692990.6465635
1633692990.9815683,19.931198120117188,93.0,1.0,0.5,1633692990.9815683,1633693001.9191952
1633693002.2005022,18.075241088867188,93.0,0.9939024448394775,0.5,1633693002.2005022,1633693013.3760097
1633693013.645463,18.134193420410156,93.0,1.0,0.5,1633693013.645463,1633693025.0603626
1633693025.2655663,19.872901916503906,93.0,1.0,0.43768811225891113,1633693025.2655663,1633693040.41182
1633693040.6783106,20.205608367919922,93.0,0.9970414042472839,0.38461539149284363,1633693040.6783106,1633693059.385988
1633693059.6428065,17.653812408447266,93.0,1.0,0.46829289197921753,1633693059.6428065,1633693074.993598
1633693075.180898,18.508352279663086,93.0,1.0,0.5,1633693075.180898,1633693086.202949
1633693101.2244246,19.832653045654297,29.0,0.9957627058029175,0.46028730273246765,1633693101.2244246,1633693115.392978
1633693115.631107,20.27398109436035,29.0,1.0,0.5,1633693115.631107,1633693126.4331293
1633693126.726393,19.703046798706055,29.0,1.0,0.5,1633693126.726393,1633693138.04444
1633693138.2250996,19.712976455688477,29.0,0.9964157938957214,0.4233337640762329,1633693138.2250996,1633693154.4073336
1633693154.6561775,20.59716796875,29.0,1.0,0.4822428226470947,1633693154.6561775,1633693167.3278224
1633693167.580743,19.93687629699707,29.0,0.9272030591964722,0.43768811225891113,1633693167.580743,1633693182.578077
1633693182.8819067,20.603952407836914,29.0,1.0,0.5,1633693182.8819067,1633693193.0255916
1633693193.2149131,18.549163818359375,29.0,1.0,0.4867923855781555,1633693193.2149131,1633693206.746521
1633693206.8953826,19.32243537902832,29.0,1.0,0.42485928535461426,1633693206.8953826,1633693223.0941687
1633693223.4338524,19.780330657958984,29.0,1.0,0.39840954542160034,1633693223.4338524,1633693241.5831947
1633693241.7961118,18.391468048095703,29.0,1.0,0.5,1633693241.7961118,1633693253.0513303
1633693287.708008,18.682527542114258,50.0,1.0,0.5,1633693287.708008,1633693299.697821
1633693299.929918,19.936023712158203,50.0,1.0,0.5,1633693299.929918,1633693310.0623293
1633693310.1458693,17.166606903076172,50.0,1.0,0.5,1633693310.1458693,1633693322.9031947
1633693323.1424444,18.50197982788086,50.0,1.0,0.5,1633693323.1424444,1633693333.5737607
1633693333.7389476,20.16819190979004,50.0,0.9952152967453003,0.48911598324775696,1633693333.7389476,1633693346.4322023
1633693346.6453984,17.565013885498047,50.0,1.0,0.4822428226470947,1633693346.6453984,1633693360.7643743
1633693360.9588304,18.367956161499023,50.0,0.9954128265380859,0.4789131283760071,1633693360.9588304,1633693374.7328181
1633693374.9719355,18.931537628173828,50.0,1.0,0.4536091983318329,1633693374.9719355,1633693389.6036046
1633693389.7605345,19.12853240966797,50.0,0.9944444298744202,0.5,1633693389.7605345,1633693401.2094004
1633693432.7447538,19.24123764038086,56.0,1.0,0.5,1633693432.7447538,1633693442.9831803
1633693443.109432,19.142757415771484,56.0,1.0,0.5,1633693443.109432,1633693454.8632247
1633693455.2615595,20.009740829467773,56.0,0.9947916865348816,0.5,1633693455.2615595,1633693466.9058886
1633693467.145267,17.695131301879883,56.0,1.0,0.5,1633693467.145267,1633693479.4085276
1633693479.7332237,19.03726577758789,56.0,1.0,0.5,1633693479.7332237,1633693490.1338768
1633693490.4455583,18.13612937927246,56.0,0.9915966391563416,0.4583492577075958,1633693490.4455583,1633693505.6638007
1633693505.960614,19.66428565979004,56.0,1.0,0.48911598324775696,1633693505.960614,1633693518.4197497
1633693518.5978496,18.694705963134766,56.0,1.0,0.43602073192596436,1633693518.5978496,1633693534.805647
1633693534.9637396,17.6364803314209,56.0,1.0,0.5,1633693534.9637396,1633693545.4533606
1633693545.6398764,17.128427505493164,56.0,1.0,0.5,1633693545.6398764,1633693555.6816616
1633693555.890732,17.365272521972656,56.0,1.0,0.5,1633693555.890732,1633693567.4655573
1633693580.2589529,17.705991744995117,37.0,1.0,0.5,1633693580.2589529,1633693592.0628662
1633693592.344959,20.401453018188477,37.0,0.9906976819038391,0.4822428226470947,1633693592.344959,1633693605.2852137
1633693605.5113509,16.462299346923828,37.0,1.0,0.47245559096336365,1633693605.5113509,1633693621.4265022
1633693621.960945,18.276628494262695,37.0,1.0,0.5,1633693621.960945,1633693633.068026
1633693633.2202778,18.71936798095703,37.0,0.9958506226539612,0.45548751950263977,1633693633.2202778,1633693648.0712063
1633693648.485968,19.335811614990234,37.0,1.0,0.5,1633693648.485968,1633693658.726035
1633693658.881441,20.181385040283203,37.0,1.0,0.4583492577075958,1633693658.881441,1633693672.3592076
1633693672.4863505,19.35857391357422,37.0,1.0,0.5,1633693672.4863505,1633693684.7289882
1633693684.9162345,18.181657791137695,37.0,1.0,0.5,1633693684.9162345,1633693695.4213269
1633693695.689526,19.773401260375977,37.0,0.9922480583190918,0.4402254521846771,1633693695.689526,1633693710.5074122
1633693710.7570486,18.886886596679688,37.0,1.0,0.43685203790664673,1633693710.7570486,1633693726.6940322
1633693766.1429687,18.070552825927734,73.0,0.9923664331436157,0.43685203790664673,1633693766.1429687,1633693782.633887
1633693783.0378678,19.283199310302734,73.0,1.0,0.4303314685821533,1633693783.0378678,1633693799.2696137
1633693799.4981303,18.85787582397461,73.0,1.0,0.5,1633693799.4981303,1633693811.2173717
1633693811.430604,19.20726203918457,73.0,0.9956140518188477,0.46829289197921753,1633693811.430604,1633693825.2274683
1633693825.5546403,17.686962127685547,73.0,1.0,0.48795002698898315,1633693825.5546403,1633693839.46319
1633693839.7030652,20.8327579498291,73.0,0.991525411605835,0.46028730273246765,1633693839.7030652,1633693853.1434364
1633693853.3406553,20.42941665649414,73.0,1.0,0.4714045226573944,1633693853.3406553,1633693866.2631977
1633693866.4147604,22.197872161865234,73.0,1.0,0.480015367269516,1633693866.4147604,1633693878.3077922
1633693878.6967027,20.72942543029785,73.0,1.0,0.5,1633693878.6967027,1633693889.7438006
1633693901.7290244,19.922710418701172,50.0,1.0,0.5,1633693901.7290244,1633693913.6751902
1633693914.1151307,22.236675262451172,50.0,0.9958506226539612,0.45548751950263977,1633693914.1151307,1633693926.9767652
1633693927.345475,22.444650650024414,50.0,1.0,0.48336824774742126,1633693927.345475,1633693939.063189
1633693939.332817,23.387224197387695,50.0,0.722806990146637,0.41885390877723694,1633693939.332817,1633693953.6996348
1633693954.1318958,22.789226531982422,50.0,1.0,0.48336824774742126,1633693954.1318958,1633693965.453035
1633693965.6485808,21.510669708251953,50.0,1.0,0.44992128014564514,1633693965.6485808,1633693979.1767511
1633693979.517575,22.559715270996094,50.0,1.0,0.48336824774742126,1633693979.517575,1633693991.1311972
1633693991.3562884,20.348167419433594,50.0,0.9957805871963501,0.4593152105808258,1633693991.3562884,1633694005.4607525
1633694005.7817078,22.36007308959961,50.0,1.0,0.4867923855781555,1633694005.7817078,1633694017.4990222
