,load,alloc,reward,sigma,event_start_time,event_end_time
1633691280.733559,1.0,50.0,356.0746765136719,479.1568908691406,1633691280.733559,1633691302.9760845
1633691304.9165883,1.0,50.0,478.9659423828125,558.2351684570312,1633691304.9165883,1633691323.4982858
1633691324.216059,1.0,50.0,176.10194396972656,514.8790893554688,1633691324.216059,1633691371.8759542
1633691373.8847566,1.0,50.0,280.1697998046875,546.8601684570312,1633691373.8847566,1633691404.9373536
1633691406.6258068,1.0,50.0,258.4603576660156,566.268310546875,1633691406.6258068,1633691441.6408467
1633691442.4099028,1.0,50.0,218.61695861816406,563.3049926757812,1633691442.4099028,1633691483.3490875
1633691485.077791,1.0,50.0,244.81907653808594,551.5333862304688,1633691485.077791,1633691521.2269344
1633691523.116092,1.0,50.0,223.10523986816406,545.4271240234375,1633691523.116092,1633691562.0483906
1633691563.0145628,1.0,50.0,202.95709228515625,567.1929931640625,1633691563.0145628,1633691606.8661952
1633691608.305288,1.0,50.0,172.5215606689453,540.7350463867188,1633691608.305288,1633691658.4439483
1633691682.919103,1.0,23.0,147.6122283935547,292.2160949707031,1633691682.919103,1633691717.821362
1633691718.846562,1.0,23.0,130.02195739746094,295.0729675292969,1633691718.846562,1633691758.47064
1633691759.4216716,1.0,23.0,88.06920623779297,292.6231384277344,1633691759.4216716,1633691817.6599607
1633691870.226686,1.0,48.0,258.6864929199219,524.2501220703125,1633691870.226686,1633691902.8839762
1633691904.3630443,1.0,48.0,262.5064697265625,530.2681884765625,1633691904.3630443,1633691936.7279594
1633691937.9413097,1.0,48.0,207.40846252441406,523.8208618164062,1633691937.9413097,1633691978.672532
1633692014.4786537,1.0,36.0,249.357666015625,430.6781005859375,1633692014.4786537,1633692042.775357
1633692044.26344,1.0,36.0,247.13340759277344,415.917724609375,1633692044.26344,1633692072.232139
1633692073.8823974,1.0,36.0,182.42710876464844,421.82525634765625,1633692073.8823974,1633692112.560858
1633692114.4096062,1.0,36.0,208.98696899414062,416.39971923828125,1633692114.4096062,1633692147.8279586
1633692191.4539778,1.0,34.0,177.59825134277344,404.83258056640625,1633692191.4539778,1633692229.5512
1633692231.1076744,1.0,34.0,173.34432983398438,403.38470458984375,1633692231.1076744,1633692270.3359559
1633692309.6041687,1.0,31.0,218.5725555419922,362.75701904296875,1633692309.6041687,1633692337.8282056
1633692338.2922513,1.0,31.0,209.34942626953125,368.47454833984375,1633692338.2922513,1633692368.2039647
1633692369.3693573,1.0,31.0,213.86483764648438,369.24822998046875,1633692369.3693573,1633692398.6495326
1633692399.435025,1.0,31.0,146.47422790527344,369.4324035644531,1633692399.435025,1633692442.1865733
1633692478.1723266,1.0,25.0,187.2169647216797,304.9101257324219,1633692478.1723266,1633692506.6152623
1633692507.7204328,1.0,25.0,277.2724304199219,313.8519287109375,1633692507.7204328,1633692527.2860265
1633692528.5536911,1.0,25.0,184.94898986816406,301.107421875,1633692528.5536911,1633692556.9398973
1633692558.1793354,1.0,25.0,324.44964599609375,312.81707763671875,1633692558.1793354,1633692574.8999577
1633692592.805055,1.0,25.0,239.80393981933594,316.2211608886719,1633692592.805055,1633692615.5319543
