,load,alloc,reward,sigma,event_start_time,event_end_time
1633691275.5533817,42.35199737548828,49.0,1.0,0.3594425916671753,1633691275.5533817,1633691286.7452977
1633691286.952827,46.619564056396484,49.0,1.0,0.35623523592948914,1633691286.952827,1633691297.3132846
1633691297.5985954,48.27933883666992,49.0,1.0,0.35897907614707947,1633691297.5985954,1633691307.7892904
1633691307.9781156,41.448787689208984,49.0,1.0,0.386333703994751,1633691307.9781156,1633691318.18348
1633691318.4953523,46.21574401855469,49.0,1.0,0.33981382846832275,1633691318.4953523,1633691329.7685673
1633691329.9374478,41.92723083496094,49.0,1.0,0.3851855993270874,1633691329.9374478,1633691340.193312
1633691340.57626,44.84529113769531,49.0,1.0,0.26279416680336,1633691340.57626,1633691358.459966
1633691358.7049863,43.72792434692383,49.0,1.0,0.3513641953468323,1633691358.7049863,1633691369.887772
1633691370.7032256,38.27311706542969,49.0,1.0,0.37319669127464294,1633691370.7032256,1633691382.1995451
1633691395.7214787,38.46226501464844,50.0,1.0,0.33407655358314514,1633691395.7214787,1633691409.1632242
1633691409.494585,35.92366027832031,50.0,1.0,0.36131468415260315,1633691409.494585,1633691422.0211484
1633691422.2891216,36.19950866699219,50.0,1.0,0.3971507251262665,1633691422.2891216,1633691432.9798741
1633691433.1168885,39.15475082397461,50.0,1.0,0.34627169370651245,1633691433.1168885,1633691446.039969
1633691446.3193984,37.4027099609375,50.0,1.0,0.3691067397594452,1633691446.3193984,1633691458.2169318
1633691458.4232128,38.73149108886719,50.0,1.0,0.3965258002281189,1633691458.4232128,1633691468.67327
1633691469.2565708,38.023231506347656,50.0,1.0,0.2906191051006317,1633691469.2565708,1633691486.69328
1633691499.3971398,40.58358383178711,51.0,1.0,0.3191128373146057,1633691499.3971398,1633691513.7132726
1633691514.1229382,41.115840911865234,51.0,1.0,0.33709993958473206,1633691514.1229382,1633691526.9403822
1633691527.279998,39.90463638305664,51.0,1.0,0.32581761479377747,1633691527.279998,1633691541.3385148
1633691541.6438134,37.18000793457031,51.0,1.0,0.3829197883605957,1633691541.6438134,1633691552.5905566
1633691552.8154178,35.59542465209961,51.0,1.0,0.34380707144737244,1633691552.8154178,1633691566.5812318
1633691566.7668805,40.66893005371094,51.0,1.0,0.3785055875778198,1633691566.7668805,1633691577.2662964
1633691577.5346742,38.78192138671875,51.0,1.0,0.3289758563041687,1633691577.5346742,1633691591.2524064
1633691591.4939246,34.434471130371094,51.0,1.0,0.4295367896556854,1633691591.4939246,1633691601.7452796
1633691602.052004,35.01911544799805,51.0,1.0,0.3990434408187866,1633691602.052004,1633691613.38867
1633691613.7007926,37.673553466796875,51.0,1.0,0.37904903292655945,1633691613.7007926,1633691624.87574
1633691624.9890044,41.62961959838867,51.0,1.0,0.3348247706890106,1633691624.9890044,1633691637.9365168
1633691638.1963282,39.0235481262207,51.0,1.0,0.38984057307243347,1633691638.1963282,1633691648.549052
1633691648.9325142,42.7586555480957,51.0,1.0,0.3829197883605957,1633691648.9325142,1633691659.1292803
1633691669.8227055,37.55164337158203,27.0,0.9974554777145386,0.3566882014274597,1633691669.8227055,1633691682.1790218
1633691682.5407722,41.63467025756836,27.0,1.0,0.3651483654975891,1633691682.5407722,1633691693.6132753
1633691693.9166522,35.813472747802734,27.0,1.0,0.3458572328090668,1633691693.9166522,1633691707.7103436
1633691707.8930624,37.4370002746582,27.0,1.0,0.27076518535614014,1633691707.8930624,1633691727.9000063
1633691728.3012812,36.467525482177734,27.0,1.0,0.38461539149284363,1633691728.3012812,1633691739.407053
1633691739.5375705,35.46421432495117,27.0,1.0,0.3394221067428589,1633691739.5375705,1633691753.7772772
1633691754.1306932,37.11933517456055,27.0,1.0,0.36369648575782776,1633691754.1306932,1633691766.1998749
1633691766.7144325,39.6778678894043,27.0,1.0,0.33903175592422485,1633691766.7144325,1633691779.7947721
1633691780.2747545,37.779842376708984,27.0,1.0,0.3666177988052368,1633691780.2747545,1633691792.13293
1633691792.2712023,33.22789001464844,27.0,1.0,0.41812101006507874,1633691792.2712023,1633691803.045284
1633691803.3789148,34.84223175048828,27.0,1.0,0.3125,1633691803.3789148,1633691820.513294
1633691852.7184558,39.45068359375,62.0,1.0,0.3617872893810272,1633691852.7184558,1633691864.4292793
1633691864.752546,40.89751052856445,62.0,1.0,0.381246417760849,1633691864.752546,1633691875.3155358
1633691875.6434162,36.87657165527344,62.0,1.0,0.381246417760849,1633691875.6434162,1633691886.924291
1633691887.6925836,41.31221008300781,62.0,1.0,0.3666177988052368,1633691887.6925836,1633691898.875718
1633691899.13732,35.55967330932617,62.0,1.0,0.298009991645813,1633691899.13732,1633691916.6852882
1633691916.8911707,36.499778747558594,62.0,1.0,0.30178582668304443,1633691916.8911707,1633691933.959767
1633691934.2576368,39.594058990478516,62.0,1.0,0.359907865524292,1633691934.2576368,1633691946.1281044
1633691946.3660538,35.66920471191406,62.0,1.0,0.39968037605285645,1633691946.3660538,1633691956.8793242
1633691957.1460123,36.24569320678711,62.0,1.0,0.4035671651363373,1633691957.1460123,1633691967.2161744
1633691967.7091029,35.86996841430664,62.0,1.0,0.3074377179145813,1633691967.7091029,1633691984.1852815
1633691998.3665853,36.29528045654297,25.0,1.0,0.2828427255153656,1633691998.3665853,1633692017.6252868
1633692017.970144,33.94021987915039,25.0,1.0,0.3934447467327118,1633692017.970144,1633692029.4609358
1633692029.6174247,36.23542785644531,25.0,1.0,0.2835239768028259,1633692029.6174247,1633692048.5767713
1633692048.792752,36.412818908691406,25.0,1.0,0.2828427255153656,1633692048.792752,1633692067.9892893
1633692068.2793844,39.699951171875,25.0,0.8345588445663452,0.30316951870918274,1633692068.2793844,1633692083.9972885
1633692084.2590685,37.25225830078125,25.0,1.0,0.32141217589378357,1633692084.2590685,1633692099.3454027
1633692099.5310264,35.86465835571289,25.0,1.0,0.32108065485954285,1633692099.5310264,1633692115.145283
1633692115.3904128,39.81047058105469,25.0,1.0,0.32174474000930786,1633692115.3904128,1633692129.7082546
1633692130.230684,34.7540397644043,25.0,1.0,0.3181423842906952,1633692130.230684,1633692146.4014661
1633692173.4318504,40.78561782836914,75.0,1.0,0.3928371071815491,1633692173.4318504,1633692183.7541168
1633692184.3294287,40.66142272949219,75.0,1.0,0.3892494738101959,1633692184.3294287,1633692194.4372895
1633692195.0362668,39.036529541015625,75.0,1.0,0.37113481760025024,1633692195.0362668,1633692206.205292
1633692206.358639,39.291542053222656,75.0,1.0,0.37164705991744995,1633692206.358639,1633692217.9132886
1633692218.0812244,38.74901580810547,75.0,1.0,0.4035671651363373,1633692218.0812244,1633692228.249225
1633692228.7070632,37.699867248535156,75.0,1.0,0.35049980878829956,1633692228.7070632,1633692241.5453043
1633692242.11097,37.20088577270508,75.0,1.0,0.33040928840637207,1633692242.11097,1633692256.2772987
1633692256.3706067,36.37998962402344,75.0,1.0,0.2754496932029724,1633692256.3706067,1633692276.2441692
1633692276.4522254,35.6107063293457,75.0,1.0,0.3880752623081207,1633692276.4522254,1633692287.8532913
1633692288.420136,38.76341247558594,75.0,1.0,0.3886610269546509,1633692288.420136,1633692299.2292976
1633692311.2034447,36.298030853271484,59.0,1.0,0.38461539149284363,1633692311.2034447,1633692322.581472
1633692322.7224538,35.232017517089844,59.0,1.0,0.3009646236896515,1633692322.7224538,1633692340.518767
1633692340.782682,33.8111572265625,59.0,1.0,0.3009646236896515,1633692340.782682,1633692359.5338895
1633692359.9178789,40.65082550048828,59.0,1.0,0.3806934952735901,1633692359.9178789,1633692370.3481715
1633692370.8230684,37.652244567871094,59.0,1.0,0.3965258002281189,1633692370.8230684,1633692381.4997227
1633692381.9782743,37.20695114135742,59.0,1.0,0.31008684635162354,1633692381.9782743,1633692397.8892803
1633692398.0463932,39.08182144165039,59.0,1.0,0.352672815322876,1633692398.0463932,1633692410.200382
1633692410.4807186,41.255393981933594,59.0,1.0,0.33825504779815674,1633692410.4807186,1633692423.6668727
1633692424.3160825,40.55693817138672,59.0,1.0,0.31846487522125244,1633692424.3160825,1633692438.271771
1633692438.7530277,36.059505462646484,59.0,1.0,0.3137279152870178,1633692438.7530277,1633692454.8652844
1633692455.063688,34.29334259033203,59.0,1.0,0.3500700294971466,1633692455.063688,1633692469.3521755
1633692481.4576974,37.40884780883789,57.0,1.0,0.3928371071815491,1633692481.4576974,1633692492.2572813
1633692492.5229368,34.55366134643555,57.0,1.0,0.3656361997127533,1633692492.5229368,1633692505.1409917
1633692505.5573115,36.90966033935547,57.0,1.0,0.2737928330898285,1633692505.5573115,1633692525.8771954
1633692526.1993396,35.536537170410156,57.0,1.0,0.3307706117630005,1633692526.1993396,1633692541.2261279
1633692541.645844,39.46755599975586,57.0,1.0,0.331133097410202,1633692541.645844,1633692555.2012815
1633692555.6914644,37.6451301574707,57.0,1.0,0.3149704039096832,1633692555.6914644,1633692571.0985038
1633692571.4646108,37.08839797973633,57.0,1.0,0.3801429569721222,1633692571.4646108,1633692582.600169
1633692583.111562,40.15687942504883,57.0,1.0,0.38461539149284363,1633692583.111562,1633692593.4460304
1633692593.6995637,38.3930778503418,57.0,1.0,0.3406013548374176,1633692593.6995637,1633692606.8269296
1633692607.0333922,34.160274505615234,57.0,1.0,0.3691067397594452,1633692607.0333922,1633692619.9723978
1633692620.17258,32.797691345214844,57.0,1.0,0.41959068179130554,1633692620.17258,1633692630.752593
1633692641.4855456,34.49415588378906,47.0,1.0,0.34020692110061646,1633692641.4855456,1633692655.9227738
1633692656.1793106,33.406883239746094,47.0,1.0,0.4109974801540375,1633692656.1793106,1633692667.1052022
