,load,alloc,reward,sigma,event_start_time,event_end_time
1633733559.5646904,45.05198669433594,50.0,0.0,0.5,1633733559.5646904,1633733570.7517662
1633733570.9183931,48.690040588378906,50.0,0.13246753811836243,0.36037498712539673,1633733570.9183931,1633733580.9409766
1633733581.3025136,49.73447799682617,50.0,0.7931034564971924,0.33903175592422485,1633733581.3025136,1633733592.059639
1633733592.3450346,45.18091583251953,50.0,1.0,0.28843486309051514,1633733592.3450346,1633733607.9047015
1633733608.0725045,45.41099166870117,50.0,1.0,0.3608439266681671,1633733608.0725045,1633733618.2022107
1633733618.4989517,48.041561126708984,50.0,1.0,0.35805743932724,1633733618.4989517,1633733628.7609
1633733628.9590168,45.87928771972656,50.0,1.0,0.3143472969532013,1633733628.9590168,1633733641.7534614
1633733641.903269,46.53706741333008,50.0,1.0,0.3656361997127533,1633733641.903269,1633733652.1531625
1633733652.4420075,39.05971908569336,50.0,0.7464212775230408,0.31976473331451416,1633733652.4420075,1633733667.419074
1633733667.551347,42.776302337646484,50.0,0.6629213690757751,0.3352007567882538,1633733667.551347,1633733679.9647624
1633733680.0782373,39.25926208496094,50.0,0.7022132873535156,0.3171807527542114,1633733680.0782373,1633733694.4952176
1633733694.913576,37.10496520996094,50.0,0.9978355169296265,0.3289758563041687,1633733694.913576,1633733709.2243292
1633733709.4512558,40.259544372558594,50.0,1.0,0.3646624684333801,1633733709.4512558,1633733720.9516346
1633733721.1252396,41.570701599121094,50.0,0.9958246350288391,0.32308533787727356,1633733721.1252396,1633733734.6924875
1633733734.8853264,39.46332550048828,50.0,1.0,0.3656361997127533,1633733734.8853264,1633733746.7190986
1633733746.9625099,40.90427780151367,50.0,1.0,0.33748364448547363,1633733746.9625099,1633733759.8951426
1633733760.0864668,37.49530792236328,50.0,0.9950124621391296,0.35311228036880493,1633733760.0864668,1633733772.754719
1633733772.8934078,37.341278076171875,50.0,1.0,0.3774256706237793,1633733772.8934078,1633733784.489154
1633733784.6295173,42.31245040893555,50.0,1.0,0.36417850852012634,1633733784.6295173,1633733795.9500623
1633733796.2074769,42.17951965332031,50.0,0.8870967626571655,0.3666177988052368,1633733796.2074769,1633733807.1843681
1633733807.4668674,43.71559524536133,50.0,0.9160493612289429,0.3513641953468323,1633733807.4668674,1633733818.492681
1633733818.9404068,41.9906120300293,50.0,0.9974874258041382,0.3544405996799469,1633733818.9404068,1633733830.3239038
1633733830.617057,37.032508850097656,50.0,1.0,0.3910309374332428,1633733830.617057,1633733841.310365
1633733841.6344278,39.900047302246094,50.0,1.0,0.3386427164077759,1633733841.6344278,1633733854.81737
1633733855.1496358,42.92689514160156,50.0,0.589318573474884,0.30344855785369873,1633733855.1496358,1633733869.8956363
1633733870.1387236,35.42039108276367,50.0,0.9099525809288025,0.34421420097351074,1633733870.1387236,1633733883.8596337
1633733884.1470885,37.88414001464844,50.0,1.0,0.34421420097351074,1633733884.1470885,1633733897.7675638
1633733898.2197888,39.6779670715332,50.0,1.0,0.34462276101112366,1633733898.2197888,1633733910.871647
1633733911.2402701,44.710514068603516,50.0,0.9975062608718872,0.35311228036880493,1633733911.2402701,1633733922.1325629
1633733922.248676,41.020751953125,50.0,1.0,0.36369648575782776,1633733922.248676,1633733933.4381342
1633733933.6793437,44.52644729614258,50.0,1.0,0.35897907614707947,1633733933.6793437,1633733944.4369948
1633733944.6123712,40.6777458190918,50.0,0.7379912734031677,0.33040928840637207,1633733944.6123712,1633733958.1578612
1633733958.383056,38.02014923095703,50.0,1.0,0.40824830532073975,1633733958.383056,1633733968.693378
1633733968.9903305,40.869712829589844,50.0,0.9979122877120972,0.32308533787727356,1633733968.9903305,1633733982.4477282
1633733982.5928333,38.545310974121094,50.0,1.0,0.35223498940467834,1633733982.5928333,1633733995.1235404
1633733995.3056898,39.78639221191406,50.0,0.9963570237159729,0.30178582668304443,1633733995.3056898,1633734011.0145783
1633734011.2656443,37.46273422241211,50.0,1.0,0.37216147780418396,1633734011.2656443,1633734022.6636374
1633734022.8590488,38.190673828125,50.0,0.7832512259483337,0.35093119740486145,1633734022.8590488,1633734035.2966402
1633734035.6438866,38.504337310791016,50.0,1.0,0.34462276101112366,1633734035.6438866,1633734048.4476392
1633734048.5971417,40.08134460449219,50.0,1.0,0.352672815322876,1633734048.5971417,1633734060.6476362
1633734061.03196,40.03607940673828,50.0,0.9975550174713135,0.3496417999267578,1633734061.03196,1633734073.2209654
1633734073.3690546,35.912147521972656,50.0,1.0,0.36612600088119507,1633734073.3690546,1633734085.8996341
1633734086.1894944,35.5035514831543,50.0,0.685230016708374,0.3479444980621338,1633734086.1894944,1633734099.5966034
1633734099.6648073,42.46171569824219,50.0,0.642054557800293,0.2832963466644287,1633734099.6648073,1633734116.479955
1633734116.7280953,39.657127380371094,50.0,0.8934911489486694,0.31403714418411255,1633734116.7280953,1633734131.5047584
1633734131.8052123,39.853111267089844,50.0,1.0,0.3475240170955658,1633734131.8052123,1633734144.4767454
1633734144.6374946,41.99302673339844,50.0,0.8776699304580688,0.31158846616744995,1633734144.6374946,1633734159.1875298
1633734159.5004098,39.012847900390625,50.0,1.0,0.3325950503349304,1633734159.5004098,1633734173.3676364
1633734173.7332315,41.451087951660156,50.0,1.0,0.3608439266681671,1633734173.7332315,1633734185.023647
1633734185.4795778,39.53811264038086,50.0,1.0,0.35805743932724,1633734185.4795778,1633734197.4933028
1633734197.623661,36.502254486083984,50.0,1.0,0.4116934835910797,1633734197.623661,1633734208.0613725
1633734208.188134,37.913856506347656,50.0,0.7533512115478516,0.36612600088119507,1633734208.188134,1633734219.9516435
1633734220.22474,42.10606384277344,50.0,1.0,0.33786869049072266,1633734220.22474,1633734232.6220043
1633734232.869168,38.74949264526367,50.0,0.9977578520774841,0.3348247706890106,1633734232.869168,1633734246.5209599
1633734246.7305698,34.50652313232422,50.0,1.0,0.3886610269546509,1633734246.7305698,1633734258.2356412
1633734258.4613373,38.460750579833984,50.0,0.9979507923126221,0.32009220123291016,1633734258.4613373,1633734273.3076415
1633734273.5385919,45.54387664794922,50.0,1.0,0.33748364448547363,1633734273.5385919,1633734284.9561532
1633734285.1180823,37.461395263671875,50.0,1.0,0.32791292667388916,1633734285.1180823,1633734299.639698
1633734299.74978,35.300689697265625,50.0,0.7150127291679382,0.3566882014274597,1633734299.74978,1633734313.035639
1633734313.1962037,40.46015930175781,50.0,1.0,0.3553345203399658,1633734313.1962037,1633734325.1585882
1633734325.4484048,35.78668975830078,50.0,1.0,0.41739192605018616,1633734325.4484048,1633734335.6756704
1633734335.9105537,38.35947799682617,50.0,0.7043269276618958,0.3466876149177551,1633734335.9105537,1633734349.1276262
1633734349.3805056,44.86176300048828,50.0,0.9972752332687378,0.3691067397594452,1633734349.3805056,1633734359.968587
1633734360.1103952,38.63291931152344,50.0,1.0,0.39163023233413696,1633734360.1103952,1633734370.6713364
1633734370.8603106,38.821163177490234,50.0,1.0,0.3922322690486908,1633734370.8603106,1633734381.6276338
1633734381.8284695,37.57249069213867,50.0,1.0,0.4116934835910797,1633734381.8284695,1633734391.9156368
1633734392.0990016,40.3210334777832,50.0,1.0,0.3548867106437683,1633734392.0990016,1633734403.9538562
1633734404.103184,38.34523391723633,50.0,0.44200000166893005,0.3162277638912201,1633734404.103184,1633734419.463633
1633734419.563424,37.38208770751953,50.0,1.0,0.37319669127464294,1633734419.563424,1633734431.226764
1633734431.453195,41.183406829833984,50.0,0.9069767594337463,0.3409971594810486,1633734431.453195,1633734444.3953001
