,load,alloc,reward,sigma,event_start_time,event_end_time
1633733595.0526881,1.0,50.0,342.27838134765625,365.40081787109375,1633733595.0526881,1633733612.7517312
1633733613.5219216,1.0,50.0,568.66943359375,419.11456298828125,1633733613.5219216,1633733625.8507006
1633733627.619227,1.0,50.0,628.5192260742188,423.891845703125,1633733627.619227,1633733638.5130858
1633733639.0640407,1.0,50.0,518.0933227539062,473.6603698730469,1633733639.0640407,1633733654.0227354
1633733654.7106981,1.0,50.0,421.5211486816406,445.12213134765625,1633733654.7106981,1633733671.6730733
1633733672.2358456,1.0,50.0,708.0841064453125,445.3003845214844,1633733672.2358456,1633733682.4747422
1633733683.4535995,1.0,50.0,637.0974731445312,439.34381103515625,1633733683.4535995,1633733694.9118152
1633733696.159695,1.0,50.0,640.7176513671875,391.3301696777344,1633733696.159695,1633733706.4778125
1633733707.3752275,1.0,50.0,578.4072265625,453.5889587402344,1633733707.3752275,1633733720.1689816
1633733721.39433,1.0,50.0,443.00250244140625,334.5056457519531,1633733721.39433,1633733734.597416
1633733735.217661,1.0,50.0,437.81683349609375,457.9673156738281,1633733735.217661,1633733752.5765178
1633733753.4120305,1.0,50.0,487.89105224609375,414.3353271484375,1633733753.4120305,1633733767.4520504
1633733768.2889068,1.0,50.0,436.930908203125,427.7020568847656,1633733768.2889068,1633733784.1953113
1633733785.1162014,1.0,50.0,587.58642578125,480.2620849609375,1633733785.1162014,1633733798.4759388
1633733799.269546,1.0,50.0,645.7839965820312,428.1285705566406,1633733799.269546,1633733809.9542336
1633733811.3419933,1.0,50.0,405.55450439453125,443.9553527832031,1633733811.3419933,1633733829.7119038
1633733830.7005854,1.0,50.0,354.2366027832031,428.3446960449219,1633733830.7005854,1633733850.1790926
1633733851.6552916,1.0,50.0,531.637939453125,457.10809326171875,1633733851.6552916,1633733865.9507356
1633733867.362995,1.0,50.0,374.7769775390625,432.0979309082031,1633733867.362995,1633733886.1741824
1633733904.3330913,1.0,50.0,644.23046875,465.1291809082031,1633733904.3330913,1633733916.0524993
1633733917.1080527,1.0,50.0,333.0472412109375,413.02435302734375,1633733917.1080527,1633733937.2253182
1633733937.921273,1.0,50.0,449.7777404785156,460.03240966796875,1633733937.921273,1633733954.4850097
1633733984.913195,1.0,50.0,402.5246276855469,446.5328063964844,1633733984.913195,1633734003.297163
1633734005.0984614,1.0,50.0,648.9677124023438,416.7046813964844,1633734005.0984614,1633734015.7307317
1633734017.333318,1.0,50.0,509.0105285644531,426.06915283203125,1633734017.333318,1633734031.085489
1633734031.6062577,1.0,50.0,565.5891723632812,422.9328918457031,1633734031.6062577,1633734043.9827323
1633734045.1428275,1.0,50.0,522.4139404296875,454.4714660644531,1633734045.1428275,1633734059.1987317
1633734060.1340685,1.0,50.0,536.96728515625,439.4161376953125,1633734060.1340685,1633734073.6358218
1633734074.314826,1.0,50.0,557.6774291992188,456.81683349609375,1633734074.314826,1633734087.67201
1633734088.5726109,1.0,50.0,442.78826904296875,418.6285400390625,1633734088.5726109,1633734103.8169172
1633734104.2922046,1.0,50.0,496.1275939941406,444.9199523925781,1633734104.2922046,1633734119.1976445
1633734194.824211,1.0,50.0,635.3768920898438,439.7309265136719,1633734194.824211,1633734206.2347617
1633734208.218633,1.0,50.0,549.7398681640625,436.2293395996094,1633734208.218633,1633734221.4976406
