,load,alloc,reward,sigma,event_start_time,event_end_time
1633733609.7572842,47.64935302734375,50.0,1.0,0.2819419503211975,1633733609.7572842,1633733624.8676674
1633733625.5942628,44.5914421081543,50.0,1.0,0.2898855209350586,1633733625.5942628,1633733640.9335296
1633733641.1482008,43.90705490112305,50.0,1.0,0.2782074511051178,1633733641.1482008,1633733657.660354
1633733657.9435582,45.80052185058594,50.0,1.0,0.29437240958213806,1633733657.9435582,1633733672.5940464
1633733672.758003,42.53369903564453,50.0,1.0,0.2823912501335144,1633733672.758003,1633733689.3095846
1633733689.5464926,38.410728454589844,50.0,1.0,0.3971507251262665,1633733689.5464926,1633733699.804043
1633733700.3333387,40.58102035522461,50.0,1.0,0.2911112606525421,1633733700.3333387,1633733716.769593
1633733717.2773972,40.509796142578125,50.0,1.0,0.3539961576461792,1633733717.2773972,1633733728.953585
1633733729.1559954,35.94160461425781,50.0,1.0,0.34921514987945557,1633733729.1559954,1633733742.9839814
1633733743.2660506,35.70501708984375,50.0,1.0,0.3500700294971466,1633733743.2660506,1633733756.933597
1633733757.2605102,38.301902770996094,50.0,1.0,0.2682209014892578,1633733757.2605102,1633733777.2856245
1633733777.6879714,39.19467544555664,50.0,1.0,0.2982749938964844,1633733777.6879714,1633733793.9912062
1633733794.5428715,37.091819763183594,50.0,1.0,0.3012376129627228,1633733794.5428715,1633733811.3120677
1633733811.4567764,34.74372482299805,50.0,1.0,0.3268602192401886,1633733811.4567764,1633733826.9415867
1633733827.181903,42.08515167236328,50.0,1.0,0.29386353492736816,1633733827.181903,1633733842.7455862
1633733862.5145001,37.57021713256836,49.0,1.0,0.26261287927627563,1633733862.5145001,1633733883.807962
1633733884.0987847,39.30064010620117,49.0,1.0,0.2538365423679352,1633733884.0987847,1633733906.1340497
1633733906.58732,35.32064437866211,49.0,1.0,0.2646280527114868,1633733906.58732,1633733928.8689072
1633733929.148051,36.326358795166016,49.0,1.0,0.3857583701610565,1633733929.148051,1633733940.6548471
1633733941.3667457,40.07180404663086,49.0,1.0,0.3128056228160858,1633733941.3667457,1633733956.4895983
1633733957.0679204,41.64988708496094,49.0,1.0,0.3134195804595947,1633733957.0679204,1633733971.1375868
