,load,alloc,reward,sigma,event_start_time,event_end_time
1633733530.116422,47.59013748168945,1.0,0.0,0.5,1633733530.116422,1633733540.7068517
1633733540.8232882,47.79677200317383,1.0,0.022727273404598236,0.5,1633733540.8232882,1633733550.844885
1633733550.9638786,49.51145553588867,1.0,0.16233766078948975,0.5,1633733550.9638786,1633733561.3453145
1633733561.5289688,44.55823516845703,1.0,0.1975308656692505,0.5,1633733561.5289688,1633733574.4334292
1633733574.8428786,46.076133728027344,1.0,0.19875776767730713,0.5,1633733574.8428786,1633733588.5810103
1633733588.6932888,47.34577178955078,1.0,0.1975308656692505,0.5,1633733588.6932888,1633733601.3448937
1633733601.5096304,46.349945068359375,1.0,0.16129031777381897,0.5,1633733601.5096304,1633733615.1450293
1633733615.4175096,41.8362922668457,1.0,0.1975308656692505,0.5,1633733615.4175096,1633733628.2771573
1633733628.401544,41.76601791381836,1.0,0.1568627506494522,0.5,1633733628.401544,1633733640.6603136
1633733640.7531312,40.6676139831543,1.0,0.16447368264198303,0.5,1633733640.7531312,1633733653.908563
1633733653.9948623,39.367977142333984,1.0,0.16339869797229767,0.5,1633733653.9948623,1633733667.3051727
1633733667.3889077,35.57814025878906,1.0,0.1568627506494522,0.5,1633733667.3889077,1633733680.0090165
1633733680.1434965,39.92387390136719,1.0,0.1589404046535492,0.5,1633733680.1434965,1633733691.339805
1633733691.466885,41.561378479003906,1.0,0.16339869797229767,0.5,1633733691.466885,1633733704.5800204
1633733704.7083545,38.77351760864258,1.0,0.16447368264198303,0.5,1633733704.7083545,1633733717.087938
1633733717.2381728,40.69786071777344,1.0,0.1568627506494522,0.5,1633733717.2381728,1633733730.5803971
1633733730.873919,38.06997299194336,1.0,0.24375000596046448,0.5,1633733730.873919,1633733741.1970158
1633733741.300443,37.211002349853516,1.0,0.1568627506494522,0.5,1633733741.300443,1633733754.3879704
1633733754.5389068,42.275325775146484,1.0,0.1589404046535492,0.5,1633733754.5389068,1633733766.4844096
1633733766.6082096,42.286376953125,1.0,0.16339869797229767,0.5,1633733766.6082096,1633733779.0472038
1633733779.1593308,42.336090087890625,1.0,0.16339869797229767,0.5,1633733779.1593308,1633733791.6309595
1633733805.7101862,36.8953742980957,6.0,0.19718310236930847,0.5,1633733805.7101862,1633733815.9011652
1633733816.085654,40.558685302734375,6.0,0.5849056839942932,0.34340140223503113,1633733816.085654,1633733828.6600258
1633733828.7904692,41.973270416259766,6.0,0.9504950642585754,0.35179877281188965,1633733828.7904692,1633733840.4407406
1633733840.6484482,36.1431770324707,6.0,0.18355640769004822,0.30919620394706726,1633733840.6484482,1633733860.1265373
1633733860.7125392,39.1667366027832,6.0,1.0,0.363216370344162,1633733860.7125392,1633733872.8146448
1633733873.02685,39.45163345336914,6.0,0.6014150977134705,0.34340140223503113,1633733873.02685,1633733885.6752493
1633733886.0279007,43.51588439941406,6.0,0.19850187003612518,0.30599501729011536,1633733886.0279007,1633733902.642523
1633733902.9364378,41.929927825927734,6.0,0.13953489065170288,0.31128638982772827,1633733902.9364378,1633733921.4673538
1633733921.7820432,40.15361404418945,6.0,0.1654135286808014,0.3065696656703949,1633733921.7820432,1633733940.186365
1633733940.4798717,39.87578201293945,6.0,0.10669456422328949,0.3234231173992157,1633733940.4798717,1633733954.3730164
1633733954.6321359,40.906620025634766,6.0,0.06896551698446274,0.32826608419418335,1633733954.6321359,1633733971.1086864
1633733971.4831913,37.98555374145508,6.0,0.18574513494968414,0.32862040400505066,1633733971.4831913,1633733985.8307505
1633733986.1325467,38.83488082885742,6.0,0.31691649556159973,0.327210009098053,1633733986.1325467,1633734000.2435727
1633734000.426243,37.56081008911133,6.0,0.6313253045082092,0.3471050560474396,1633734000.426243,1633734013.5250025
1633734013.8194742,39.39381408691406,6.0,0.9951456189155579,0.34836649894714355,1633734013.8194742,1633734026.3087447
1633734026.4848168,39.351036071777344,6.0,0.21375465393066406,0.3048553764820099,1633734026.4848168,1633734042.037139
1633734042.3032744,36.297080993652344,6.0,0.7471910119056702,0.3747658431529999,1633734042.3032744,1633734054.0397558
1633734054.2612848,35.92536163330078,6.0,0.2032967060804367,0.302613765001297,1633734054.2612848,1633734071.6863005
1633734088.312042,40.43764877319336,45.0,0.5968254208564758,0.39840954542160034,1633734088.312042,1633734098.3274608
1633734098.5672438,38.917144775390625,45.0,0.9942693114280701,0.3785055875778198,1633734098.5672438,1633734109.513576
1633734109.6506493,40.92270278930664,45.0,0.4419354796409607,0.2839809060096741,1633734109.6506493,1633734126.9759955
1633734127.354433,39.72092056274414,45.0,0.9953595995903015,0.3406013548374176,1633734127.354433,1633734140.0933118
1633734140.3075023,41.03800582885742,45.0,0.9977678656578064,0.33407655358314514,1633734140.3075023,1633734153.3441978
1633734153.5705204,38.47959899902344,45.0,0.8532494902610779,0.3237619400024414,1633734153.5705204,1633734168.0976985
1633734168.281728,37.61682891845703,45.0,1.0,0.3337043225765228,1633734168.281728,1633734182.2382467
1633734182.4947584,39.46149444580078,45.0,0.9976798295974731,0.3406013548374176,1633734182.4947584,1633734195.7735252
1633734195.987134,38.80105972290039,45.0,0.9979757070541382,0.3181423842906952,1633734195.987134,1633734210.419729
1633734210.626157,37.98222351074219,45.0,1.0,0.36760732531547546,1633734210.626157,1633734222.2895083
1633734222.5599043,37.704036712646484,45.0,1.0,0.3289758563041687,1633734222.5599043,1633734236.9085011
1633734237.0591056,43.5440559387207,45.0,0.9979252815246582,0.32207831740379333,1633734237.0591056,1633734250.3330178
1633734250.5902622,37.5904541015625,45.0,1.0,0.3840476870536804,1633734250.5902622,1633734261.3376715
1633734261.4782238,37.076995849609375,45.0,0.9977777600288391,0.3333333432674408,1633734261.4782238,1633734275.2873251
1633734275.464761,37.6014289855957,45.0,0.9538106322288513,0.33981382846832275,1633734275.464761,1633734289.1344547
1633734289.3390124,38.536319732666016,45.0,1.0,0.37635496258735657,1633734289.3390124,1633734300.6530144
1633734300.827609,36.361106872558594,45.0,0.7871794700622559,0.35805743932724,1633734300.827609,1633734313.8360136
1633734314.1077623,40.95470428466797,45.0,1.0,0.3666177988052368,1633734314.1077623,1633734325.3396828
1633734325.6315415,42.65251159667969,45.0,0.6730310320854187,0.3454442620277405,1633734325.6315415,1633734337.3307357
1633734337.562904,39.344444274902344,45.0,0.7160493731498718,0.3207501471042633,1633734337.562904,1633734352.228253
1633734368.8176835,41.20701599121094,44.0,0.8688945770263672,0.3585173785686493,1633734368.8176835,1633734380.3448465
1633734380.7055044,37.82034683227539,44.0,1.0,0.37113481760025024,1633734380.7055044,1633734392.4187758
1633734392.6069703,38.57265853881836,44.0,0.6784968972206116,0.32308533787727356,1633734392.6069703,1633734407.1250257
1633734407.324091,39.917537689208984,44.0,1.0,0.34299716353416443,1633734407.324091,1633734420.0002236
1633734420.2598262,40.55340576171875,44.0,0.5278745889663696,0.29514065384864807,1633734420.2598262,1633734436.929203
1633734437.293933,39.79108810424805,44.0,1.0,0.31158846616744995,1633734437.293933,1633734452.0962427
1633734452.3837342,41.98289489746094,44.0,0.36703601479530334,0.2631579041481018,1633734452.3837342,1633734471.9393175
1633734472.211077,40.89811706542969,44.0,0.7145877480506897,0.32512804865837097,1633734472.211077,1633734486.1481495
1633734486.422196,39.53294372558594,44.0,1.0,0.29260286688804626,1633734486.422196,1633734503.1930194
1633734503.5289228,37.601165771484375,44.0,0.699999988079071,0.34921514987945557,1633734503.5289228,1633734516.5604334
1633734527.5542324,36.95079803466797,65.0,1.0,0.3737175464630127,1633734527.5542324,1633734539.4619584
1633734539.7101257,38.081932067871094,65.0,0.994535505771637,0.36961063742637634,1633734539.7101257,1633734551.579271
1633734551.8377044,38.95170974731445,65.0,1.0,0.3785055875778198,1633734551.8377044,1633734562.8256683
1633734563.1041625,37.33442687988281,65.0,1.0,0.3417929708957672,1633734563.1041625,1633734576.7644763
1633734576.9423938,36.61929702758789,65.0,0.9952152967453003,0.3458572328090668,1633734576.9423938,1633734590.4325488
1633734590.6197796,36.53452682495117,65.0,1.0,0.3801429569721222,1633734590.6197796,1633734602.2799823
1633734602.5335279,36.392478942871094,65.0,1.0,0.36810508370399475,1633734602.5335279,1633734614.8437643
1633734615.0423877,41.55083084106445,65.0,1.0,0.33903175592422485,1633734615.0423877,1633734627.4127777
1633734627.5531738,39.76813507080078,65.0,0.800000011920929,0.34503278136253357,1633734627.5531738,1633734640.3775115
1633734640.6984794,38.888099670410156,65.0,0.8681591749191284,0.352672815322876,1633734640.6984794,1633734653.633028
1633734653.8622413,38.585121154785156,65.0,0.9959677457809448,0.3175003230571747,1633734653.8622413,1633734668.5570247
1633734668.7417893,45.03683853149414,65.0,0.8410596251487732,0.28771767020225525,1633734668.7417893,1633734684.0403771
1633734684.2054129,40.074989318847656,65.0,0.651260495185852,0.32410186529159546,1633734684.2054129,1633734698.05445
1633734698.4438152,36.35652542114258,65.0,0.8876080513000488,0.3795948028564453,1633734698.4438152,1633734710.133601
1633734710.3507202,35.697998046875,65.0,0.8194444179534912,0.3726779818534851,1633734710.3507202,1633734722.5362775
1633734722.8664634,38.52041244506836,65.0,0.9932432174682617,0.3355780243873596,1633734722.8664634,1633734736.4696405
1633734736.703,37.140342712402344,65.0,0.6971962451934814,0.3057089149951935,1633734736.703,1633734753.0464144
1633734753.3180346,37.957969665527344,65.0,0.6345454454421997,0.30151134729385376,1633734753.3180346,1633734769.86265
1633734770.1872196,37.0294189453125,65.0,1.0,0.3500700294971466,1633734770.1872196,1633734782.9608474
1633734783.1447752,38.15293502807617,65.0,0.7312073111534119,0.33748364448547363,1633734783.1447752,1633734796.9576046
1633734812.6139245,37.59901428222656,74.0,0.6085106134414673,0.32616403698921204,1633734812.6139245,1633734827.4015458
1633734827.5751472,38.92760467529297,74.0,0.5762711763381958,0.30685821175575256,1633734827.5751472,1633734843.4764588
1633734843.6841435,40.23155212402344,74.0,0.8780487775802612,0.33296358585357666,1633734843.6841435,1633734856.833027
1633734857.0251818,38.27635955810547,74.0,1.0,0.3686048984527588,1633734857.0251818,1633734868.7034085
1633734868.912671,35.595726013183594,74.0,0.8757225275039673,0.3801429569721222,1633734868.912671,1633734880.7680266
1633734880.9144557,35.78377151489258,74.0,1.0,0.3965258002281189,1633734880.9144557,1633734892.064762
1633734892.2181702,37.3437614440918,74.0,0.9980657696723938,0.3109852075576782,1633734892.2181702,1633734907.7763245
1633734908.0345805,35.282073974609375,74.0,1.0,0.37319669127464294,1633734908.0345805,1633734920.4488165
1633734920.6549535,35.43478012084961,74.0,0.698630154132843,0.33786869049072266,1633734920.6549535,1633734934.9064884
1633734935.1199667,37.82167434692383,74.0,1.0,0.37319669127464294,1633734935.1199667,1633734946.5419886
1633734946.665256,37.37150573730469,74.0,0.7397959232330322,0.3571428656578064,1633734946.665256,1633734959.1346488
1633734959.3104765,37.88955307006836,74.0,1.0,0.41812101006507874,1633734959.3104765,1633734969.4451964
1633734969.8406765,38.60115432739258,74.0,1.0,0.3363364040851593,1633734969.8406765,1633734983.7003655
1633734983.9821415,36.22692108154297,74.0,0.47069597244262695,0.302613765001297,1633734983.9821415,1633735001.7037683
1633735001.8391767,39.54975891113281,74.0,0.756465494632721,0.32826608419418335,1633735001.8391767,1633735015.6951404
1633735015.8691864,37.722557067871094,74.0,1.0,0.35179877281188965,1633735015.8691864,1633735028.5406497
1633735028.6130216,39.79074478149414,74.0,1.0,0.331133097410202,1633735028.6130216,1633735041.8573077
1633735042.009935,36.4495735168457,74.0,0.513711154460907,0.30233702063560486,1633735042.009935,1633735059.3489587
1633735059.5596967,39.91067886352539,74.0,1.0,0.3880752623081207,1633735059.5596967,1633735070.2836432
1633735084.6929488,38.580955505371094,76.0,0.9975786805152893,0.3479444980621338,1633735084.6929488,1633735097.3675957
1633735097.579193,37.54166793823242,76.0,1.0,0.3747658431529999,1633735097.579193,1633735109.4593258
1633735109.6470203,37.00956344604492,76.0,1.0,0.35759925842285156,1633735109.6470203,1633735122.1302805
1633735122.2982485,35.93811798095703,76.0,0.7487437129020691,0.3544405996799469,1633735122.2982485,1633735135.0423777
1633735135.213299,38.602989196777344,76.0,1.0,0.3840476870536804,1633735135.213299,1633735146.2746189
1633735146.6145136,40.67703628540039,76.0,1.0,0.30949223041534424,1633735146.6145136,1633735161.7090247
1633735162.0841186,37.68528366088867,76.0,1.0,0.3737175464630127,1633735162.0841186,1633735173.3351948
1633735173.4827492,39.23280334472656,76.0,0.998275876045227,0.2936100959777832,1633735173.4827492,1633735190.3818727
1633735190.6420095,40.3508415222168,76.0,1.0,0.37113481760025024,1633735190.6420095,1633735201.6454978
1633735201.780053,38.70075607299805,76.0,0.4886956512928009,0.2948839068412781,1633735201.780053,1633735218.989019
1633735238.2068105,37.44270706176758,73.0,0.9979879260063171,0.3171807527542114,1633735238.2068105,1633735253.617021
1633735253.8009448,36.70596694946289,73.0,1.0,0.3818017840385437,1633735253.8009448,1633735265.7063663
1633735265.9932163,37.25978088378906,73.0,0.7335092425346375,0.363216370344162,1633735265.9932163,1633735278.392645
1633735278.5682693,40.15303421020508,73.0,0.8842105269432068,0.36273813247680664,1633735278.5682693,1633735290.0244396
1633735290.2454247,39.6944465637207,73.0,1.0,0.35805743932724,1633735290.2454247,1633735302.262219
1633735302.5325694,39.458580017089844,73.0,1.0,0.3806934952735901,1633735302.5325694,1633735313.3793864
1633735313.6742208,36.993927001953125,73.0,1.0,0.31654447317123413,1633735313.6742208,1633735328.865903
1633735329.120897,41.34020233154297,73.0,1.0,0.37164705991744995,1633735329.120897,1633735340.3690276
1633735340.6485174,45.01029968261719,73.0,1.0,0.32969024777412415,1633735340.6485174,1633735352.9345944
1633735353.1565073,40.267269134521484,73.0,0.6351931095123291,0.3275609016418457,1633735353.1565073,1633735366.566903
1633735366.6830752,36.38217544555664,73.0,1.0,0.3910309374332428,1633735366.6830752,1633735378.0073018
1633735378.281307,40.06060791015625,73.0,1.0,0.3417929708957672,1633735378.281307,1633735390.7623959
1633735390.9681718,39.36088943481445,73.0,0.7670329809188843,0.3314967751502991,1633735390.9681718,1633735404.4587202
1633735404.6413748,43.12865447998047,73.0,1.0,0.37113481760025024,1633735404.6413748,1633735414.7970362
1633735415.0492654,42.286651611328125,73.0,1.0,0.3359565734863281,1633735415.0492654,1633735427.5354748
1633735427.7227645,43.763458251953125,73.0,1.0,0.35223498940467834,1633735427.7227645,1633735438.9650207
1633735439.1999302,40.46718978881836,73.0,0.9972066879272461,0.3737175464630127,1633735439.1999302,1633735450.3694727
1633735450.6145198,42.667781829833984,73.0,1.0,0.34503278136253357,1633735450.6145198,1633735462.7079537
1633735462.9212914,43.116764068603516,73.0,1.0,0.34340140223503113,1633735462.9212914,1633735475.0047588
1633735475.260024,41.97208023071289,73.0,1.0,0.3137279152870178,1633735475.260024,1633735489.4837656
1633735489.69683,40.333892822265625,73.0,0.4447999894618988,0.2828427255153656,1633735489.69683,1633735507.2750993
1633735525.4729707,39.58934020996094,74.0,0.4886363744735718,0.2849014401435852,1633735525.4729707,1633735543.205016
1633735543.386466,40.45217514038086,74.0,1.0,0.3617872893810272,1633735543.386466,1633735554.584875
1633735554.7873955,40.792823791503906,74.0,0.7408257126808167,0.3386427164077759,1633735554.7873955,1633735567.7308483
1633735567.9467869,40.49688720703125,74.0,1.0,0.34380707144737244,1633735567.9467869,1633735580.5403478
1633735580.75961,40.86732482910156,74.0,0.75,0.3417929708957672,1633735580.75961,1633735593.3858337
1633735593.612045,39.27860641479492,74.0,1.0,0.3355780243873596,1633735593.612045,1633735607.0290182
1633735607.1556754,39.39305877685547,74.0,0.7682619690895081,0.3548867106437683,1633735607.1556754,1633735618.9090152
1633735619.122119,37.8663330078125,74.0,1.0,0.3818017840385437,1633735619.122119,1633735630.4514437
1633735630.7529275,38.49815368652344,74.0,1.0,0.3829197883605957,1633735630.7529275,1633735641.5586405
1633735641.6355817,42.26470184326172,74.0,0.7278226017951965,0.3175003230571747,1633735641.6355817,1633735655.4295986
1633735655.7318702,37.41850662231445,74.0,0.975683867931366,0.38984057307243347,1633735655.7318702,1633735666.6890156
1633735666.9719472,38.76103210449219,74.0,0.7400468587875366,0.34219294786453247,1633735666.9719472,1633735679.923099
1633735680.0901787,41.82148742675781,74.0,0.9680851101875305,0.3646624684333801,1633735680.0901787,1633735691.0893095
1633735691.2128532,37.79042053222656,74.0,1.0,0.37011659145355225,1633735691.2128532,1633735702.7501688
1633735702.9950092,42.03690719604492,74.0,1.0,0.376889169216156,1633735702.9950092,1633735713.2479045
1633735713.4255908,41.2574577331543,74.0,1.0,0.3352007567882538,1633735713.4255908,1633735726.3929436
1633735726.6060393,42.29225158691406,74.0,0.9090909361839294,0.3656361997127533,1633735726.6060393,1633735737.7191858
1633735737.9047506,39.3664665222168,74.0,0.8701754212379456,0.29617443680763245,1633735737.9047506,1633735754.4162657
1633735754.6607394,39.847900390625,74.0,1.0,0.37216147780418396,1633735754.6607394,1633735765.8031085
1633735766.009135,40.2914924621582,74.0,1.0,0.3840476870536804,1633735766.009135,1633735776.0857036
1633735776.452689,38.57838439941406,74.0,0.9978813529014587,0.32547226548194885,1633735776.452689,1633735790.6056929
1633735802.8373885,37.37076187133789,79.0,0.9942196607589722,0.3801429569721222,1633735802.8373885,1633735814.8788874
1633735815.1627996,39.76245880126953,79.0,0.7774999737739563,0.3535533845424652,1633735815.1627996,1633735827.1338906
1633735827.289695,39.829036712646484,79.0,1.0,0.36612600088119507,1633735827.289695,1633735838.6884136
1633735839.0027564,38.042701721191406,79.0,1.0,0.34299716353416443,1633735839.0027564,1633735852.43503
1633735852.5604928,35.87564468383789,79.0,1.0,0.3417929708957672,1633735852.5604928,1633735866.386028
1633735866.5138543,36.20112228393555,79.0,0.9982206225395203,0.2982749938964844,1633735866.5138543,1633735883.8337598
1633735883.979539,35.87691116333008,79.0,1.0,0.3622617721557617,1633735883.979539,1633735896.689663
1633735896.841606,42.25422286987305,79.0,1.0,0.3322277367115021,1633735896.841606,1633735910.0000536
1633735910.2459543,35.30849838256836,79.0,1.0,0.39405521750450134,1633735910.2459543,1633735921.3197758
1633735921.3960655,35.96964645385742,79.0,1.0,0.36131468415260315,1633735921.3960655,1633735934.129023
1633735934.4189825,40.47372817993164,79.0,1.0,0.3737175464630127,1633735934.4189825,1633735945.3890615
1633735957.7944684,42.162593841552734,76.0,1.0,0.31943827867507935,1633735957.7944684,1633735971.6693263
1633735972.0310192,40.48255157470703,76.0,0.997560977935791,0.34921514987945557,1633735972.0310192,1633735983.8879797
1633735984.145681,41.61542892456055,76.0,1.0,0.3409971594810486,1633735984.145681,1633735996.6170175
1633735996.7918034,39.208614349365234,76.0,0.6334661245346069,0.31559720635414124,1633735996.7918034,1633736011.8650212
1633736012.0438259,41.116695404052734,76.0,1.0,0.31128638982772827,1633736012.0438259,1633736027.0012538
1633736027.2874947,42.69058609008789,76.0,1.0,0.31311213970184326,1633736027.2874947,1633736041.3421156
1633736041.6675003,40.350337982177734,76.0,0.6277666091918945,0.3171807527542114,1633736041.6675003,1633736056.0168223
1633736056.2724245,38.641387939453125,76.0,0.9722222089767456,0.3553345203399658,1633736056.2724245,1633736068.357912
1633736068.497834,39.11421585083008,76.0,1.0,0.32581761479377747,1633736068.497834,1633736082.4313865
1633736082.6788204,38.698516845703125,76.0,0.6646341681480408,0.3187883496284485,1633736082.6788204,1633736097.2530227
1633736097.4013352,40.53266143798828,76.0,1.0,0.35049980878829956,1633736097.4013352,1633736109.3423226
1633736109.623497,40.615562438964844,76.0,0.6179159283638,0.30233702063560486,1633736109.623497,1633736125.2086558
1633736125.313446,37.741878509521484,76.0,1.0,0.36760732531547546,1633736125.313446,1633736137.3425236
1633736137.4925797,39.33146667480469,76.0,0.7291196584701538,0.3359565734863281,1633736137.4925797,1633736150.9677958
1633736151.2049358,43.74613952636719,76.0,0.6406844258308411,0.3083132207393646,1633736151.2049358,1633736165.3090372
1633736165.454988,44.93778991699219,76.0,0.9075000286102295,0.3535533845424652,1633736165.454988,1633736176.5369747
1633736176.678794,44.60890579223633,76.0,1.0,0.28724250197410583,1633736176.678794,1633736192.5276465
1633736192.7598958,42.45794677734375,76.0,1.0,0.33786869049072266,1633736192.7598958,1633736205.007309
1633736205.4005601,43.31644821166992,76.0,1.0,0.27885568141937256,1633736205.4005601,1633736222.7842572
1633736223.0106602,44.53968811035156,76.0,1.0,0.33903175592422485,1633736223.0106602,1633736235.0448709
1633736248.5058975,48.17082214355469,90.0,0.5488165616989136,0.2719641327857971,1633736248.5058975,1633736264.6775126
1633736264.8330965,44.978515625,90.0,0.9965694546699524,0.2928537130355835,1633736264.8330965,1633736279.6846318
1633736279.9101117,45.23856735229492,90.0,0.827886700630188,0.33004918694496155,1633736279.9101117,1633736292.0236692
1633736292.1361368,44.904747009277344,90.0,0.9978678226470947,0.32651156187057495,1633736292.1361368,1633736304.384285
1633736304.5988069,45.34047317504883,90.0,1.0,0.30802056193351746,1633736304.5988069,1633736318.229013
1633736318.4456084,43.7093505859375,90.0,0.9979079365730286,0.3234231173992157,1633736318.4456084,1633736331.3490257
1633736331.584571,45.17591094970703,90.0,0.6969273686408997,0.2642582058906555,1633736331.584571,1633736349.6472952
1633736349.8983595,43.25602340698242,90.0,0.8149779438972473,0.3318616449832916,1633736349.8983595,1633736362.6364703
1633736362.8761837,46.64643478393555,90.0,0.6071428656578064,0.26726123690605164,1633736362.8761837,1633736380.0050378
1633736380.209892,47.86223220825195,90.0,1.0,0.32207831740379333,1633736380.209892,1633736392.4951532
1633736392.7768638,43.99648666381836,90.0,1.0,0.34020692110061646,1633736392.7768638,1633736404.232324
1633736404.3592153,45.635162353515625,90.0,1.0,0.3307706117630005,1633736404.3592153,1633736416.4113252
1633736416.5937665,44.88007736206055,90.0,0.6478873491287231,0.29669541120529175,1633736416.5937665,1633736431.2104976
