,load,alloc,reward,sigma,event_start_time,event_end_time
1650179170.5636096,46.960357666015625,50.0,1.0,0.33981382846832275,1650179170.5636096,1650179181.8071353
1650179181.973138,45.925968170166016,50.0,1.0,0.3037283718585968,1650179181.973138,1650179195.6255453
1650179196.0616572,44.160743713378906,50.0,1.0,0.32547226548194885,1650179196.0616572,1650179208.9464045
1650179209.0617876,43.42758560180664,50.0,1.0,0.2851329743862152,1650179209.0617876,1650179225.6641388
1650179226.1049395,44.216678619384766,50.0,1.0,0.2754496932029724,1650179226.1049395,1650179242.976401
1650179243.1283047,42.347389221191406,50.0,1.0,0.3479444980621338,1650179243.1283047,1650179254.4867377
1650179254.6764746,38.796688079833984,50.0,1.0,0.26669037342071533,1650179254.6764746,1650179274.8843842
1650179298.275919,34.40522003173828,18.0,1.0,0.376889169216156,1650179298.275919,1650179310.919349
1650179311.126861,38.1065788269043,18.0,0.9981583952903748,0.30344855785369873,1650179311.126861,1650179327.3182907
1650179327.9817884,38.871299743652344,18.0,0.852522611618042,0.2543286383152008,1650179327.9817884,1650179349.8230956
1650179349.9523003,38.299495697021484,18.0,1.0,0.37904903292655945,1650179349.9523003,1650179360.8923917
1650179361.0896206,34.624385833740234,18.0,1.0,0.29086485505104065,1650179361.0896206,1650179379.920279
