,load,alloc,reward,sigma,event_start_time,event_end_time
1633730420.9303014,34.833621978759766,50.0,0.0,0.5,1633730420.9303014,1633730435.427789
1633730435.6236262,48.42500686645508,50.0,0.5629820227622986,0.3585173785686493,1633730435.6236262,1633730445.680414
1633730445.9487133,50.0018310546875,50.0,0.9976798295974731,0.3406013548374176,1633730445.9487133,1633730456.5883236
1633730456.918639,45.04020309448242,50.0,0.757777750492096,0.3333333432674408,1633730456.918639,1633730469.1521544
1633730469.4172275,46.84686279296875,50.0,0.7329059839248657,0.3268602192401886,1633730469.4172275,1633730481.264339
1633730481.580133,45.89817810058594,50.0,1.0,0.363216370344162,1633730481.580133,1633730491.9727025
1633730492.3248084,49.105655670166016,50.0,0.9977477192878723,0.3355780243873596,1633730492.3248084,1633730503.097498
1633730503.363543,44.94031524658203,50.0,1.0,0.3162277638912201,1633730503.363543,1633730516.6923327
1633730516.9230661,38.31695556640625,50.0,0.9972899556159973,0.36810508370399475,1633730516.9230661,1633730528.4323308
1633730528.7169845,44.7215576171875,50.0,0.9700000286102295,0.3535533845424652,1633730528.7169845,1633730539.7183905
1633730540.107526,41.78512191772461,50.0,0.7209302186965942,0.3409971594810486,1633730540.107526,1633730552.4803507
1633730564.4278681,37.305545806884766,33.0,0.9949367046356201,0.35578402876853943,1633730564.4278681,1633730577.3481991
1633730577.558962,40.04902267456055,33.0,0.6507276296615601,0.3224129378795624,1633730577.558962,1633730591.6417031
1633730591.9408607,40.30116653442383,33.0,0.6713948249816895,0.34380707144737244,1633730591.9408607,1633730604.496329
1633730604.806107,40.307464599609375,33.0,0.9972752332687378,0.3691067397594452,1633730604.806107,1633730615.7221994
1633730615.9052227,40.383506774902344,33.0,0.9952718615531921,0.34380707144737244,1633730615.9052227,1633730628.1379392
1633730628.4406023,37.2755012512207,33.0,0.7524510025978088,0.3500700294971466,1633730628.4406023,1633730641.3445194
1633730641.5236554,39.2021369934082,33.0,0.9942528605461121,0.30949223041534424,1633730641.5236554,1633730657.2881026
1633730657.6436627,44.44489669799805,33.0,1.0,0.34219294786453247,1633730657.6436627,1633730669.006047
1633730669.2823927,43.54236602783203,33.0,1.0,0.32042068243026733,1633730669.2823927,1633730682.2123291
1633730682.3296394,40.285335540771484,33.0,0.9961904883384705,0.30860671401023865,1633730682.3296394,1633730697.3723335
1633730697.8787963,37.68631362915039,33.0,1.0,0.40555354952812195,1633730697.8787963,1633730708.015102
1633730708.2120733,40.56284713745117,33.0,0.9977477192878723,0.3355780243873596,1633730708.2120733,1633730721.5247488
1633730733.2722125,37.15659713745117,12.0,0.7827160358428955,0.3513641953468323,1633730733.2722125,1633730746.2443373
1633730746.3648112,35.65409469604492,12.0,1.0,0.3487900495529175,1633730746.3648112,1633730759.6311693
1633730759.9931242,40.498130798339844,12.0,1.0,0.3691067397594452,1633730759.9931242,1633730771.0800552
1633730771.2404141,42.10151672363281,12.0,1.0,0.33981382846832275,1633730771.2404141,1633730783.9952993
1633730784.227197,41.981170654296875,12.0,0.8448687195777893,0.3454442620277405,1633730784.227197,1633730796.2563996
1633730796.5117202,43.48405838012695,12.0,1.0,0.37635496258735657,1633730796.5117202,1633730806.952328
1633730807.181029,41.051300048828125,12.0,0.6621253490447998,0.3691067397594452,1633730807.181029,1633730818.5083194
1633730818.8308265,38.68302917480469,12.0,0.6519607901573181,0.3500700294971466,1633730818.8308265,1633730831.2393682
1633730831.4331133,42.20826721191406,12.0,0.9900398254394531,0.31559720635414124,1633730831.4331133,1633730845.3403416
1633730845.6408832,38.27424621582031,12.0,0.7356608510017395,0.35311228036880493,1633730845.6408832,1633730858.2603354
1633730858.4371026,40.73563003540039,12.0,1.0,0.3224129378795624,1633730858.4371026,1633730872.1351843
1633730888.316017,37.65407180786133,15.0,0.8100436925888062,0.33040928840637207,1633730888.316017,1633730902.4977498
