,load,alloc,reward,sigma,event_start_time,event_end_time
1649713584.3672237,49.644439697265625,50.0,0.18453864753246307,0.35311228036880493,1649713584.3672237,1649713594.6402774
1649713594.9805028,43.85272979736328,50.0,0.9875621795654297,0.352672815322876,1649713594.9805028,1649713606.222676
1649713606.453082,48.28437423706055,50.0,1.0,0.3234231173992157,1649713606.453082,1649713618.2995646
1649713618.5206118,43.96877670288086,50.0,1.0,0.3806934952735901,1649713618.5206118,1649713628.6186864
1649713628.882633,49.44320297241211,50.0,1.0,0.3109852075576782,1649713628.882633,1649713641.0986702
1649713641.3773127,44.760799407958984,50.0,1.0,0.31943827867507935,1649713641.3773127,1649713654.3797617
1649713654.6518567,38.729942321777344,50.0,0.9599999785423279,0.3651483654975891,1649713654.6518567,1649713666.3740537
1649713666.6537712,43.95643615722656,50.0,0.9976415038108826,0.34340140223503113,1649713666.6537712,1649713678.2106678
1649713678.3427558,41.413822174072266,50.0,0.6446601748466492,0.31158846616744995,1649713678.3427558,1649713692.9996974
1649713693.1483147,36.35652160644531,50.0,1.0,0.37635496258735657,1649713693.1483147,1649713704.6455646
