,load,alloc,reward,sigma,event_start_time,event_end_time
1633733443.1435857,47.590450286865234,1.0,0.0,0.5,1633733443.1435857,1633733453.712933
1633733453.8688707,47.94211196899414,1.0,0.022900763899087906,0.5,1633733453.8688707,1633733463.9018035
1633733464.0101628,49.78990173339844,1.0,0.18421052396297455,0.5,1633733464.0101628,1633733474.152782
1633733474.3442726,44.73689651489258,1.0,0.1568627506494522,0.5,1633733474.3442726,1633733487.4207273
1633733487.5480144,45.31108093261719,1.0,0.16339869797229767,0.5,1633733487.5480144,1633733501.1208527
1633733501.2869344,47.289154052734375,1.0,0.20000000298023224,0.5,1633733501.2869344,1633733515.1378908
1633733515.2927938,45.42496871948242,1.0,0.16447368264198303,0.5,1633733515.2927938,1633733528.8756316
1633733528.9806855,41.665771484375,1.0,0.1589404046535492,0.5,1633733528.9806855,1633733542.180969
1633733542.321101,41.666847229003906,1.0,0.2012578547000885,0.5,1633733542.321101,1633733555.4970434
1633733555.70383,40.994361877441406,1.0,0.19620253145694733,0.5,1633733555.70383,1633733568.0469904
1633733568.1829817,39.51182556152344,1.0,0.16233766078948975,0.5,1633733568.1829817,1633733581.6726139
1633733581.9516354,36.812408447265625,1.0,0.20253165066242218,0.5,1633733581.9516354,1633733596.1316361
1633733596.32528,40.371803283691406,1.0,0.2594936788082123,0.5,1633733596.32528,1633733606.4561126
1633733606.60564,39.9884147644043,1.0,0.16233766078948975,0.5,1633733606.60564,1633733620.0845437
1633733620.2539816,39.83014678955078,1.0,0.20000000298023224,0.5,1633733620.2539816,1633733633.3345253
1633733633.4892337,39.91040802001953,1.0,0.19875776767730713,0.5,1633733633.4892337,1633733647.144819
1633733647.247469,36.92558288574219,1.0,0.15789473056793213,0.5,1633733647.247469,1633733660.2195046
1633733660.394009,37.93043899536133,1.0,0.16339869797229767,0.5,1633733660.394009,1633733673.1014807
1633733673.2181044,46.20957565307617,1.0,0.18300653994083405,0.5,1633733673.2181044,1633733683.4973588
1633733683.6380236,42.8264045715332,1.0,0.16339869797229767,0.5,1633733683.6380236,1633733696.2704175
1633733696.4195938,40.36582946777344,1.0,0.1589404046535492,0.5,1633733696.4195938,1633733709.5247376
1633733720.5828133,38.231441497802734,2.0,0.1302083283662796,0.5,1633733720.5828133,1633733730.600746
1633733730.7617903,41.031654357910156,2.0,0.15714286267757416,0.48795002698898315,1633733730.7617903,1633733743.55679
1633733743.756115,40.55867385864258,2.0,0.2065727710723877,0.48450157046318054,1633733743.756115,1633733758.7467427
1633733758.859206,35.221805572509766,2.0,0.17619048058986664,0.48795002698898315,1633733758.859206,1633733773.7647457
1633733773.9102876,38.4390754699707,2.0,0.15454545617103577,0.4767313003540039,1633733773.9102876,1633733787.776386
1633733788.205256,42.08487319946289,2.0,0.20642201602458954,0.4789131283760071,1633733788.205256,1633733802.604729
1633733802.7098575,41.655670166015625,2.0,0.14358974993228912,0.5,1633733802.7098575,1633733815.1931517
1633733815.344066,43.74737548828125,2.0,0.18691588938236237,0.48336824774742126,1633733815.344066,1633733827.1162002
1633733827.2259572,39.99245071411133,2.0,0.16972477734088898,0.4789131283760071,1633733827.2259572,1633733843.1039534
1633733843.2195575,39.684783935546875,2.0,0.15121951699256897,0.4938648045063019,1633733843.2195575,1633733857.9607239
1633733858.1134346,37.9821662902832,2.0,0.1428571492433548,0.4962916672229767,1633733858.1134346,1633733871.8567271
1633733872.0403192,41.19764709472656,2.0,0.15668202936649323,0.480015367269516,1633733872.0403192,1633733886.4586184
1633733886.6402118,37.37894821166992,2.0,0.1690140813589096,0.48450157046318054,1633733886.6402118,1633733901.0868464
1633733901.283329,38.87248611450195,2.0,0.2028985470533371,0.4914731979370117,1633733901.283329,1633733913.7600198
1633733913.954655,37.26924514770508,2.0,0.15306122601032257,0.5,1633733913.954655,1633733929.3024309
1633733929.4470284,39.58527755737305,2.0,0.155251145362854,0.47781848907470703,1633733929.4470284,1633733941.926416
1633733942.1533394,39.12519073486328,2.0,0.13333334028720856,0.48795002698898315,1633733942.1533394,1633733954.3449738
1633733954.5187926,36.23642349243164,2.0,0.12745098769664764,0.49507376551628113,1633733954.5187926,1633733969.0621698
1633733969.177579,35.53575134277344,2.0,0.14070351421833038,0.5,1633733969.177579,1633733984.3172622
1633733997.9854403,39.923770904541016,5.0,0.09689922630786896,0.4402254521846771,1633733997.9854403,1633734008.7309184
1633734008.90238,39.5999870300293,5.0,0.3687002658843994,0.36417850852012634,1633734008.90238,1633734020.7458181
1633734020.8636525,40.234169006347656,5.0,0.13953489065170288,0.3409971594810486,1633734020.8636525,1633734040.5732677
1633734041.0586014,39.61347198486328,5.0,0.19955654442310333,0.33296358585357666,1633734041.0586014,1633734058.3759427
1633734058.5094602,40.03233337402344,5.0,0.14416475594043732,0.33825504779815674,1633734058.5094602,1633734076.0452862
1633734076.3140206,38.03411102294922,5.0,0.11138014495372772,0.3479444980621338,1633734076.3140206,1633734094.8763058
1633734095.0978706,39.763065338134766,5.0,0.07017543911933899,0.3539961576461792,1633734095.0978706,1633734113.9847436
1633734114.3412094,38.266326904296875,5.0,0.16894976794719696,0.33786869049072266,1633734114.3412094,1633734131.980739
1633734132.138581,36.193153381347656,5.0,0.139860138297081,0.3413943648338318,1633734132.138581,1633734151.3687375
1633734151.6355479,42.72027587890625,5.0,0.16107381880283356,0.33445003628730774,1633734151.6355479,1633734170.338611
1633734170.5651855,37.28944778442383,5.0,0.11380144953727722,0.3479444980621338,1633734170.5651855,1633734190.8121994
1633734191.0763092,38.053924560546875,5.0,0.0972568541765213,0.35311228036880493,1633734191.0763092,1633734210.0231075
1633734210.3434904,36.41777801513672,5.0,0.18847006559371948,0.33296358585357666,1633734210.3434904,1633734227.9447842
1633734228.1740353,42.76669692993164,5.0,0.09976246953010559,0.34462276101112366,1633734228.1740353,1633734244.4951468
1633734244.8455057,38.25846862792969,5.0,0.13824884593486786,0.3394221067428589,1633734244.8455057,1633734262.8807278
1633734281.7577055,40.9967155456543,13.0,0.5220417380332947,0.3406013548374176,1633734281.7577055,1633734294.3196871
1633734294.53775,36.68124008178711,13.0,0.5568181872367859,0.33709993958473206,1633734294.53775,1633734308.9047663
1633734309.2553103,39.70489501953125,13.0,1.0,0.3406013548374176,1633734309.2553103,1633734322.0497024
1633734322.2738473,39.51237106323242,13.0,0.5301724076271057,0.2680281400680542,1633734322.2738473,1633734342.065117
1633734342.314428,41.13515090942383,13.0,1.0,0.34462276101112366,1633734342.314428,1633734354.2263815
1633734354.3186095,40.50117874145508,13.0,1.0,0.3275609016418457,1633734354.3186095,1633734368.1947494
1633734368.4220228,40.77531814575195,13.0,0.2081736922264099,0.2526993453502655,1633734368.4220228,1633734389.6848862
1633734389.9244733,39.88871765136719,13.0,0.3805147111415863,0.30316951870918274,1633734389.9244733,1633734405.6432033
1633734405.8226142,38.82880783081055,13.0,0.5472837090492249,0.3171807527542114,1633734405.8226142,1633734420.3736658
1633734441.9036868,36.66014862060547,12.0,0.42607003450393677,0.31189143657684326,1633734441.9036868,1633734458.0247345
1633734458.269874,38.16566467285156,12.0,0.9020978808403015,0.3413943648338318,1633734458.269874,1633734471.3968568
1633734471.665659,38.27001953125,12.0,1.0,0.352672815322876,1633734471.665659,1633734484.338764
1633734484.501561,36.887977600097656,12.0,0.18129496276378632,0.2682209014892578,1633734484.501561,1633734505.7550979
1633734505.955077,36.747257232666016,12.0,0.0809578076004982,0.23877298831939697,1633734505.955077,1633734532.787012
1633734533.1734338,39.40254592895508,12.0,0.40466102957725525,0.32547226548194885,1633734533.1734338,1633734547.1065435
1633734547.3204892,39.852569580078125,12.0,0.5215123891830444,0.2553214728832245,1633734547.3204892,1633734568.5236387
1633734568.843519,39.087337493896484,12.0,1.0,0.3479444980621338,1633734568.843519,1633734581.3027966
1633734600.0507724,39.72026062011719,17.0,0.6685288548469543,0.30513909459114075,1633734600.0507724,1633734615.4585261
1633734616.1244311,36.64720916748047,17.0,1.0,0.32478490471839905,1633734616.1244311,1633734631.2415442
1633734631.4902232,37.41933059692383,17.0,1.0,0.29854071140289307,1633734631.4902232,1633734648.5135107
1633734648.7544801,37.40324020385742,17.0,0.7474452257156372,0.2701716125011444,1633734648.7544801,1633734669.2607257
1633734669.410421,37.930419921875,17.0,1.0,0.31846487522125244,1633734669.410421,1633734684.7279425
1633734684.8464057,36.365257263183594,17.0,1.0,0.36273813247680664,1633734684.8464057,1633734697.495842
1633734697.7435355,37.57469177246094,17.0,1.0,0.4003203809261322,1633734697.7435355,1633734707.8567257
1633734708.1308346,42.32905197143555,17.0,0.34183672070503235,0.2916059195995331,1633734708.1308346,1633734724.4789445
1633734724.7985137,37.83311462402344,17.0,0.6542635560035706,0.278423011302948,1633734724.7985137,1633734743.9351888
1633734760.1570437,41.03630828857422,22.0,0.9969879388809204,0.3880752623081207,1633734760.1570437,1633734770.3918822
1633734770.683791,36.52338790893555,22.0,0.6746987700462341,0.29335731267929077,1633734770.683791,1633734788.4532268
1633734788.6607418,36.33177947998047,22.0,0.8508654832839966,0.25802692770957947,1633734788.6607418,1633734811.2580373
1633734811.5198963,35.3902473449707,22.0,1.0,0.3487900495529175,1633734811.5198963,1633734824.7438784
1633734824.9472935,35.53773880004883,22.0,1.0,0.37011659145355225,1633734824.9472935,1633734837.2159414
1633734837.436363,36.46525192260742,22.0,1.0,0.3513641953468323,1633734837.436363,1633734850.5447326
1633734850.7620728,37.9448356628418,22.0,0.8537604212760925,0.2638899087905884,1633734850.7620728,1633734871.6344776
1633734871.8025432,37.220985412597656,22.0,0.8869814276695251,0.2674523591995239,1633734871.8025432,1633734892.7047305
1633734909.1379778,39.78931427001953,21.0,0.436950147151947,0.27076518535614014,1633734909.1379778,1633734928.389378
1633734928.651597,38.560184478759766,21.0,1.0,0.3892494738101959,1633734928.651597,1633734939.1287258
1633734939.2904637,40.349491119384766,21.0,1.0,0.3928371071815491,1633734939.2904637,1633734949.6995168
1633734950.0282664,37.390804290771484,21.0,0.9670658707618713,0.38691163063049316,1633734950.0282664,1633734960.8063173
1633734961.0722935,37.56204605102539,21.0,0.645788311958313,0.32862040400505066,1633734961.0722935,1633734975.6881106
1633734975.8931124,39.21314239501953,21.0,0.45729538798332214,0.2982749938964844,1633734975.8931124,1633734992.4181848
1633734992.6413448,37.959228515625,21.0,0.6279809474945068,0.2819419503211975,1633734992.6413448,1633735011.1348715
1633735011.3090007,37.082889556884766,21.0,1.0,0.28700578212738037,1633735011.3090007,1633735029.9698987
1633735030.2642643,37.011253356933594,21.0,0.21419976651668549,0.24529261887073517,1633735030.2642643,1633735054.797343
1633735071.0135121,38.08207321166992,24.0,0.5339622497558594,0.3071475625038147,1633735071.0135121,1633735086.7426975
1633735086.9534936,39.10179138183594,24.0,0.43082311749458313,0.29591497778892517,1633735086.9534936,1633735103.6534958
1633735104.045589,41.24483108520508,24.0,1.0,0.3910309374332428,1633735104.045589,1633735114.1559467
1633735114.4055376,38.50362014770508,24.0,0.4318181872367859,0.2752409279346466,1633735114.4055376,1633735133.4167366
1633735133.6209834,38.83102798461914,24.0,1.0,0.31465837359428406,1633735133.6209834,1633735148.4287298
1633735148.6100686,37.528663635253906,24.0,0.8475452065467834,0.3594425916671753,1633735148.6100686,1633735160.8407204
1633735160.959822,37.436676025390625,24.0,1.0,0.3928371071815491,1633735160.959822,1633735171.77809
1633735171.966776,36.29323959350586,24.0,0.6520787477493286,0.3307706117630005,1633735171.966776,1633735186.570046
1633735198.5306115,40.03734588623047,53.0,0.7179487347602844,0.3774256706237793,1633735198.5306115,1633735209.1207242
1633735209.3466296,41.31275177001953,53.0,1.0,0.37319669127464294,1633735209.3466296,1633735220.1907394
1633735220.3455894,37.65018844604492,53.0,0.9973614811897278,0.363216370344162,1633735220.3455894,1633735232.430522
1633735232.6143656,37.67045211791992,53.0,0.7714285850524902,0.30860671401023865,1633735232.6143656,1633735248.5685143
1633735248.9693818,43.65203094482422,53.0,0.7982359528541565,0.23479095101356506,1633735248.9693818,1633735271.6487384
1633735271.8598213,37.133758544921875,53.0,0.6619216799736023,0.2982749938964844,1633735271.8598213,1633735288.744726
1633735289.0106812,40.229164123535156,53.0,1.0,0.37424060702323914,1633735289.0106812,1633735299.8983052
1633735300.0313694,39.750362396240234,53.0,1.0,0.3874921202659607,1633735300.0313694,1633735310.6476245
1633735310.7956567,41.5008544921875,53.0,1.0,0.35223498940467834,1633735310.7956567,1633735322.6508348
1633735322.9536908,42.4710693359375,53.0,1.0,0.3553345203399658,1633735322.9536908,1633735334.443865
1633735334.6869617,43.03192138671875,53.0,1.0,0.34219294786453247,1633735334.6869617,1633735346.8407297
1633735362.9658804,42.22861862182617,48.0,1.0,0.3829197883605957,1633735362.9658804,1633735373.1248677
1633735373.3540034,43.40275192260742,48.0,0.7442307472229004,0.31008684635162354,1633735373.3540034,1633735387.5927324
1633735387.858723,41.69984817504883,48.0,0.5681818127632141,0.30772873759269714,1633735387.858723,1633735402.5350354
1633735402.734384,40.8095703125,48.0,0.34948980808258057,0.25253814458847046,1633735402.734384,1633735424.3469605
1633735424.4593306,39.95932388305664,48.0,0.7609195113182068,0.33903175592422485,1633735424.4593306,1633735437.3974876
1633735437.546988,40.24789047241211,48.0,1.0,0.31158846616744995,1633735437.546988,1633735452.4546013
1633735452.6007366,41.88365173339844,48.0,0.8433734774589539,0.3471050560474396,1633735452.6007366,1633735464.323688
1633735464.4514565,39.19387435913086,48.0,0.6110154986381531,0.29335731267929077,1633735464.4514565,1633735481.3673651
1633735481.5640152,40.47696304321289,48.0,1.0,0.3553345203399658,1633735481.5640152,1633735493.4967287
1633735493.7563024,40.36139678955078,48.0,0.591796875,0.3125,1633735493.7563024,1633735508.4237828
1633735520.8499944,38.995880126953125,35.0,0.45765766501426697,0.3001501262187958,1633735520.8499944,1633735537.2363412
1633735537.4113073,37.57920837402344,35.0,1.0,0.3244428336620331,1633735537.4113073,1633735552.0470603
1633735552.2653115,41.43560028076172,35.0,0.6182108521461487,0.2826167047023773,1633735552.2653115,1633735569.4727368
1633735569.6471727,37.72833251953125,35.0,1.0,0.3496417999267578,1633735569.6471727,1633735582.7407808
1633735582.8871176,38.806640625,35.0,0.7204545736312866,0.33709993958473206,1633735582.8871176,1633735596.467267
1633735596.615613,39.9572868347168,35.0,1.0,0.3886610269546509,1633735596.615613,1633735606.676356
1633735606.7782915,39.85142135620117,35.0,1.0,0.29643458127975464,1633735606.7782915,1633735623.289622
1633735623.7978067,42.04856491088867,35.0,1.0,0.26726123690605164,1633735623.7978067,1633735642.6807349
1633735642.937509,41.502079010009766,35.0,1.0,0.36961063742637634,1633735642.937509,1633735653.8526247
1633735682.7245004,37.98809814453125,53.0,0.574837327003479,0.32933247089385986,1633735682.7245004,1633735697.1237478
1633735697.2750862,39.318363189697266,53.0,0.6519114971160889,0.3171807527542114,1633735697.2750862,1633735711.9247296
1633735712.1150336,37.59124755859375,53.0,1.0,0.36369648575782776,1633735712.1150336,1633735724.0593033
1633735724.254609,41.84259796142578,53.0,0.8219512104988098,0.34921514987945557,1633735724.254609,1633735736.1085575
1633735736.6783056,39.62881851196289,53.0,0.9955654144287109,0.33296358585357666,1633735736.6783056,1633735750.0524108
1633735750.2151258,38.35441589355469,53.0,1.0,0.3785055875778198,1633735750.2151258,1633735761.4263515
1633735761.6300032,36.662200927734375,53.0,1.0,0.40555354952812195,1633735761.6300032,1633735772.2676623
1633735772.5834923,36.29439926147461,53.0,1.0,0.4009634554386139,1633735772.5834923,1633735783.163637
1633735783.443221,38.26245880126953,53.0,1.0,0.40961596369743347,1633735783.443221,1633735793.5314384
1633735793.8032115,36.16473388671875,53.0,1.0,0.39405521750450134,1633735793.8032115,1633735804.974315
1633735805.310527,41.01431655883789,53.0,1.0,0.3747658431529999,1633735805.310527,1633735816.2335422
1633735833.7637606,36.016143798828125,49.0,1.0,0.376889169216156,1633735833.7637606,1633735845.4807289
1633735845.644837,39.26311111450195,49.0,1.0,0.4016096591949463,1633735845.644837,1633735855.8579855
1633735855.9710956,39.81260681152344,49.0,0.9983922839164734,0.2835239768028259,1633735855.9710956,1633735873.804643
1633735874.1866145,42.96223831176758,49.0,1.0,0.3706246614456177,1633735874.1866145,1633735884.9402444
1633735885.0975363,39.31510543823242,49.0,0.7877237796783447,0.35759925842285156,1633735885.0975363,1633735896.6706965
1633735896.9245467,42.040687561035156,49.0,0.8123456835746765,0.3513641953468323,1633735896.9245467,1633735908.7702136
1633735909.021021,38.8179817199707,49.0,1.0,0.3752933144569397,1633735909.021021,1633735920.639348
1633735920.9327767,42.09977722167969,49.0,0.996370255947113,0.3012376129627228,1633735920.9327767,1633735935.9447322
1633735936.2276495,41.486576080322266,49.0,0.99858158826828,0.2663118243217468,1633735936.2276495,1633735955.3181627
1633735955.6060414,40.44569396972656,49.0,1.0,0.2891574800014496,1633735955.6060414,1633735972.319811
1633735972.513923,38.9081916809082,49.0,0.9346048831939697,0.3691067397594452,1633735972.513923,1633735984.3366265
1633736005.592674,41.48854446411133,41.0,1.0,0.3566882014274597,1633736005.592674,1633736017.4031634
1633736017.607056,40.11012268066406,41.0,0.6886597871780396,0.32108065485954285,1633736017.607056,1633736031.892726
1633736032.1872694,40.786720275878906,41.0,1.0,0.3829197883605957,1633736032.1872694,1633736042.484739
1633736043.002655,37.87816619873047,41.0,1.0,0.29880714416503906,1633736043.002655,1633736059.8989315
1633736060.2439191,44.05476379394531,41.0,1.0,0.30513909459114075,1633736060.2439191,1633736074.5670013
1633736074.780669,44.558982849121094,41.0,0.893034815788269,0.24937734007835388,1633736074.780669,1633736094.7766368
1633736094.9709766,42.75236129760742,41.0,0.2804878056049347,0.23544080555438995,1633736094.9709766,1633736117.753344
1633736117.9457755,41.90248489379883,41.0,0.6396039724349976,0.31465837359428406,1633736117.9457755,1633736132.264736
1633736151.3848872,47.766014099121094,45.0,0.8015872836112976,0.3149704039096832,1633736151.3848872,1633736163.9670546
1633736164.1765203,49.23198318481445,45.0,0.665517270565033,0.2936100959777832,1633736164.1765203,1633736177.9480557
1633736178.1707225,45.047306060791016,45.0,0.543379008769989,0.27586862444877625,1633736178.1707225,1633736194.9530795
1633736195.1514914,46.37336730957031,45.0,0.998251736164093,0.2956562042236328,1633736195.1514914,1633736209.8797722
1633736210.2133842,43.11063003540039,45.0,1.0,0.32651156187057495,1633736210.2133842,1633736223.4583771
1633736223.740969,45.87968826293945,45.0,1.0,0.3686048984527588,1633736223.740969,1633736233.7671926
1633736233.9594219,44.33232498168945,45.0,1.0,0.32791292667388916,1633736233.9594219,1633736246.5687315
1633736246.8154268,45.33552169799805,45.0,1.0,0.327210009098053,1633736246.8154268,1633736258.9692514
1633736259.118893,43.59031677246094,45.0,1.0,0.2357022613286972,1633736259.118893,1633736281.8991826
1633736282.0583107,47.616207122802734,45.0,0.899782121181488,0.33004918694496155,1633736282.0583107,1633736293.5249944
1633736293.6494489,47.324764251708984,45.0,1.0,0.3622617721557617,1633736293.6494489,1633736304.0456975
1633736318.3446338,45.71184539794922,43.0,1.0,0.34503278136253357,1633736318.3446338,1633736329.6327367
1633736329.8685617,44.68199920654297,43.0,0.4887096881866455,0.2839809060096741,1633736329.8685617,1633736345.557206
1633736345.7935948,43.84451675415039,43.0,1.0,0.29335731267929077,1633736345.7935948,1633736360.9152117
1633736361.081228,44.03718948364258,43.0,1.0,0.37635496258735657,1633736361.081228,1633736371.2544472
1633736371.7674618,44.40242385864258,43.0,1.0,0.2526993453502655,1633736371.7674618,1633736391.0456886
1633736391.1972477,42.5462760925293,43.0,0.40336135029792786,0.2646280527114868,1633736391.1972477,1633736409.882785
1633736410.1055212,43.378902435302734,43.0,0.5682967901229858,0.29037395119667053,1633736410.1055212,1633736426.1271348
1633736450.5170245,47.835697174072266,40.0,1.0,0.29386353492736816,1633736450.5170245,1633736464.6487303
1633736464.9045398,40.15245819091797,40.0,0.6048879623413086,0.3191128373146057,1633736464.9045398,1633736478.7517624
1633736478.8939688,42.11547088623047,40.0,1.0,0.2865341305732727,1633736478.8939688,1633736495.3487294
1633736495.7588065,45.760581970214844,40.0,1.0,0.30513909459114075,1633736495.7588065,1633736509.6790843
1633736509.979078,43.081729888916016,40.0,0.6296296119689941,0.33004918694496155,1633736509.979078,1633736522.7687218
1633736522.911975,42.24465560913086,40.0,0.5357142686843872,0.2849014401435852,1633736522.911975,1633736539.2927446
1633736539.5027833,43.19066619873047,40.0,1.0,0.24875929951667786,1633736539.5027833,1633736560.294313
1633736560.5349202,43.83130645751953,40.0,0.4692005217075348,0.25598984956741333,1633736560.5349202,1633736580.0415254
1633736600.9971976,44.454681396484375,57.0,0.9033392071723938,0.29643458127975464,1633736600.9971976,1633736616.0687265
1633736616.229654,40.40167236328125,57.0,0.7511627674102783,0.3409971594810486,1633736616.229654,1633736629.3231711
1633736629.5065439,42.47032928466797,57.0,0.6618704795837402,0.34627169370651245,1633736629.5065439,1633736641.2559235
1633736641.474056,42.7764892578125,57.0,1.0,0.2998800575733185,1633736641.474056,1633736656.6225643
1633736656.855496,42.60797119140625,57.0,1.0,0.3544405996799469,1633736656.855496,1633736667.9801753
1633736668.076656,38.93816375732422,57.0,1.0,0.37216147780418396,1633736668.076656,1633736679.5050323
1633736679.7878325,44.249725341796875,57.0,0.9983713626861572,0.2853650748729706,1633736679.7878325,1633736695.9009275
1633736696.1266544,40.56325912475586,57.0,1.0,0.3857583701610565,1633736696.1266544,1633736706.6041162
1633736706.8776257,41.64460372924805,57.0,1.0,0.32207831740379333,1633736706.8776257,1633736720.3007333
1633736720.421129,39.77909851074219,57.0,0.9983108043670654,0.2906191051006317,1633736720.421129,1633736737.3144224
1633736753.7907872,42.83658218383789,53.0,1.0,0.37796446681022644,1633736753.7907872,1633736764.3191714
1633736764.6062133,42.2209587097168,53.0,1.0,0.32616403698921204,1633736764.6062133,1633736778.0829327
1633736778.3929753,43.710025787353516,53.0,0.7828054428100586,0.3363364040851593,1633736778.3929753,1633736790.6098516
1633736790.8044994,42.20967483520508,53.0,0.4335664212703705,0.26444295048713684,1633736790.8044994,1633736810.3260896
1633736810.6601145,44.89180374145508,53.0,0.9987775087356567,0.24723409116268158,1633736810.6601145,1633736831.0647304
1633736831.3794694,41.83824157714844,53.0,0.9147869944572449,0.3539961576461792,1633736831.3794694,1633736842.9239314
1633736843.0897598,40.565345764160156,53.0,0.8500000238418579,0.33709993958473206,1633736843.0897598,1633736856.031841
1633736856.19307,43.2800407409668,53.0,0.892727255821228,0.30151134729385376,1633736856.19307,1633736870.9573815
1633736871.1426094,42.15401840209961,53.0,0.7902912497520447,0.31158846616744995,1633736871.1426094,1633736885.3524053
1633736885.581243,41.919185638427734,53.0,0.5049999952316284,0.28867512941360474,1633736885.581243,1633736901.6836555
1633736913.0591552,39.05610275268555,43.0,0.5159235596656799,0.28216633200645447,1633736913.0591552,1633736931.2381318
1633736931.361124,40.06875228881836,43.0,1.0,0.36417850852012634,1633736931.361124,1633736942.5918202
1633736942.8719585,40.86526107788086,43.0,1.0,0.2618913948535919,1633736942.8719585,1633736962.6687248
1633736962.8826876,41.88771438598633,43.0,0.8046594858169556,0.29934215545654297,1633736962.8826876,1633736978.018391
1633736978.150476,36.10578918457031,43.0,1.0,0.26537245512008667,1633736978.150476,1633736999.698266
1633736999.8118682,41.322509765625,43.0,1.0,0.3706246614456177,1633736999.8118682,1633737010.7260168
1633737011.0469499,40.64616012573242,43.0,0.9272237420082092,0.36711156368255615,1633737011.0469499,1633737022.3395293
1633737022.557736,38.581424713134766,43.0,0.6387225389480591,0.31591200828552246,1633737022.557736,1633737037.5131195
1633737037.7243712,47.01396942138672,43.0,0.7823639512062073,0.3062819540500641,1633737037.7243712,1633737051.3160765
1633737051.635503,49.24142837524414,43.0,1.0,0.30400896072387695,1633737051.635503,1633737064.551457
1633737079.4112108,53.56452178955078,44.0,0.7977315783500671,0.3074377179145813,1633737079.4112108,1633737091.7888062
1633737092.0191863,48.91411209106445,44.0,1.0,0.34340140223503113,1633737092.0191863,1633737102.588733
1633737102.8200405,48.54536819458008,44.0,0.7171717286109924,0.31782087683677673,1633737102.8200405,1633737115.1796126
1633737115.6112645,50.66783905029297,44.0,1.0,0.33671751618385315,1633737115.6112645,1633737126.66364
1633737127.021306,47.20069885253906,44.0,1.0,0.2752409279346466,1633737127.021306,1633737143.1227632
1633737143.3503604,43.409202575683594,44.0,0.2789415717124939,0.23479095101356506,1633737143.3503604,1633737166.1796212
1633737166.3147264,44.14780807495117,44.0,1.0,0.26669037342071533,1633737166.3147264,1633737184.2997644
1633737184.5186505,44.696510314941406,44.0,0.6485568881034851,0.29135826230049133,1633737184.5186505,1633737199.8666048
1633737200.148611,40.202171325683594,44.0,1.0,0.38461539149284363,1633737200.148611,1633737210.5211854
1633737210.7121294,44.816162109375,44.0,1.0,0.31654447317123413,1633737210.7121294,1633737223.7431428
1633737238.3512652,41.022247314453125,43.0,0.2759462893009186,0.24708311259746552,1633737238.3512652,1633737260.0955648
1633737260.2853284,41.183441162109375,43.0,1.0,0.33040928840637207,1633737260.2853284,1633737273.0574517
1633737273.1946301,41.80427551269531,43.0,0.8801020383834839,0.3571428656578064,1633737273.1946301,1633737284.6049461
1633737284.8364577,39.134521484375,43.0,0.4764227569103241,0.2851329743862152,1633737284.8364577,1633737302.5701613
1633737302.784585,41.01341247558594,43.0,1.0,0.25189635157585144,1633737302.784585,1633737324.3385103
1633737324.59899,38.884429931640625,43.0,0.5596491098403931,0.29617443680763245,1633737324.59899,1633737341.315193
1633737341.4505048,43.015384674072266,43.0,1.0,0.3458572328090668,1633737341.4505048,1633737353.213738
1633737353.3544471,43.416648864746094,43.0,1.0,0.34020692110061646,1633737353.3544471,1633737365.653876
1633737365.9123795,42.35762023925781,43.0,0.4871794879436493,0.29235267639160156,1633737365.9123795,1633737381.9189446
