,load,alloc,reward,sigma,event_start_time,event_end_time
1650178661.3991187,46.72380447387695,65.0,1.0,0.3571428656578064,1650178661.3991187,1650178671.8006692
1650178672.0809975,47.695926666259766,65.0,1.0,0.3594425916671753,1650178672.0809975,1650178682.165716
1650178682.3970845,41.79521942138672,65.0,1.0,0.3834824860095978,1650178682.3970845,1650178692.5657113
1650178692.8459704,45.777462005615234,65.0,1.0,0.30685821175575256,1650178692.8459704,1650178706.4115984
1650178706.7524934,44.51594924926758,65.0,1.0,0.32616403698921204,1650178706.7524934,1650178719.71414
1650178720.15621,44.51985168457031,65.0,1.0,0.34627169370651245,1650178720.15621,1650178731.4770021
1650178731.9542122,45.13417434692383,65.0,1.0,0.37011659145355225,1650178731.9542122,1650178742.101734
1650178742.5772762,37.05636215209961,65.0,1.0,0.39840954542160034,1650178742.5772762,1650178753.1287704
1650178753.3576605,41.869407653808594,65.0,1.0,0.36417850852012634,1650178753.3576605,1650178764.4636216
1650178791.153642,35.90121078491211,99.0,1.0,0.3928371071815491,1650178791.153642,1650178802.601724
1650178802.8183289,38.23863983154297,99.0,1.0,0.3795948028564453,1650178802.8183289,1650178814.141954
1650178814.4170947,38.15210723876953,99.0,1.0,0.302613765001297,1650178814.4170947,1650178830.9823658
1650178831.3837297,39.123069763183594,99.0,1.0,0.3646624684333801,1650178831.3837297,1650178843.2181797
1650178843.6288722,37.894554138183594,99.0,1.0,0.34219294786453247,1650178843.6288722,1650178856.981715
1650178857.329635,35.40846633911133,99.0,1.0,0.3840476870536804,1650178857.329635,1650178869.0217543
