,load,alloc,reward,sigma,event_start_time,event_end_time
1633691235.6564875,1.0,54.0,213.29092407226562,249.25204467773438,1633691235.6564875,1633691256.8622649
1633691258.607701,1.0,54.0,173.9013671875,386.19854736328125,1633691258.607701,1633691296.42224
1633691298.4425545,1.0,54.0,137.96083068847656,426.6583251953125,1633691298.4425545,1633691350.428326
1633691384.582229,1.0,3.0,21.964031219482422,49.39020919799805,1633691384.582229,1633691428.4266412
1633691428.706264,1.0,3.0,101.44649505615234,54.21331787109375,1633691428.706264,1633691439.08612
1633691439.4845173,1.0,3.0,92.69744110107422,56.9207649230957,1633691439.4845173,1633691451.3942308
1633691451.6881013,1.0,3.0,46.09071350097656,54.20048904418945,1633691451.6881013,1633691474.5343523
1633691474.9353387,1.0,3.0,46.76220703125,56.756351470947266,1633691474.9353387,1633691498.5441468
1633691556.2172282,1.0,50.0,421.7897033691406,378.978759765625,1633691556.2172282,1633691571.5424004
1633691574.061785,1.0,50.0,271.153076171875,463.3482971191406,1633691574.061785,1633691602.0902321
1633691604.8647583,1.0,50.0,173.3365020751953,448.970458984375,1633691604.8647583,1633691647.8447404
1633691650.42707,1.0,50.0,206.1377716064453,457.9419250488281,1633691650.42707,1633691687.0530593
1633691688.7075493,1.0,50.0,265.50677490234375,480.7763977050781,1633691688.7075493,1633691717.897011
1633691719.6020327,1.0,50.0,190.98521423339844,443.791015625,1633691719.6020327,1633691758.6102872
1633691760.7718318,1.0,50.0,248.82667541503906,462.2623596191406,1633691760.7718318,1633691791.1142368
1633691792.0539865,1.0,50.0,129.3333282470703,470.13446044921875,1633691792.0539865,1633691851.5900695
1633691853.154351,1.0,50.0,150.79150390625,469.8866271972656,1633691853.154351,1633691904.218236
1633691906.7012074,1.0,50.0,272.8200988769531,450.3918762207031,1633691906.7012074,1633691934.0085795
1633691935.7122607,1.0,50.0,191.82130432128906,450.8777770996094,1633691935.7122607,1633691974.5504916
1633691976.5696454,1.0,50.0,243.78884887695312,468.6981201171875,1633691976.5696454,1633692007.539069
1633692008.0249186,1.0,50.0,119.97529602050781,447.9276123046875,1633692008.0249186,1633692069.2875302
1633692071.058836,1.0,50.0,186.19935607910156,457.2283935546875,1633692071.058836,1633692111.3382432
1633692113.5244734,1.0,50.0,164.33815002441406,441.7530517578125,1633692113.5244734,1633692157.9450762
1633692159.5306783,1.0,50.0,178.2486114501953,454.89984130859375,1633692159.5306783,1633692201.326234
1633692202.7460892,1.0,50.0,261.03997802734375,448.905517578125,1633692202.7460892,1633692231.0942385
1633692232.8363569,1.0,50.0,196.26771545410156,434.571044921875,1633692232.8363569,1633692269.5209446
1633692272.0425534,1.0,50.0,180.4576873779297,451.5661315917969,1633692272.0425534,1633692313.3264685
1633692315.757638,1.0,50.0,129.6664581298828,448.6732177734375,1633692315.757638,1633692371.2847216
1633692372.77032,1.0,50.0,170.89552307128906,438.99432373046875,1633692372.77032,1633692414.9013247
1633692415.7710457,1.0,50.0,250.60902404785156,461.9736328125,1633692415.7710457,1633692445.8976536
1633692447.7675233,1.0,50.0,234.47813415527344,453.00244140625,1633692447.7675233,1633692479.5402088
1633692523.10152,1.0,50.0,291.304443359375,449.7666015625,1633692523.10152,1633692548.5044968
1633692549.4193861,1.0,50.0,203.5070343017578,444.1706848144531,1633692549.4193861,1633692585.2903824
1633692587.694123,1.0,50.0,242.79840087890625,466.2783508300781,1633692587.694123,1633692619.2017448
1633692621.762471,1.0,50.0,245.5713653564453,462.2557678222656,1633692621.762471,1633692652.5070984
1633692654.5325446,1.0,50.0,216.85958862304688,464.8165283203125,1633692654.5325446,1633692689.578262
1633692722.6925764,1.0,50.0,189.22291564941406,459.4768371582031,1633692722.6925764,1633692762.3283687
1633692763.6131458,1.0,50.0,172.27389526367188,452.5285339355469,1633692763.6131458,1633692806.8582344
1633692809.2865205,1.0,50.0,231.1317596435547,456.7539978027344,1633692809.2865205,1633692841.9518707
1633692844.4746335,1.0,50.0,233.61508178710938,455.1376647949219,1633692844.4746335,1633692876.1506703
1633692878.001516,1.0,50.0,289.2252197265625,447.1336669921875,1633692878.001516,1633692903.4142368
1633692905.5585113,1.0,50.0,196.36456298828125,442.1431579589844,1633692905.5585113,1633692942.7342625
1633692945.0379515,1.0,50.0,200.096435546875,448.1337585449219,1633692945.0379515,1633692981.770239
1633692983.7940812,1.0,50.0,195.91525268554688,440.9229431152344,1633692983.7940812,1633693021.0550902
