,load,alloc,reward,sigma,event_start_time,event_end_time
1650251705.5412097,47.658538818359375,1.0,0.0,0.5,1650251705.5412097,1650251716.0954573
1650251716.2332292,47.851322174072266,1.0,0.02255639061331749,0.5,1650251716.2332292,1650251726.2851977
1650251726.4186225,49.35221862792969,1.0,0.1975308656692505,0.5,1650251726.4186225,1650251738.0493054
1650251738.161496,43.589813232421875,1.0,0.16339869797229767,0.5,1650251738.161496,1650251749.1503017
1650251749.2801447,47.581787109375,1.0,0.19374999403953552,0.5,1650251749.2801447,1650251760.671058
1650251760.8288035,44.365360260009766,1.0,0.20000000298023224,0.5,1650251760.8288035,1650251772.9553819
1650251773.075951,48.00749206542969,1.0,0.16339869797229767,0.5,1650251773.075951,1650251784.8449478
1650251784.9531543,44.100154876708984,1.0,0.16233766078948975,0.5,1650251784.9531543,1650251796.4950638
1650251796.6651144,39.03186798095703,1.0,0.16233766078948975,0.5,1650251796.6651144,1650251808.552837
1650251808.7799754,43.91807556152344,1.0,0.19875776767730713,0.5,1650251808.7799754,1650251820.5291238
1650251820.6494384,41.03898620605469,1.0,0.1975308656692505,0.5,1650251820.6494384,1650251832.1750646
1650251832.324187,38.61246109008789,1.0,0.1975308656692505,0.5,1650251832.324187,1650251844.4705253
1650251844.6951838,35.84941482543945,1.0,0.1975308656692505,0.5,1650251844.6951838,1650251856.3550675
1650251856.47525,40.285369873046875,1.0,0.16233766078948975,0.5,1650251856.47525,1650251868.241308
1650251868.366785,41.310279846191406,1.0,0.1975308656692505,0.5,1650251868.366785,1650251879.7925124
1650251879.9971576,39.58857345581055,1.0,0.1568627506494522,0.5,1650251879.9971576,1650251891.4651134
1650251891.6066263,40.29066467285156,1.0,0.16233766078948975,0.5,1650251891.6066263,1650251903.27186
1650251903.40784,38.29951477050781,1.0,0.16233766078948975,0.5,1650251903.40784,1650251914.6873567
1650251914.8588552,35.68935775756836,1.0,0.15789473056793213,0.5,1650251914.8588552,1650251926.6270697
1650251926.7235372,40.735294342041016,1.0,0.16129031777381897,0.5,1650251926.7235372,1650251938.2614436
1650251938.453838,43.32456588745117,1.0,0.16233766078948975,0.5,1650251938.453838,1650251950.317777
1650251950.418173,43.8636589050293,1.0,0.16233766078948975,0.5,1650251950.418173,1650251961.9767165
1650251962.0780525,40.6663703918457,1.0,0.16129031777381897,0.5,1650251962.0780525,1650251973.7092843
1650251973.8289945,37.52229690551758,1.0,0.1975308656692505,0.5,1650251973.8289945,1650251985.1822445
1650251985.3742504,38.14661407470703,1.0,0.19875776767730713,0.5,1650251985.3742504,1650251996.8562658
1650251996.9713085,42.08027267456055,1.0,0.1589404046535492,0.5,1650251996.9713085,1650252008.496899
1650252008.5938532,39.78983688354492,1.0,0.16233766078948975,0.5,1650252008.5938532,1650252020.405915
1650252020.5549448,35.93838119506836,1.0,0.19875776767730713,0.5,1650252020.5549448,1650252032.4920428
1650252032.6350687,36.038299560546875,1.0,0.19875776767730713,0.5,1650252032.6350687,1650252043.8731122
1650252043.9845996,38.87790298461914,1.0,0.16233766078948975,0.5,1650252043.9845996,1650252055.610741
1650252055.7169406,44.3551025390625,1.0,0.16233766078948975,0.5,1650252055.7169406,1650252067.2150545
1650252067.3117428,40.49010467529297,1.0,0.16129031777381897,0.5,1650252067.3117428,1650252079.2158854
1650252079.3680155,44.346656799316406,1.0,0.16129031777381897,0.5,1650252079.3680155,1650252090.5751736
1650252090.7034757,40.1154899597168,1.0,0.16233766078948975,0.5,1650252090.7034757,1650252102.619073
1650252102.7191067,38.34189224243164,1.0,0.16129031777381897,0.5,1650252102.7191067,1650252113.9339943
1650252114.2147408,41.36862564086914,1.0,0.1975308656692505,0.5,1650252114.2147408,1650252125.7452185
1650252125.8703814,37.85984420776367,1.0,0.16233766078948975,0.5,1650252125.8703814,1650252137.4921937
1650252137.6506336,41.49348831176758,1.0,0.16339869797229767,0.5,1650252137.6506336,1650252148.9777124
1650252149.093685,36.96647262573242,1.0,0.16129031777381897,0.5,1650252149.093685,1650252160.644692
1650252160.8772213,37.98102569580078,1.0,0.16233766078948975,0.5,1650252160.8772213,1650252172.0670192
1650252172.1794107,37.05586624145508,1.0,0.16233766078948975,0.5,1650252172.1794107,1650252183.7835114
1650252183.8407743,37.98567199707031,1.0,0.16233766078948975,0.5,1650252183.8407743,1650252195.5030658
1650252195.6347337,40.376502990722656,1.0,0.1975308656692505,0.5,1650252195.6347337,1650252207.126566
1650252207.2582254,39.715797424316406,1.0,0.1589404046535492,0.5,1650252207.2582254,1650252218.9412344
1650252219.053971,35.45659255981445,1.0,0.16129031777381897,0.5,1650252219.053971,1650252230.194353
1650252230.307848,36.47400665283203,1.0,0.16233766078948975,0.5,1650252230.307848,1650252242.4534833
1650252242.5792263,39.765079498291016,1.0,0.16233766078948975,0.5,1650252242.5792263,1650252254.1471648
1650252254.2685082,41.45547866821289,1.0,0.15789473056793213,0.5,1650252254.2685082,1650252265.7507062
1650252265.8436816,39.35948944091797,1.0,0.16339869797229767,0.5,1650252265.8436816,1650252277.6832664
1650252277.8494582,40.38454055786133,1.0,0.16447368264198303,0.5,1650252277.8494582,1650252289.1656697
1650252289.2942233,40.36425018310547,1.0,0.15789473056793213,0.5,1650252289.2942233,1650252300.8390925
1650252300.899271,40.06599044799805,1.0,0.16107381880283356,0.5,1650252300.899271,1650252312.8545477
1650252312.9714699,38.864227294921875,1.0,0.1568627506494522,0.5,1650252312.9714699,1650252324.7560863
1650252324.852371,40.66081619262695,1.0,0.19875776767730713,0.5,1650252324.852371,1650252336.3622239
1650252336.4507732,36.5157470703125,1.0,0.16233766078948975,0.5,1650252336.4507732,1650252347.8978891
1650252348.0376074,38.82609176635742,1.0,0.15584415197372437,0.5,1650252348.0376074,1650252359.9110665
1650252360.0046,38.95163345336914,1.0,0.1568627506494522,0.5,1650252360.0046,1650252371.3006604
1650252371.430915,39.338348388671875,1.0,0.16233766078948975,0.5,1650252371.430915,1650252383.454806
1650252383.5386512,37.97696304321289,1.0,0.16339869797229767,0.5,1650252383.5386512,1650252395.2826128
1650252395.3845866,34.82017517089844,1.0,0.16233766078948975,0.5,1650252395.3845866,1650252406.9870553
1650252407.1165445,38.97776412963867,1.0,0.19875776767730713,0.5,1650252407.1165445,1650252419.1490457
1650252419.3250494,45.107967376708984,1.0,0.16233766078948975,0.5,1650252419.3250494,1650252430.76427
1650252430.8799074,37.37019729614258,1.0,0.1975308656692505,0.5,1650252430.8799074,1650252442.1990876
1650252442.3332503,36.59173583984375,1.0,0.16233766078948975,0.5,1650252442.3332503,1650252454.029881
1650252454.1460216,37.25999450683594,1.0,0.15584415197372437,0.5,1650252454.1460216,1650252465.8475804
1650252465.9658208,37.614837646484375,1.0,0.16233766078948975,0.5,1650252465.9658208,1650252477.4240654
1650252477.5720153,36.45405197143555,1.0,0.19875776767730713,0.5,1650252477.5720153,1650252489.0110734
1650252489.1013012,40.554542541503906,1.0,0.16339869797229767,0.5,1650252489.1013012,1650252500.912555
1650252500.9821599,41.750003814697266,1.0,0.16233766078948975,0.5,1650252500.9821599,1650252512.383356
1650252512.521014,37.429054260253906,1.0,0.20000000298023224,0.5,1650252512.521014,1650252524.303305
1650252524.381882,38.7435188293457,1.0,0.16129031777381897,0.5,1650252524.381882,1650252536.306457
1650252536.464303,40.238739013671875,1.0,0.16447368264198303,0.5,1650252536.464303,1650252547.920924
1650252548.006267,39.98466110229492,1.0,0.16233766078948975,0.5,1650252548.006267,1650252559.6357265
1650252559.768592,35.94733428955078,1.0,0.16233766078948975,0.5,1650252559.768592,1650252571.2576213
1650252571.3409846,39.337684631347656,1.0,0.16129031777381897,0.5,1650252571.3409846,1650252582.9075015
1650252583.0792832,39.57408905029297,1.0,0.16233766078948975,0.5,1650252583.0792832,1650252594.0713243
1650252594.12938,38.5663948059082,1.0,0.16233766078948975,0.5,1650252594.12938,1650252605.9790745
1650252606.1099298,42.125083923339844,1.0,0.16339869797229767,0.5,1650252606.1099298,1650252617.6707377
1650252617.771688,39.20655059814453,1.0,0.16233766078948975,0.5,1650252617.771688,1650252629.580939
1650252629.6585217,41.346622467041016,1.0,0.15584415197372437,0.5,1650252629.6585217,1650252641.2193208
1650252641.3629816,40.851959228515625,1.0,0.16339869797229767,0.5,1650252641.3629816,1650252652.9168954
