,load,alloc,reward,sigma,event_start_time,event_end_time
1650251703.795889,1.0,1.0,64.71475219726562,34.81350326538086,1650251703.795889,1650251714.4735162
1650251714.6851473,1.0,1.0,46.76707077026367,35.94985580444336,1650251714.6851473,1650251729.9522994
1650251730.059136,1.0,1.0,40.987850189208984,36.120391845703125,1650251730.059136,1650251747.5765219
1650251747.7118428,1.0,1.0,39.66360855102539,36.22087097167969,1650251747.7118428,1650251765.8392916
1650251766.1049016,1.0,1.0,63.29158020019531,34.71448516845703,1650251766.1049016,1650251777.0226257
1650251777.2265825,1.0,1.0,39.64493179321289,33.71598815917969,1650251777.2265825,1650251794.1013756
1650251794.2347863,1.0,1.0,65.9652099609375,33.60185623168945,1650251794.2347863,1650251804.3461766
1650251804.4717941,1.0,1.0,42.806095123291016,33.52678298950195,1650251804.4717941,1650251820.006965
1650251820.1179628,1.0,1.0,40.970767974853516,33.43959045410156,1650251820.1179628,1650251836.300232
1650251836.4724927,1.0,1.0,54.23155975341797,33.422935485839844,1650251836.4724927,1650251848.716286
1650251848.897583,1.0,1.0,44.788631439208984,33.42386245727539,1650251848.897583,1650251863.7004461
1650251863.8937666,1.0,1.0,40.143775939941406,33.39449691772461,1650251863.8937666,1650251880.3844929
1650251880.4457934,1.0,1.0,40.35477828979492,33.45637893676758,1650251880.4457934,1650251896.875074
1650251897.001542,1.0,1.0,43.92012023925781,33.11566925048828,1650251897.001542,1650251911.9832864
1650251912.1564867,1.0,1.0,40.32438278198242,33.66288757324219,1650251912.1564867,1650251928.7221463
1650251928.814471,1.0,1.0,38.81687927246094,33.87633514404297,1650251928.814471,1650251946.126527
1650251946.2613056,1.0,1.0,38.26328659057617,33.622562408447266,1650251946.2613056,1650251963.719294
1650251963.881942,1.0,1.0,40.246429443359375,33.94120788574219,1650251963.881942,1650251980.6039221
1650251980.6773143,1.0,1.0,41.4737548828125,33.681602478027344,1650251980.6773143,1650251996.807998
1650251996.944517,1.0,1.0,42.995849609375,32.90625,1650251996.944517,1650252012.1552873
1650252012.2483964,1.0,1.0,41.39324188232422,33.12325668334961,1650252012.2483964,1650252028.1205528
1650252028.2257369,1.0,1.0,41.01600646972656,33.56645202636719,1650252028.2257369,1650252044.4633007
1650252044.5982897,1.0,1.0,36.91849899291992,33.74434280395508,1650252044.5982897,1650252062.7192857
1650252062.8408155,1.0,1.0,38.274234771728516,33.66159439086914,1650252062.8408155,1650252080.319937
1650252080.4793346,1.0,1.0,55.752342224121094,33.78083038330078,1650252080.4793346,1650252092.496767
1650252092.5725358,1.0,1.0,41.09479904174805,33.67737579345703,1650252092.5725358,1650252108.8519688
1650252108.9330244,1.0,1.0,63.042484283447266,35.95983123779297,1650252108.9330244,1650252120.2428577
1650252120.3482308,1.0,1.0,40.54637145996094,36.097965240478516,1650252120.3482308,1650252138.0563502
1650252138.278806,1.0,1.0,40.06422805786133,36.46550369262695,1650252138.278806,1650252156.3248296
1650252156.550258,1.0,1.0,40.177249908447266,36.12354278564453,1650252156.550258,1650252174.371288
1650252174.4344223,1.0,1.0,34.14057540893555,36.12908172607422,1650252174.4344223,1650252195.4065347
1650252195.533666,1.0,1.0,42.049041748046875,36.056968688964844,1650252195.533666,1650252212.5851846
1650252212.7500436,1.0,1.0,54.16482925415039,36.22861099243164,1650252212.7500436,1650252226.0058782
1650252226.1358795,1.0,1.0,41.86271667480469,36.10679626464844,1650252226.1358795,1650252243.2632923
1650252243.3688803,1.0,1.0,37.22289276123047,36.1783561706543,1650252243.3688803,1650252262.6580853
1650252262.7830808,1.0,1.0,39.940040588378906,36.13841247558594,1650252262.7830808,1650252280.734991
1650252280.9041736,1.0,1.0,46.075523376464844,36.17395782470703,1650252280.9041736,1650252296.4872851
1650252296.6180592,1.0,1.0,61.16863250732422,36.04469299316406,1650252296.6180592,1650252308.2907083
1650252308.3623743,1.0,1.0,39.38078308105469,36.16059494018555,1650252308.3623743,1650252326.5692232
1650252326.765175,1.0,1.0,45.73887252807617,36.174495697021484,1650252326.765175,1650252342.4629824
1650252342.6288822,1.0,1.0,40.4273681640625,36.11592102050781,1650252342.6288822,1650252360.339657
1650252360.5104048,1.0,1.0,38.02269744873047,36.11669158935547,1650252360.5104048,1650252379.3675625
1650252379.446104,1.0,1.0,39.352848052978516,36.17403030395508,1650252379.446104,1650252397.6912892
1650252397.7897031,1.0,1.0,37.392330169677734,36.21578598022461,1650252397.7897031,1650252416.991501
1650252417.0878124,1.0,1.0,40.981990814208984,36.14873504638672,1650252417.0878124,1650252434.5589015
1650252434.6869144,1.0,1.0,39.340301513671875,36.18395233154297,1650252434.6869144,1650252452.9379184
1650252453.083717,1.0,1.0,40.90909957885742,36.09663391113281,1650252453.083717,1650252470.585935
1650252470.6957095,1.0,1.0,39.395904541015625,36.16851043701172,1650252470.6957095,1650252488.8955712
1650252489.0265713,1.0,1.0,53.19574737548828,36.23496627807617,1650252489.0265713,1650252502.523891
1650252502.71789,1.0,1.0,61.2780876159668,35.94492721557617,1650252502.71789,1650252514.36969
1650252514.5046778,1.0,1.0,59.04566955566406,36.19469451904297,1650252514.5046778,1650252526.6647568
1650252526.7970703,1.0,1.0,48.216949462890625,36.140567779541016,1650252526.7970703,1650252541.688099
1650252541.7736008,1.0,1.0,38.477943420410156,36.104591369628906,1650252541.7736008,1650252560.433641
1650252560.6502073,1.0,1.0,51.737117767333984,36.234928131103516,1650252560.6502073,1650252574.547387
1650252574.690021,1.0,1.0,40.54063415527344,36.21048355102539,1650252574.690021,1650252592.4006464
1650252592.4780397,1.0,1.0,40.841796875,35.46685791015625,1650252592.4780397,1650252609.7152839
1650252609.8532817,1.0,1.0,42.25316619873047,35.58371353149414,1650252609.8532817,1650252626.5620883
1650252626.6304789,1.0,1.0,40.10887145996094,36.093379974365234,1650252626.6304789,1650252644.456959
1650252644.6383529,1.0,1.0,45.39390563964844,36.08049011230469,1650252644.6383529,1650252660.3893657
1650252660.6523097,1.0,1.0,44.846256256103516,36.14353942871094,1650252660.6523097,1650252676.6402662
1650252676.7140048,1.0,1.0,57.35762405395508,36.09722900390625,1650252676.7140048,1650252689.2145226
1650252689.3305056,1.0,1.0,46.51662063598633,36.095603942871094,1650252689.3305056,1650252704.7443504
1650252704.8297007,1.0,1.0,36.864925384521484,33.764923095703125,1650252704.8297007,1650252723.0312831
1650252723.1600091,1.0,1.0,42.75631332397461,33.708648681640625,1650252723.1600091,1650252738.7834334
1650252738.9040034,1.0,1.0,37.34117889404297,33.550048828125,1650252738.9040034,1650252756.7127602
1650252756.7966063,1.0,1.0,38.28624725341797,33.64835739135742,1650252756.7966063,1650252774.2180061
1650252774.2844334,1.0,1.0,43.73663330078125,33.885738372802734,1650252774.2844334,1650252789.671992
1650252789.8436024,1.0,1.0,38.981021881103516,33.69149398803711,1650252789.8436024,1650252807.0058
1650252807.2814631,1.0,1.0,35.45338821411133,33.97589111328125,1650252807.2814631,1650252826.292341
1650252826.45499,1.0,1.0,44.43500900268555,33.888519287109375,1650252826.45499,1650252841.6007054
1650252841.679323,1.0,1.0,40.46076583862305,33.840553283691406,1650252841.679323,1650252858.2632895
1650252858.3282611,1.0,1.0,57.71086883544922,33.91775131225586,1650252858.3282611,1650252870.0071702
1650252870.1002343,1.0,1.0,46.37065505981445,35.26136779785156,1650252870.1002343,1650252885.152857
1650252885.31312,1.0,1.0,49.67169189453125,36.14925765991211,1650252885.31312,1650252899.7479012
1650252899.9700747,1.0,1.0,40.903507232666016,36.14154815673828,1650252899.9700747,1650252917.499133
1650252917.6159887,1.0,1.0,41.679664611816406,35.997230529785156,1650252917.6159887,1650252934.7466443
1650252934.9155786,1.0,1.0,48.00556182861328,36.16895294189453,1650252934.9155786,1650252949.8513474
1650252949.9746282,1.0,1.0,42.107032775878906,36.00824737548828,1650252949.9746282,1650252966.9551644
1650252967.102939,1.0,1.0,40.622745513916016,36.048709869384766,1650252967.102939,1650252984.6792989
1650252984.9035013,1.0,1.0,37.949947357177734,36.08841323852539,1650252984.9035013,1650253003.7704582
1650253003.8659759,1.0,1.0,41.37873840332031,36.014034271240234,1650253003.8659759,1650253021.1453817
1650253021.3077798,1.0,1.0,38.7131233215332,36.00891876220703,1650253021.3077798,1650253039.7511373
1650253039.8559806,1.0,1.0,52.390769958496094,36.10228729248047,1650253039.8559806,1650253053.5225098
1650253053.6352987,1.0,1.0,37.493045806884766,36.09689712524414,1650253053.6352987,1650253072.7321744
1650253072.8544126,1.0,1.0,38.844398498535156,35.983314514160156,1650253072.8544126,1650253091.2354417
1650253091.3153005,1.0,1.0,41.96120834350586,35.87619400024414,1650253091.3153005,1650253108.2833529
1650253108.388119,1.0,1.0,42.74763107299805,35.849605560302734,1650253108.388119,1650253125.02062
